"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Matt Thaiss","LAA","55","221","194","45","9","1","7","27","26","22","51","2","1","0","",".233",".315",".397",".712",".309","","-0.5","-0.3","","0.8","","582.5","19318"
"Matt Duffy","","62","266","237","64","11","1","4","29","24","22","50","4","4","2","",".272",".342",".371",".713",".315","","-1.3","-0.3","","0.7","","588.0","13836"
"Kevin Smith","TOR","81","350","319","73","15","2","15","41","45","23","96","3","8","3","",".230",".286",".425",".711",".303","","-1.2","0.2","","0.7","","597.0","20242"
"Starlin Castro","","65","280","259","70","14","1","6","28","32","17","49","1","1","1","",".272",".317",".406",".723",".311","","-1.4","-0.5","","0.7","","596.7","4579"
"Johan Camargo","PHI","41","175","158","41","8","1","6","22","21","14","35","1","0","0","",".259",".321",".440",".761",".326","","-0.3","-0.2","","0.6","","600.5","14950"
"Hunter Dozier","KCR","117","504","451","106","23","5","17","56","57","44","136","4","5","3","",".236",".308",".424",".732",".315","","-2.7","-0.8","","0.6","","385.4","15117"
"Kelvin Gutierrez","BAL","94","406","372","90","13","3","9","40","39","26","100","4","4","2","",".241",".297",".365",".661",".289","","0.6","-0.4","","0.5","","597.3","17468"
"Yu Chang","CLE","57","245","225","53","12","1","8","28","31","15","66","3","2","1","",".238",".292",".416",".708",".304","","0.9","-0.3","","0.5","","595.0","14773"
"Travis Shaw","","52","224","195","43","9","0","8","24","28","25","59","2","1","0","",".221",".314",".398",".712",".310","","-0.1","-0.5","","0.5","","600.6","11982"
"Jon Berti","MIA","31","133","115","28","5","0","2","16","11","14","30","2","5","2","",".239",".329",".347",".677",".302","","-0.1","0.3","","0.4","","582.7","12037"
"Luis Guillorme","NYM","26","112","97","25","4","0","2","12","9","13","20","1","1","1","",".256",".345",".350",".695",".309","","-0.3","-0.2","","0.4","","999.0","16451"
"Isaac Paredes","DET","18","77","67","17","3","0","2","9","8","8","11","1","0","0","",".257",".340",".414",".753",".327","","0.1","-0.1","","0.4","","600.9","20036"
"David Bote","CHC","52","224","197","46","8","1","7","25","27","21","54","3","1","1","",".233",".314",".394",".708",".308","","-1.1","-0.2","","0.3","","594.9","14593"
"Romy Gonzalez","CHW","28","119","109","25","5","0","5","14","15","8","35","1","4","1","",".234",".290",".409",".700",".301","","0.0","0.2","","0.3","","999.0","21562"
"Asdrúbal Cabrera","CIN","62","266","237","56","13","1","8","30","35","25","60","2","1","0","",".237",".311",".401",".712",".308","","-1.3","-0.9","","0.3","","599.8","4962"
"Mike Brosseau","MIL","58","252","226","52","11","1","8","29","29","19","68","5","2","1","",".232",".302",".397",".700",".303","","0.4","-0.3","","0.3","","594.3","19683"
"Vimael Machín","OAK","42","182","160","37","7","1","3","20","16","17","35","2","1","0","",".233",".312",".342",".654",".288","","-0.7","-0.1","","0.3","","999.0","17684"
"Jack Mayfield","LAA","36","154","141","33","7","0","5","17","19","9","34","2","2","1","",".232",".282",".400",".682",".293","","-0.5","0.0","","0.3","","999.0","15402"
"Jake Burger","CHW","13","56","51","13","2","0","2","7","7","4","13","1","0","0","",".254",".315",".448",".763",".327","","-0.1","-0.1","","0.3","","590.2","22275"
"Ronald Torreyes","PHI","45","196","181","45","8","1","4","19","20","10","25","2","1","1","",".250",".292",".363",".654",".283","","0.6","-0.1","","0.2","","596.9","11400"
"Brock Holt","","58","252","225","54","11","1","3","25","22","22","50","3","4","2","",".241",".315",".340",".655",".291","","0.0","-0.6","","0.2","","999.0","9345"
