"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Taylor Walls","TBR","104","448","392","87","20","2","8","49","42","47","117","3","15","8","",".223",".308",".345",".653",".288","","5.9","-0.7","","1.5","","561.3","22458"
"Didi Gregorius","PHI","143","616","561","138","26","4","23","72","86","40","95","8","4","2","",".247",".303",".426",".730",".311","","-1.6","-0.3","","1.5","","459.2","6012"
"Edmundo Sosa","STL","99","427","389","99","15","4","9","47","42","20","86","13","5","3","",".255",".311",".387",".698",".303","","1.6","-0.8","","1.5","","422.0","17022"
"Adalberto Mondesi","KCR","136","588","548","136","28","7","19","73","70","29","165","3","50","11","",".248",".288",".429",".716",".305","","2.0","5.3","","1.4","","60.6","13769"
"Ha-Seong Kim","SDP","89","385","344","83","17","2","12","46","48","32","77","4","9","2","",".241",".310",".401",".711",".308","","0.8","0.7","","1.4","","375.9","27506"
"Nick Ahmed","ARI","117","504","457","110","27","3","10","55","52","38","104","3","7","2","",".241",".300",".381",".681",".294","","2.4","0.3","","1.2","","567.3","12147"
"Jonathan Villar","","109","469","420","104","17","2","13","56","45","41","119","3","18","6","",".247",".317",".392",".709",".309","","-3.3","1.3","","1.2","","291.6","10071"
"Bryson Stott","PHI","75","322","288","72","13","1","9","36","33","29","75","1","5","3","",".251",".322",".396",".718",".313","","1.2","-0.5","","1.2","","460.3","sa3011443"
"Isiah Kiner-Falefa","TEX","76","329","305","83","13","2","5","37","26","16","46","5","9","3","",".272",".318",".374",".692",".302","","1.8","0.6","","1.2","","357.8","16512"
"Kyle Farmer","CIN","125","539","493","125","24","2","14","57","61","26","106","13","4","2","",".254",".306",".399",".705",".305","","0.0","-0.6","","1.2","","489.7","14813"
"Brad Miller","","89","385","337","79","13","2","18","49","52","42","111","3","3","1","",".233",".322",".443",".765",".328","","-0.6","-0.7","","1.2","","552.4","12775"
"Elvis Andrus","OAK","113","490","450","113","22","2","7","53","42","29","75","4","11","4","",".251",".300",".355",".655",".285","","-1.5","1.3","","1.1","","563.4","8709"
"Aledmys Díaz","HOU","75","322","292","74","17","0","9","35","41","20","58","6","1","1","",".251",".310",".405",".716",".308","","-0.7","-0.6","","1.0","","569.9","15937"
"Orlando Arcia","ATL","107","462","420","107","19","1","15","49","53","34","80","2","6","3","",".254",".310",".408",".718",".309","","5.8","-0.1","","0.9","","597.5","13185"
"Thairo Estrada","SFG","66","287","264","69","13","1","9","36","34","16","54","4","4","2","",".262",".313",".417",".730",".315","","-1.7","0.0","","0.9","","598.8","16426"
"Kevin Newman","PIT","94","406","375","100","18","3","5","42","36","22","39","3","6","3","",".265",".310",".370",".680",".295","","-0.6","-0.1","","0.7","","594.3","17696"
"Starlin Castro","","65","280","259","70","14","1","6","28","32","17","49","1","1","1","",".272",".317",".406",".723",".311","","-1.4","-0.5","","0.7","","596.7","4579"
"Oswald Peraza","NYY","49","210","194","49","8","1","5","23","21","12","45","2","10","3","",".250",".298",".382",".680",".295","","-0.1","0.4","","0.6","","599.8","sa3003305"
"Jed Lowrie","","110","476","425","103","25","0","13","52","59","44","101","3","0","0","",".243",".316",".392",".708",".308","","-1.9","-1.3","","0.5","","594.2","4418"
