"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","154","665","577","176","31","2","45","114","118","78","101","5","3","1","",".306",".392",".598",".990",".413","","-0.3","-1.2","","6.0","","5.8","19611"
"Matt Olson","OAK","154","665","565","147","29","0","40","95","112","84","138","9","3","1","",".261",".363",".526",".889",".373","","5.0","-0.8","","4.9","","41.0","14344"
"Freddie Freeman","","159","686","587","171","34","2","30","104","97","86","117","7","7","3","",".292",".387",".512",".899",".379","","2.0","-0.2","","4.7","","19.7","5361"
"Pete Alonso","NYM","151","651","565","146","26","2","42","91","112","67","147","14","2","1","",".259",".350",".535",".884",".371","","-0.2","-1.8","","3.9","","50.0","19251"
"Max Muncy","LAD","131","567","471","117","21","2","32","86","95","84","129","8","3","1","",".248",".369",".504",".873",".372","","1.2","-0.2","","3.5","","146.2","13301"
"Paul Goldschmidt","STL","156","672","589","160","30","2","29","93","90","73","146","4","7","2","",".271",".353",".474",".828",".354","","1.8","0.3","","3.4","","48.2","9218"
"DJ LeMahieu","NYY","149","644","576","163","27","2","14","89","64","57","88","4","5","2","",".283",".349",".412",".761",".331","","3.2","-0.4","","3.1","","111.0","9874"
"Ty France","SEA","149","644","571","158","31","2","22","82","83","45","116","22","1","1","",".277",".350",".452",".802",".346","","0.6","-1.3","","3.1","","139.7","17982"
"Jared Walsh","LAA","151","651","583","153","32","2","34","86","108","56","169","6","2","1","",".263",".331",".500",".832",".350","","0.5","-1.1","","2.8","","117.6","18607"
"Anthony Rizzo","","138","595","507","131","23","2","25","78","81","60","94","21","6","2","",".259",".358",".462",".820",".353","","1.7","-1.8","","2.6","","183.5","3473"
"Yandy Díaz","TBR","130","560","482","130","23","1","13","68","62","69","91","3","2","1","",".269",".361",".407",".769",".336","","-0.9","-1.0","","2.3","","409.7","16578"
"Nathaniel Lowe","TEX","146","630","545","142","26","2","23","80","79","76","155","4","6","1","",".261",".354",".441",".795",".343","","-1.7","-0.2","","2.3","","245.9","19566"
"Rhys Hoskins","PHI","123","532","447","106","26","1","28","75","78","72","130","8","4","2","",".238",".351",".490",".841",".359","","0.0","-1.0","","2.3","","134.7","16472"
"Brandon Belt","SFG","128","553","473","116","24","3","25","75","70","69","137","6","4","2","",".245",".346",".464",".810",".347","","1.8","-1.4","","2.2","","232.5","10264"
"Josh Bell","WSN","147","637","553","147","29","2","31","87","105","74","122","4","0","1","",".267",".355",".496",".851",".360","","-4.1","-2.3","","2.2","","128.6","13145"
"José Abreu","CHW","154","665","593","155","32","2","31","84","109","50","149","15","1","0","",".261",".331",".476",".807",".343","","-2.0","-1.2","","2.2","","75.7","15676"
"Luke Voit","NYY","134","581","506","127","20","2","29","78","86","60","160","10","1","0","",".250",".340",".466",".806",".346","","-3.0","-1.0","","2.0","","260.9","14811"
"Joey Votto","CIN","152","658","559","139","27","2","32","85","97","89","155","5","2","0","",".249",".355",".472",".827",".353","","-1.0","-2.7","","1.9","","139.3","4314"
"Yuli Gurriel","HOU","139","602","540","153","29","1","17","75","77","48","73","5","2","2","",".283",".343",".435",".778",".334","","-0.9","-1.4","","1.8","","202.3","19198"
