"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Jonathan Schoop","DET","141","609","565","149","27","2","22","76","75","30","123","8","2","0","",".264",".308",".438",".747",".320","","-2.7","-0.2","","1.8","","198.7","11265"
"C.J. Cron","COL","134","581","511","137","30","1","30","75","94","53","128","12","1","0","",".267",".348",".508",".856",".363","","0.1","-1.6","","1.7","","123.6","12546"
"Trey Mancini","BAL","149","644","577","152","32","2","26","82","84","54","143","8","1","0","",".264",".334",".461",".795",".339","","-0.8","-0.7","","1.7","","193.0","15149"
"Ryan Mountcastle","BAL","146","630","578","152","28","2","30","79","94","40","162","5","4","2","",".263",".313",".474",".788",".333","","-0.1","-0.7","","1.6","","113.5","18373"
"Austin Nola","SDP","87","355","315","82","17","1","8","39","40","29","61","6","1","1","",".260",".331",".399",".730",".319","","-1.0","-0.4","","1.4","","361.9","15941"
"Miguel Sanó","MIN","149","644","562","128","28","1","38","88","99","72","223","5","2","1","",".228",".319",".484",".803",".341","","-8.4","-1.0","","1.4","","276.1","12164"
"Jesús Aguilar","MIA","120","518","457","118","21","0","22","60","79","51","103","4","0","0","",".258",".333",".448",".781",".333","","0.1","-1.3","","1.3","","302.1","11342"
"Garrett Cooper","MIA","115","497","438","115","20","2","17","59","61","48","130","7","2","1","",".262",".344",".431",".774",".337","","-0.8","-1.7","","1.3","","510.1","15279"
"Ji-Man Choi","TBR","109","469","396","92","20","1","16","54","57","64","127","4","1","1","",".231",".341",".407",".749",".327","","-1.3","-0.8","","1.2","","558.0","5452"
"Brad Miller","","89","385","337","79","13","2","18","49","52","42","111","3","3","1","",".233",".322",".443",".765",".328","","-0.6","-0.7","","1.2","","552.4","12775"
"Rowdy Tellez","MIL","112","483","433","112","22","1","23","61","68","39","108","6","1","1","",".258",".326",".476",".801",".339","","-0.3","-0.8","","1.2","","316.5","15679"
"Frank Schwindel","CHC","128","553","513","137","28","1","25","72","79","30","97","4","3","1","",".268",".311",".475",".786",".333","","-0.1","-0.9","","1.1","","236.0","15351"
"Bobby Dalbec","BOS","115","497","444","103","20","3","26","60","72","40","166","8","3","1","",".231",".304",".465",".769",".326","","0.2","-0.6","","0.9","","222.9","19966"
"Alex Kirilloff","MIN","110","476","439","118","22","2","17","54","62","29","105","4","4","3","",".269",".319",".447",".766",".326","","0.2","-0.9","","0.9","","177.9","20325"
"Connor Joe","COL","87","378","326","85","18","1","13","47","47","43","79","5","1","1","",".261",".353",".441",".794",".345","","1.0","-0.5","","0.9","","330.7","16572"
"Matt Thaiss","LAA","55","221","194","45","9","1","7","27","26","22","51","2","1","0","",".233",".315",".397",".712",".309","","-0.5","-0.3","","0.8","","582.5","19318"
"Christian Walker","ARI","115","497","445","110","25","2","17","61","61","43","123","5","2","1","",".248",".320",".427",".747",".322","","1.5","0.0","","0.7","","453.5","13419"
"Darin Ruf","SFG","87","378","330","80","16","1","15","44","47","40","103","4","2","1","",".243",".331",".434",".764",".329","","-0.2","-0.7","","0.7","","442.9","9929"
"Bobby Bradley","CLE","120","518","463","99","19","1","28","61","73","43","182","7","1","0","",".213",".287",".441",".729",".310","","2.4","-0.9","","0.7","","442.0","17278"
"Pavin Smith","ARI","112","483","435","115","22","4","11","56","48","40","89","3","2","1","",".264",".327",".409",".736",".319","","-0.3","-0.9","","0.7","","387.5","19892"
"Carlos Santana","KCR","99","427","363","85","15","0","14","50","48","58","69","2","1","0","",".235",".342",".393",".735",".322","","-0.3","-0.5","","0.6","","454.5","2396"
"Yoshi Tsutsugo","PIT","123","532","458","105","22","1","20","64","62","63","129","3","1","1","",".230",".324",".413",".737",".320","","-0.1","-0.9","","0.6","","367.4","27459"
"Seth Beer","ARI","89","385","340","88","18","0","14","47","46","27","80","14","1","1","",".259",".337",".436",".772",".334","","-0.5","-0.7","","0.6","","551.4","20493"
"Lewin Díaz","MIA","79","343","317","76","14","1","16","39","44","19","75","3","1","0","",".241",".289",".444",".733",".310","","2.1","-0.2","","0.6","","575.1","18365"
"Eric Hosmer","SDP","130","560","507","133","24","1","16","61","71","43","112","4","5","3","",".262",".323",".408",".731",".316","","-1.0","-1.7","","0.6","","391.4","3516"
"Yu Chang","CLE","57","245","225","53","12","1","8","28","31","15","66","3","2","1","",".238",".292",".416",".708",".304","","0.9","-0.3","","0.5","","595.0","14773"
"Matt Vierling","PHI","117","504","456","114","20","3","14","57","54","33","114","6","10","4","",".250",".307",".397",".704",".304","","2.3","0.1","","0.5","","558.6","21558"
"Dominic Smith","NYM","96","413","374","95","21","1","13","46","54","28","95","6","2","1","",".254",".315",".419",".733",".316","","-1.4","-0.8","","0.5","","434.3","15653"
"Daniel Vogelbach","","42","182","151","35","6","0","8","23","23","28","42","1","0","0","",".230",".353",".425",".778",".340","","0.0","-0.5","","0.5","","600.3","14130"
"Matt Beaty","LAD","79","343","308","79","16","1","9","43","47","24","61","9","3","1","",".257",".327",".407",".734",".320","","-1.2","-0.2","","0.4","","581.9","17710"
"Danny Santana","","53","231","211","51","11","2","9","29","28","14","65","2","7","3","",".239",".293",".431",".724",".308","","-0.7","0.2","","0.4","","999.0","10322"
"Mitch Moreland","","89","385","345","82","16","1","17","47","54","34","88","2","1","0","",".237",".307",".438",".745",".319","","-0.2","-1.1","","0.4","","600.9","3086"
"Ronald Guzmán","","53","231","205","47","10","1","9","26","28","21","65","3","1","1","",".229",".305",".415",".721",".310","","1.4","-0.4","","0.3","","999.0","14388"
"Michael Chavis","PIT","107","462","424","103","19","2","19","54","59","25","132","7","4","2","",".243",".295",".433",".728",".311","","-1.0","-0.8","","0.3","","534.7","17321"
"Owen Miller","CLE","41","175","161","40","8","1","4","17","17","10","40","2","1","1","",".247",".296",".373",".669",".291","","0.5","-0.3","","0.2","","600.5","24655"
"Renato Núñez","","23","98","88","21","4","0","5","12","14","7","25","2","0","0","",".244",".310",".455",".765",".327","","0.1","-0.1","","0.2","","599.6","14503"
"Eric Thames","OAK","47","203","178","39","8","1","8","24","25","19","62","3","2","1","",".220",".306",".410",".716",".308","","-0.5","-0.5","","0.2","","601.0","3711"
"Taylor Jones","HOU","15","63","56","14","3","0","2","8","8","6","16","1","0","0","",".247",".318",".416",".734",".317","","0.2","-0.1","","0.2","","999.0","19533"
"Justin Smoak","","57","245","209","45","9","1","10","29","30","30","62","3","1","1","",".218",".323",".407",".730",".318","","-0.8","-1.2","","0.1","","999.0","9054"
"Colton Welker","COL","104","448","405","104","21","2","14","52","52","32","97","4","3","1","",".256",".313",".419",".731",".314","","0.7","-0.5","","0.1","","592.2","19961"
"Colin Moran","","78","336","302","76","14","1","11","35","44","29","81","3","1","1","",".251",".318",".408",".726",".314","","-2.6","-1.4","","0.1","","581.6","16909"
"Tyler Nevin","BAL","16","70","63","15","3","0","2","8","8","5","15","1","0","0","",".238",".303",".398",".701",".304","","-0.3","-0.1","","0.1","","999.0","17893"
"Kevin Padlo","SEA","6","28","25","5","1","0","1","3","3","2","9","0","0","0","",".204",".279",".376",".655",".284","","0.2","0.0","","0.1","","600.3","16593"
"John Nogowski","ATL","45","196","172","42","8","0","4","23","21","19","33","3","2","1","",".243",".326",".366",".691",".306","","1.2","-0.3","","0.1","","600.8","16852"
"Tyler White","","8","35","30","7","2","0","1","5","4","4","7","0","0","0","",".240",".338",".395",".733",".322","","0.1","-0.1","","0.1","","999.0","15564"
"Jake Lamb","","52","224","194","41","8","1","7","26","26","24","61","3","1","1","",".209",".303",".372",".675",".297","","-1.4","-0.3","","0.1","","999.0","13329"
"Alfonso Rivas","CHC","37","161","143","36","7","0","3","19","15","15","39","2","1","1","",".252",".329",".366",".694",".306","","0.6","-0.3","","0.1","","999.0","21560"
"Edwin Ríos","LAD","18","77","69","15","3","0","4","9","11","6","27","1","0","0","",".219",".284",".435",".720",".307","","-0.3","-0.1","","0.0","","569.6","18316"
"Jedd Gyorko","","8","35","31","7","1","0","1","4","4","3","9","0","0","0","",".231",".311",".401",".712",".309","","0.2","-0.1","","0.0","","999.0","10816"
"Ryan O'Hearn","KCR","10","42","38","9","2","0","2","5","5","4","11","0","0","0","",".231",".302",".422",".724",".310","","0.0","0.0","","0.0","","599.6","16442"
"Jake Noll","WSN","2","7","7","2","0","0","0","1","1","0","1","0","0","0","",".258",".298",".406",".704",".303","","0.0","0.0","","0.0","","999.0","19703"
"Evan White","SEA","55","238","218","47","8","1","9","25","28","16","72","2","2","1","",".214",".272",".377",".648",".280","","1.1","0.0","","-0.1","","596.6","20078"
"Albert Pujols","","52","224","207","50","7","0","9","23","34","12","36","3","1","0","",".244",".292",".418",".710",".302","","-0.2","-0.5","","-0.1","","597.4","1177"
