"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"James McCann","NYM","102","403","367","85","15","1","11","39","45","28","113","4","3","2","",".233",".292",".369",".661",".288","","-0.1","-0.9","","1.0","","347.3","12859"
"Elias Díaz","COL","91","358","325","86","17","1","12","42","43","27","60","2","1","0","",".263",".323",".432",".755",".324","","-1.5","-0.6","","1.0","","246.6","11680"
"Tom Murphy","SEA","65","256","227","49","9","1","10","27","30","24","80","2","1","1","",".214",".293",".386",".679",".296","","-0.4","-0.3","","1.0","","491.5","13499"
"Yan Gomes","CHC","71","284","260","64","12","1","10","32","36","17","63","4","1","0","",".247",".302",".414",".716",".305","","0.7","-0.4","","0.9","","377.2","9627"
"Ryan Jeffers","MIN","47","186","166","36","6","0","7","20","22","15","58","3","0","0","",".216",".290",".392",".682",".296","","0.2","-0.4","","0.8","","470.2","24618"
"Jason Castro","HOU","40","160","136","29","6","0","6","19","17","20","50","2","0","0","",".213",".319",".388",".707",".310","","-0.8","-0.4","","0.7","","592.4","8722"
"Victor Caratini","SDP","60","237","209","51","9","0","6","25","26","23","53","3","1","0","",".243",".325",".372",".696",".302","","-0.8","-0.2","","0.7","","558.1","14968"
"Tomás Nido","NYM","52","205","192","42","8","1","5","20","21","9","54","2","1","0","",".221",".260",".349",".609",".262","","1.0","-0.3","","0.6","","600.8","13755"
"Curt Casali","SFG","62","243","213","46","9","0","6","23","25","24","67","3","1","0","",".217",".305",".351",".656",".287","","-0.7","-0.4","","0.6","","591.4","12510"
"MJ Melendez","KCR","29","119","106","27","5","1","6","15","16","11","28","1","1","1","",".250",".319",".468",".786",".335","","0.1","-0.2","","0.6","","392.5","sa3004139"
"Wilson Ramos","","44","173","159","42","7","0","6","18","23","11","31","1","0","0","",".267",".318",".428",".746",".321","","-2.2","-0.7","","0.5","","600.8","1433"
"Dom Nuñez","COL","66","262","227","46","10","2","10","30","31","30","84","2","1","1","",".203",".301",".397",".697",".299","","-0.5","-0.2","","0.5","","575.4","15055"
"Cooper Hummel","ARI","42","182","155","38","7","2","5","23","20","22","42","3","2","1","",".243",".346",".410",".756",".331","","0.1","-0.2","","0.5","","999.0","sa918412"
"Luis Torrens","SEA","58","241","219","52","10","1","8","25","29","18","60","1","0","0","",".236",".295",".402",".698",".300","","-0.2","-0.4","","0.5","","396.2","15905"
"Cam Gallagher","KCR","24","96","87","22","5","0","2","10","8","7","17","1","0","0","",".248",".306",".363",".670",".293","","0.5","-0.2","","0.4","","600.1","12981"
"Andrew Knizner","STL","49","192","172","41","7","0","5","21","20","14","37","3","1","0","",".241",".309",".369",".678",".296","","0.3","0.0","","0.4","","593.5","19514"
"Eric Haase","DET","70","287","262","57","10","1","12","33","39","20","93","2","1","0","",".219",".279",".407",".686",".295","","0.0","-0.1","","0.4","","315.8","14111"
"Stephen Vogt","","45","179","159","34","8","1","5","18","20","17","44","1","0","0","",".213",".291",".372",".663",".287","","-0.9","-0.5","","0.4","","999.0","5000"
"Nick Fortes","MIA","32","128","115","28","5","1","3","15","14","9","23","2","1","0","",".241",".305",".385",".689",".300","","-0.7","0.0","","0.3","","592.5","21538"
"Ben Rortvedt","MIN","21","83","75","16","3","0","2","9","9","6","22","1","0","0","",".216",".280",".363",".643",".280","","0.9","0.0","","0.3","","999.0","20287"
"Garrett Stubbs","PHI","32","128","113","25","5","0","2","14","11","12","27","1","3","1","",".223",".301",".337",".638",".283","","1.1","0.1","","0.3","","999.0","18067"
"Reese McGuire","TOR","18","70","64","15","3","0","2","8","6","5","14","1","0","0","",".238",".295",".370",".665",".289","","0.2","0.0","","0.3","","599.9","15674"
"Riley Adams","WSN","81","326","284","62","13","1","10","35","33","30","105","8","1","0","",".220",".311",".377",".688",".303","","-0.9","-0.2","","0.3","","591.1","19864"
"Michael Perez","PIT","40","160","144","30","6","1","4","16","17","13","44","1","1","1","",".207",".277",".352",".630",".274","","1.2","-0.5","","0.2","","999.0","12977"
"Jake Rogers","DET","16","64","57","12","2","0","2","7","7","6","21","1","1","0","",".203",".282",".386",".668",".290","","0.6","0.0","","0.2","","600.8","19452"
"Bryan Lavastida","CLE","16","64","58","14","3","0","2","9","7","5","13","1","2","1","",".248",".311",".385",".696",".302","","-0.5","0.0","","0.2","","999.0","sa3006917"
"Luis Campusano","SDP","29","122","110","27","5","1","4","13","13","9","26","1","0","0","",".247",".309",".411",".719",".311","","-0.3","-0.1","","0.2","","999.0","22217"
"Robinson Chirinos","","29","115","100","21","4","0","4","12","13","11","36","3","0","0","",".211",".303",".375",".677",".296","","-1.0","-0.4","","0.2","","598.0","3142"
"Jacob Nottingham","BAL","36","141","126","25","5","0","5","15","16","10","48","3","2","1","",".199",".270",".360",".630",".275","","-0.6","0.0","","0.2","","600.4","16448"
"Jamie Ritchie","PIT","11","45","39","10","2","0","1","5","4","4","8","1","0","0","",".248",".331",".348",".679",".302","","0.0","-0.1","","0.2","","999.0","sa829058"
"Jose Herrera","ARI","16","64","56","12","2","0","1","7","6","6","15","0","0","0","",".219",".300",".336",".636",".281","","0.6","-0.1","","0.2","","999.0","sa830295"
"Luke Maile","MIL","26","102","91","19","4","0","1","11","9","9","30","1","1","0","",".206",".286",".304",".591",".265","","0.5","0.0","","0.2","","999.0","13355"
"Anthony Bemboom","","19","77","68","14","2","0","2","8","7","6","19","1","0","0","",".206",".279",".338",".617",".272","","0.3","-0.1","","0.2","","999.0","13854"
"Austin Romine","","36","141","133","32","6","0","3","14","16","6","39","0","0","0","",".238",".273",".362",".636",".275","","-0.3","-0.3","","0.1","","999.0","5491"
"Dustin Garneau","DET","13","51","46","9","2","0","2","6","6","4","14","1","0","0","",".204",".279",".389",".668",".289","","-0.1","-0.1","","0.1","","999.0","9433"
"René Pinto","TBR","10","38","35","8","2","0","1","4","4","2","11","0","0","0","",".221",".271",".362",".633",".275","","0.3","0.0","","0.1","","999.0","sa826668"
"Brett Cumberland","BAL","10","38","33","6","1","0","1","4","4","4","12","2","0","0","",".192",".301",".342",".643",".288","","0.1","0.0","","0.1","","999.0","sa915611"
"Tony Wolters","","23","90","79","17","3","0","1","9","8","8","20","2","1","0","",".216",".296",".304",".600",".268","","0.5","-0.2","","0.1","","999.0","11470"
"Alex Jackson","MIA","15","58","51","10","2","0","2","6","6","4","22","2","0","0","",".190",".270",".375",".645",".279","","0.1","0.0","","0.1","","999.0","17276"
"Korey Lee","HOU","6","26","24","6","1","0","1","3","3","2","5","0","0","0","",".242",".291",".375",".667",".288","","0.1","0.0","","0.1","","999.0","sa3010034"
"William Contreras","ATL","6","26","23","6","1","0","1","3","3","2","7","0","0","0","",".252",".321",".432",".752",".324","","-0.2","0.0","","0.1","","590.6","20503"
"Pedro Severino","MIL","63","250","224","52","10","1","7","24","28","21","62","2","1","0","",".233",".302",".372",".673",".294","","-2.1","-0.6","","0.1","","476.4","14523"
"Tres Barrera","WSN","8","32","28","6","1","0","1","3","3","3","7","0","0","0","",".227",".299",".353",".652",".285","","-0.1","0.0","","0.1","","999.0","19977"
"Connor Wong","BOS","6","26","24","6","1","0","1","3","3","1","8","0","0","0","",".233",".280",".405",".685",".294","","-0.1","0.0","","0.1","","999.0","19896"
"Rob Brantly","","5","19","17","4","1","0","0","2","2","1","3","0","0","0","",".246",".308",".376",".684",".298","","-0.1","0.0","","0.1","","999.0","10655"
"Patrick Mazeika","NYM","8","32","29","6","1","0","1","3","3","2","6","0","0","0","",".224",".285",".360",".645",".281","","-0.3","0.0","","0.1","","999.0","18142"
"Ali Sánchez","STL","8","32","30","7","1","0","0","3","3","2","6","0","0","0","",".240",".283",".328",".611",".268","","0.2","-0.1","","0.1","","999.0","18551"
"Payton Henry","MIA","6","26","23","5","1","0","1","2","2","2","8","1","0","0","",".217",".280",".340",".619",".271","","0.1","0.0","","0.0","","999.0","22164"
"Sam Huff","TEX","6","26","24","5","1","0","1","3","3","1","9","0","0","0","",".221",".271",".392",".663",".285","","0.1","0.0","","0.0","","579.7","22209"
"Chad Wallach","LAA","11","45","40","8","1","0","1","4","5","4","14","1","0","0","",".197",".278",".343",".621",".273","","-0.4","-0.1","","0.0","","999.0","17161"
