"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Francisco Álvarez","NYM","100","401","356","80","13","1","21","50","63","32","109","5","4","3","",".225",".295",".444",".739",".315","","-0.7","-6.5","","0.3","0.8","1.4","","999.0","sa3010862"
"Korey Lee","HOU","93","381","355","87","15","1","10","48","38","23","79","1","4","2","",".245",".292",".377",".670",".290","","-0.3","2.1","","-7.6","9.1","1.4","","999.0","sa3010034"
"Gary Sánchez","NYY","111","434","380","79","14","1","23","54","66","47","122","6","0","0","",".208",".304",".432",".736",".316","","-0.3","-8.5","","0.0","-0.5","1.4","","255.8","11442"
"Ryan Jeffers","MIN","105","394","354","75","13","1","15","41","44","33","126","6","0","1","",".212",".289",".381",".671",".293","","-0.7","1.9","","-8.4","9.2","1.4","","470.2","24618"
"Yan Gomes","CHC","94","352","325","80","15","1","12","41","45","20","80","5","1","0","",".246",".298",".409",".708",".302","","-0.1","1.3","","-6.3","7.7","1.3","","377.2","9627"
"Luis Campusano","SDP","101","410","372","90","17","2","13","41","39","30","89","5","1","0","",".242",".306",".403",".709",".307","","-0.1","-5.2","","-3.0","2.3","1.3","","999.0","22217"
"Dillon Dingler","DET","91","382","351","80","9","2","14","47","43","16","101","9","1","0","",".228",".277",".385",".662",".286","","-0.1","2.6","","-9.8","9.7","1.3","","999.0","sa3014528"
"Jamie Ritchie","PIT","79","321","280","70","16","1","3","45","23","33","58","5","1","1","",".250",".338",".346",".684",".306","","-0.5","0.6","","-4.4","6.5","1.3","","999.0","sa829058"
"Tom Murphy","SEA","89","307","273","58","10","1","12","32","38","30","99","2","1","1","",".212",".293",".388",".681",".296","","-0.4","0.3","","-3.8","5.9","1.3","","491.5","13499"
"William Contreras","ATL","104","380","342","86","12","1","15","44","48","32","102","5","0","0","",".251",".324",".424",".748",".323","","-0.3","-6.6","","-0.8","0.4","1.2","","590.6","20503"
"René Pinto","TBR","93","366","339","73","16","1","9","37","37","21","110","3","3","2","",".215",".266",".348",".614",".267","","-0.5","6.0","","-13.0","12.7","1.2","","999.0","sa826668"
"Yadier Molina","STL","109","421","393","96","16","0","9","37","54","19","70","5","3","0","",".244",".286",".354",".639",".278","","0.3","3.3","","-12.8","11.0","1.2","","298.7","7007"
"Miguel Amaya","CHC","63","268","230","50","11","0","8","35","27","30","56","6","2","0","",".217",".321",".370",".690",".306","","0.2","1.9","","-3.6","6.8","1.2","","999.0","sa917354"
"Eric Haase","DET","108","410","376","82","14","1","16","49","57","28","135","3","2","0","",".218",".276",".388",".664",".286","","0.1","0.7","","-10.2","8.2","1.2","","315.8","14111"
"Tucker Barnhart","DET","113","380","340","78","16","1","6","33","35","33","87","4","0","1","",".229",".303",".335",".639",".282","","-0.7","3.8","","-11.8","10.8","1.2","","399.6","10200"
"Roberto Pérez","PIT","85","303","264","52","7","1","9","26","31","31","92","2","1","0","",".197",".284",".333",".618",".274","","0.0","7.8","","-11.6","13.4","1.2","","496.3","2900"
"Brett Auerbach","SFG","96","404","370","85","14","1","13","46","42","25","97","5","18","3","",".230",".286",".378",".664",".289","","2.0","4.3","","-7.3","5.8","1.2","","999.0","sa3014941"
"Wilson Ramos","","98","361","335","90","14","0","12","34","49","22","63","2","0","0","",".269",".316",".418",".734",".316","","-0.3","-7.1","","-0.6","-0.4","1.1","","600.8","1433"
"Brett Cumberland","BAL","80","316","267","49","9","0","11","34","27","31","107","17","0","0","",".184",".307",".341",".648",".293","","-0.3","1.8","","-7.2","7.6","1.1","","999.0","sa915611"
"Cal Raleigh","SEA","103","411","381","84","22","0","16","42","52","24","106","3","3","1","",".220",".270",".404",".674",".288","","-0.1","-3.0","","-7.5","4.6","1.1","","539.8","21534"
"Andrew Knizner","STL","83","309","280","67","11","0","8","35","31","21","55","6","3","0","",".239",".304",".364",".668",".292","","0.3","0.6","","-5.5","6.3","1.1","","593.5","19514"
"James McCann","NYM","114","420","386","91","16","1","11","37","48","28","119","4","2","2","",".236",".293",".368",".661",".287","","-0.8","-1.4","","-9.3","6.3","1.1","","347.3","12859"
"Freddy Fermin","KCR","81","328","306","76","14","0","7","41","32","18","61","2","1","1","",".248",".294",".363",".656",".286","","-0.5","2.8","","-9.4","8.9","1.1","","999.0","sa918173"
"Jose Herrera","ARI","87","345","304","66","13","1","6","35","28","36","83","1","2","1","",".217",".299",".326",".625",".277","","-0.3","6.5","","-13.8","12.9","1.1","","999.0","sa830295"
"Martín Maldonado","HOU","109","375","332","65","12","1","11","37","38","34","109","6","0","0","",".196",".282",".337",".619",".273","","-0.3","3.3","","-12.5","10.2","1.0","","549.2","6887"
"Manny Piña","ATL","71","200","177","39","7","0","8","20","29","17","44","5","0","0","",".220",".305",".395",".700",".304","","-0.2","3.7","","-3.6","7.4","1.0","","553.2","2829"
"Willians Astudillo","","95","330","314","86","13","0","10","36","37","6","16","7","3","1","",".274",".300",".411",".711",".304","","-0.1","1.1","","-3.4","2.3","1.0","","600.9","15608"
"Brian O'Keefe","SEA","100","415","380","83","12","0","16","44","48","32","123","2","2","1","",".218",".282",".376",".658",".287","","-0.3","-3.5","","-8.2","4.1","1.0","","999.0","sa829152"
"Ben Rortvedt","MIN","77","274","248","51","10","1","8","29","26","19","76","4","0","0","",".206",".272",".351",".623",".271","","-0.2","6.0","","-10.5","11.1","1.0","","999.0","20287"
"David Freitas","NYY","80","297","263","69","12","0","7","34","31","28","57","3","1","0","",".262",".338",".388",".726",".318","","-0.1","-6.2","","0.5","-0.7","1.0","","999.0","10619"
"Travis d'Arnaud","ATL","77","296","268","66","13","0","10","32","41","23","74","2","0","0","",".246",".307",".407",".714",".309","","-0.2","-1.4","","-4.2","4.1","1.0","","207.6","7739"
"Victor Caratini","SDP","113","345","305","73","12","0","8","34","38","32","77","5","2","0","",".239",".319",".357",".676",".295","","0.1","-2.4","","-5.9","4.0","0.9","","558.1","14968"
"Jason Castro","HOU","66","203","172","37","8","0","8","24","22","26","64","3","0","0","",".215",".327",".401",".728",".320","","-0.2","-2.2","","1.0","1.5","0.9","","592.4","8722"
"Ryan Lavarnway","","57","216","196","46","9","0","8","24","26","16","60","2","0","0","",".235",".298",".403",".701",".303","","-0.2","0.5","","-2.5","4.5","0.9","","999.0","8879"
"Riley Adams","WSN","90","336","293","63","13","1","10","35","30","31","112","10","1","0","",".215",".310",".369",".679",".301","","-0.1","-1.6","","-6.6","4.5","0.9","","591.1","19864"
"Joey Bart","SFG","77","318","294","70","13","1","9","38","32","17","99","5","1","1","",".238",".290",".381",".671",".292","","-0.5","-0.3","","-7.1","5.5","0.9","","265.8","21524"
"José Godoy","SEA","88","343","314","75","13","1","6","39","30","19","72","4","1","0","",".239",".288",".344",".632",".277","","-0.1","0.4","","-9.4","6.7","0.9","","999.0","15808"
"Austin Barnes","LAD","89","268","234","49","10","0","7","33","28","26","67","5","3","1","",".209",".301",".342",".643",".283","","0.0","2.7","","-7.6","7.6","0.9","","592.1","12158"
"Meibrys Viloria","TEX","96","368","330","72","14","1","8","36","30","30","106","4","2","2","",".218",".290",".339",".629",".278","","-0.7","1.6","","-12.0","8.3","0.9","","999.0","17109"
"Elias Díaz","COL","106","360","329","86","17","1","12","44","42","27","59","2","0","0","",".261",".319",".429",".748",".321","","-0.3","-3.9","","-6.3","2.8","0.8","","246.6","11680"
"Cooper Hummel","ARI","103","393","330","76","15","3","10","49","40","51","99","7","3","2","",".230",".344",".385",".728",".323","","-0.6","0.8","","-1.1","-3.6","0.8","","999.0","sa918412"
"Bryan Lavastida","CLE","91","359","322","80","17","1","8","57","40","28","75","3","11","5","",".248",".312",".382",".694",".302","","-0.2","-6.0","","-4.7","0.6","0.8","","999.0","sa3006917"
"Kyle Higashioka","NYY","74","252","233","48","11","0","12","27","37","16","69","1","0","0","",".206",".258",".408",".666",".284","","-0.1","1.6","","-6.7","6.3","0.8","","563.0","5517"
"Cam Gallagher","KCR","58","180","164","41","9","0","3","17","13","12","30","1","0","0","",".250",".303",".360",".663",".291","","-0.1","3.1","","-4.4","6.4","0.8","","600.1","12981"
"Tyler Heineman","","59","214","191","46","9","1","5","24","20","16","42","3","1","1","",".241",".308",".377",".685",".300","","-0.4","1.6","","-4.6","5.6","0.8","","999.0","13897"
"Brian Serven","COL","75","278","254","56","11","1","10","29","29","15","70","4","1","1","",".220",".272",".390",".662",".284","","-0.4","7.2","","-13.6","12.3","0.8","","999.0","sa857231"
"Austin Hedges","CLE","94","324","294","57","10","0","12","31","39","19","93","3","1","0","",".194",".248",".350",".599",".257","","0.0","6.9","","-16.0","12.8","0.8","","580.3","12976"
"Jose Trevino","TEX","89","317","299","72","17","0","6","30","31","12","56","0","1","1","",".241",".267",".358",".625",".267","","-0.4","4.2","","-13.0","10.0","0.8","","584.0","16725"
"Garrett Stubbs","PHI","68","229","202","45","9","1","4","28","19","20","45","2","5","1","",".223",".296",".337",".633",".280","","0.4","3.7","","-7.8","7.9","0.8","","999.0","18067"
"Eliezer Alfonzo","DET","101","409","389","99","16","0","9","59","45","15","39","1","2","1","",".254",".283",".365",".648",".280","","-0.3","-1.1","","-12.7","6.4","0.8","","999.0","sa3003262"
"Alex Avila","","48","148","121","22","6","0","4","10","13","24","53","2","0","0","",".182",".327",".331",".657",".294","","-0.1","3.5","","-3.8","6.3","0.7","","999.0","7476"
"Nick Fortes","MIA","102","389","349","79","15","2","9","48","38","28","73","7","4","1","",".226",".295",".358",".653",".285","","0.1","-3.1","","-9.5","4.0","0.7","","592.5","21538"
"Connor Wong","BOS","85","351","328","74","16","3","12","38","41","19","122","3","7","2","",".226",".274",".402",".676",".290","","0.3","-1.9","","-9.3","4.6","0.7","","999.0","19896"
"Ronaldo Hernández","BOS","106","423","397","95","21","2","12","44","47","15","87","6","2","1","",".239",".275",".393",".668",".286","","-0.3","-1.7","","-13.2","6.1","0.7","","999.0","sa881850"
"Michael Papierski","HOU","102","410","352","67","11","1","7","51","30","48","106","7","1","4","",".190",".299",".287",".586",".269","","-1.8","2.4","","-16.7","9.9","0.7","","999.0","sa829203"
"Reese McGuire","TOR","93","303","276","65","15","1","6","31","22","20","62","2","1","0","",".236",".290",".362",".652",".283","","0.0","0.7","","-9.8","6.3","0.7","","599.9","15674"
"Rob Brantly","","76","271","245","60","10","1","6","32","26","17","47","7","0","0","",".245",".311",".367",".678",".297","","-0.2","-3.1","","-4.3","1.9","0.7","","999.0","10655"
"Logan O'Hoppe","PHI","106","437","402","96","16","1","14","53","48","25","90","3","4","2","",".239",".286",".388",".674",".291","","-0.4","-3.4","","-12.2","4.6","0.7","","999.0","sa3007519"
"David Rodríguez","","68","253","232","50","9","1","6","24","22","18","71","2","2","0","",".216",".277",".341",".617",".269","","0.2","2.5","","-8.7","7.1","0.7","","999.0","sa735825"
"Aramis Garcia","CIN","84","320","294","66","13","1","12","36","38","18","98","3","0","1","",".224",".274",".398",".672",".289","","-0.6","1.6","","-11.3","7.5","0.7","","999.0","16925"
"Kevin Plawecki","BOS","61","183","164","42","10","1","3","17","19","14","31","4","0","0","",".256",".330",".384",".714",".314","","-0.2","-1.6","","-1.5","1.8","0.7","","576.1","13807"
"Nick Dini","NYM","61","220","199","46","9","0","8","27","24","13","48","4","4","1","",".231",".289",".397",".686",".296","","0.2","-2.4","","-2.6","1.6","0.6","","999.0","18206"
"Carson Taylor","LAD","85","361","329","80","13","0","11","49","44","25","75","1","1","0","",".243",".296",".383",".679",".295","","-0.1","-5.4","","-6.9","1.2","0.6","","999.0","sa3014468"
"Alex Jackson","MIA","85","311","276","50","10","1","13","33","33","22","123","11","1","0","",".181",".268",".366",".634",".275","","0.0","0.5","","-10.3","6.2","0.6","","999.0","17276"
"Tony Wolters","","97","316","278","61","10","1","4","35","32","26","69","7","1","2","",".219",".299",".306",".605",".270","","-0.9","3.2","","-13.4","9.0","0.6","","999.0","11470"
"Jhonny Pereda","SFG","85","332","298","67","12","1","4","32","23","29","59","1","2","1","",".225",".294",".312",".606",".269","","-0.3","2.1","","-13.4","8.2","0.6","","999.0","sa735866"
"Dom Nuñez","COL","78","284","246","50","12","2","12","34","35","34","94","2","1","1","",".203",".303",".415",".717",".306","","-0.4","-0.2","","-8.7","5.0","0.6","","575.4","15055"
"P.J. Higgins","CHC","89","355","318","74","12","1","6","36","31","29","76","3","3","2","",".233",".299",".333",".633",".280","","-0.5","0.7","","-13.3","7.3","0.6","","999.0","18433"
"Maverick Handley","BAL","62","228","206","35","7","0","4","25","17","17","75","4","7","1","",".170",".246",".262",".508",".230","","0.8","9.7","","-15.9","13.8","0.6","","999.0","sa3010848"
"Michael Perez","PIT","73","249","225","46","10","1","7","24","27","21","67","1","0","1","",".204",".273",".351",".624",".271","","-0.6","3.5","","-10.7","8.1","0.6","","999.0","12977"
"Xavier Fernández","CHW","74","283","261","61","10","0","9","31","28","16","55","2","2","1","",".234",".281",".375",".657",".283","","-0.2","-1.5","","-7.8","3.7","0.6","","999.0","sa737922"
"Logan Porter","KCR","70","280","251","57","11","0","9","35","30","23","72","4","0","0","",".227",".301",".378",".680",".298","","-0.2","-4.0","","-5.2","1.2","0.5","","999.0","sa3007750"
"Zack Collins","CHW","97","358","302","59","14","1","11","40","42","50","123","2","1","0","",".195",".311",".358",".669",".296","","-0.1","-7.8","","-5.8","-1.3","0.5","","592.7","19181"
"Deivy Grullón","","84","338","305","67","12","0","15","38","44","28","112","2","1","0","",".220",".288",".407",".694",".300","","0.0","-8.2","","-4.4","-2.0","0.5","","999.0","15988"
"Mickey Gasper","NYY","83","329","293","61","12","0","9","34","30","28","80","5","2","0","",".208",".287",".341",".628",".276","","0.2","-1.7","","-10.4","4.3","0.5","","999.0","sa3007747"
"Tres Barrera","WSN","89","339","302","67","14","1","7","35","32","27","75","5","1","1","",".222",".294",".344",".638",".280","","-0.5","0.4","","-12.8","6.6","0.5","","999.0","19977"
"Cesar Salazar","HOU","61","238","215","45","9","0","6","23","23","12","55","6","2","1","",".209",".267",".335",".602",".264","","-0.2","2.4","","-9.9","6.8","0.5","","999.0","sa3008107"
"Jorge Alfaro","SDP","110","382","355","85","14","1","10","32","43","17","123","9","7","2","",".239",".291",".369",".660",".287","","0.3","-5.8","","-8.9","1.2","0.5","","389.5","12180"
"Curt Casali","SFG","75","225","198","43","9","0","6","20","24","22","63","3","0","0","",".217",".304",".354",".657",".288","","-0.2","-1.2","","-5.6","2.9","0.5","","591.4","12510"
"René Rivera","","66","239","218","45","7","0","10","25","31","14","80","3","0","0","",".206",".263",".376",".639",".276","","-0.2","1.9","","-9.6","6.3","0.5","","999.0","3648"
"Max McDowell","NYY","67","241","209","40","8","0","3","25","16","21","61","8","2","1","",".191",".289",".273",".561",".258","","-0.2","3.4","","-11.6","7.9","0.4","","999.0","sa875626"
"Dustin Garneau","DET","55","188","167","33","8","0","8","21","23","14","52","4","0","0","",".198",".273",".389",".662",".286","","-0.1","-0.5","","-4.9","2.9","0.4","","999.0","9433"
"Vito Friscia","PHI","72","287","255","55","10","1","6","37","26","24","85","3","2","0","",".216",".288",".333",".621",".274","","0.2","1.1","","-11.5","6.4","0.4","","999.0","sa3010712"
"Rafael Marchan","PHI","93","350","320","71","12","2","5","43","26","24","65","4","1","1","",".222",".284",".319",".602",".267","","-0.5","3.2","","-16.8","9.6","0.4","","999.0","21646"
"Austin Wynns","","74","248","227","53","6","0","6","28","24","16","50","2","1","0","",".233",".289",".339",".628",".277","","0.0","0.1","","-8.7","4.7","0.4","","999.0","15271"
"Luke Berryhill","HOU","79","319","283","64","13","0","13","41","44","24","106","8","3","1","",".226",".303",".410",".713",".309","","-0.1","-9.2","","-1.0","-5.7","0.4","","999.0","sa3011587"
"Jakson Reetz","MIL","84","331","293","56","11","1","9","35","29","28","96","8","1","1","",".191",".279",".328",".606",".270","","-0.5","2.0","","-15.0","8.1","0.4","","999.0","17837"
"David García","TEX","86","334","313","72","13","0","6","42","30","16","80","1","0","0","",".230",".268",".329",".597",".261","","-0.2","1.6","","-15.2","7.8","0.4","","999.0","sa3003197"
"Tomás Telis","LAD","100","415","395","110","13","1","9","51","44","16","54","2","3","1","",".278",".309",".385",".694",".300","","-0.2","3.7","","-6.0","-3.9","0.4","","999.0","10067"
"Webster Rivas","SDP","70","258","232","52","8","0","5","25","18","21","59","2","0","0","",".224",".293",".323",".616",".273","","-0.2","-0.1","","-9.4","4.6","0.4","","999.0","14636"
"Anthony Bemboom","","70","249","222","45","7","1","7","28","22","20","63","2","1","1","",".203",".272",".338",".610",".268","","-0.4","1.5","","-10.9","6.0","0.4","","999.0","13854"
"Tomás Nido","NYM","64","193","183","40","8","1","4","18","19","7","52","2","1","0","",".219",".254",".339",".593",".254","","0.1","2.8","","-9.1","6.3","0.4","","600.8","13755"
"John Hicks","CHC","79","301","283","66","13","1","11","33","37","15","87","1","3","1","",".233",".273",".403",".676",".290","","0.0","-5.9","","-6.3","-0.3","0.4","","999.0","12547"
"Hayden Senger","NYM","73","292","264","53","12","1","5","21","17","17","85","8","0","0","",".201",".268",".311",".579",".257","","-0.2","2.0","","-13.5","7.4","0.4","","999.0","sa3007009"
"Ali Sánchez","STL","85","324","305","71","13","0","3","31","22","16","61","1","1","2","",".233",".272",".305",".577",".255","","-0.9","4.0","","-17.1","9.9","0.4","","999.0","18551"
"Chance Sisco","NYM","90","317","276","59","11","0","9","34","31","29","93","11","0","0","",".214",".312",".351",".664",".295","","-0.3","-8.2","","-4.7","-2.4","0.3","","999.0","15694"
"Dominic Miroglio","ARI","85","333","303","70","15","2","6","32","27","21","75","5","1","2","",".231",".290",".353",".643",".280","","-0.9","-0.8","","-13.0","5.3","0.3","","999.0","sa739013"
"Mark Kolozsvary","CIN","68","260","229","41","9","1","7","25","23","21","91","9","0","1","",".179",".273",".319",".592",".265","","-0.6","4.3","","-14.4","9.1","0.3","","999.0","sa3004996"
"Rodolfo Durán","NYY","51","195","184","38","6","1","5","17","16","9","50","1","0","0","",".207",".246",".332",".578",".251","","-0.1","3.5","","-10.6","7.1","0.3","","999.0","sa877500"
"Patrick Bailey","SFG","85","379","349","74","17","0","9","40","29","28","96","2","4","0","",".212",".274",".338",".613",".268","","0.5","-1.9","","-14.6","5.1","0.3","","999.0","sa3014442"
"Robinson Chirinos","","72","227","196","41","9","1","7","23","26","22","72","6","0","0","",".209",".305",".372",".678",".297","","-0.2","-3.6","","-5.2","0.6","0.3","","598.0","3142"
"Brett Sullivan","MIL","95","374","345","80","17","2","8","40","35","24","64","2","9","4","",".232",".283",".362",".646",".281","","-0.1","-2.9","","-13.4","4.0","0.3","","999.0","sa857232"
"Matt Whatley","TEX","93","344","307","61","10","1","5","32","21","28","95","4","9","5","",".199",".273",".287",".559",".250","","-0.6","3.8","","-18.9","10.1","0.3","","999.0","sa915868"
"Nick Ciuffo","","43","154","141","29","7","0","4","14","15","10","51","0","1","0","",".206",".255",".340",".595",".258","","0.1","2.5","","-7.7","5.3","0.3","","999.0","16291"
"Eli Wilson","PIT","61","242","216","49","11","1","4","38","24","20","62","4","0","0","",".227",".303",".343",".645",".286","","-0.2","-2.7","","-7.0","1.8","0.3","","999.0","sa918961"
"Tim Federowicz","","51","177","162","33","7","0","5","15","16","11","51","1","0","0","",".204",".257",".340",".597",".260","","-0.1","2.1","","-8.5","5.4","0.3","","999.0","8609"
"Renae Martinez","ARI","81","327","297","60","14","0","7","31","27","24","96","4","2","1","",".202",".269",".320",".589",".261","","-0.2","3.5","","-17.5","9.5","0.3","","999.0","sa3004255"
"Drew Millas","WSN","91","402","361","84","14","1","6","58","35","32","75","3","7","2","",".233",".298",".327",".625",".276","","0.2","-2.3","","-15.6","5.1","0.3","","999.0","sa3014475"
"Bryce Windham","CHC","54","211","192","48","8","1","2","29","17","17","32","0","2","1","",".250",".310",".333",".643",".285","","-0.2","1.7","","-6.9","2.5","0.3","","999.0","sa3010403"
"David Fry","MIL","110","446","407","85","19","1","13","47","46","32","121","5","2","2","",".209",".274",".356",".630",".275","","-0.7","4.7","","-18.6","6.3","0.2","","999.0","sa3006787"
"Anthony Mulrine","LAA","59","211","186","36","6","0","4","24","15","14","52","9","0","1","",".194",".281",".290",".571",".260","","-0.6","2.0","","-10.6","5.9","0.2","","999.0","sa1170373"
"Pedro Severino","MIL","111","400","360","83","15","1","10","34","46","33","99","3","1","0","",".231",".298",".361",".659",".288","","-0.1","-6.4","","-11.8","1.0","0.2","","476.4","14523"
"Bryan Holaday","","62","173","157","35","8","0","4","16","19","11","37","2","1","1","",".223",".279",".350",".629",".272","","-0.3","1.1","","-7.8","4.3","0.2","","999.0","11287"
"Andy Yerzy","ARI","105","433","376","79","12","0","24","56","56","41","123","12","6","1","",".210",".306",".434",".740",".319","","0.5","-2.7","","-1.5","-10.7","0.2","","999.0","sa917939"
"Michael Cruz","LAA","59","208","187","39","7","0","8","24","24","14","56","5","0","0","",".209",".280",".374",".655",".284","","-0.1","-2.9","","-5.9","0.9","0.2","","999.0","sa918049"
"Jeferson Morales","MIN","101","411","376","85","20","0","13","50","49","26","84","7","6","2","",".226",".288",".383",".671",".292","","0.1","0.8","","-8.3","-3.7","0.2","","999.0","sa3005472"
"Payton Henry","MIA","96","374","340","68","12","1","8","35","29","22","128","9","0","1","",".200",".265",".312",".577",".255","","-0.7","1.9","","-19.3","8.8","0.2","","999.0","22164"
