"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Marcus Semien","TEX","153","685","613","165","34","3","32","103","84","67","128","2","13","4","",".269",".342",".491",".833",".355","","0.4","5.9","","22.9","8.4","5.5","","37.3","12533"
"Brandon Lowe","TBR","139","568","499","123","27","2","33","83","95","58","165","8","7","1","",".246",".333",".507",".840",".355","","0.6","0.5","","22.5","2.6","4.4","","73.9","18882"
"Ozzie Albies","ATL","156","682","627","174","40","7","26","106","91","47","120","4","19","4","",".278",".330",".488",".818",".346","","1.6","3.9","","13.7","6.4","4.3","","18.9","16556"
"Jonathan India","CIN","151","634","534","140","34","2","21","99","73","72","144","23","12","3","",".262",".371",".451",".823",".358","","0.5","2.8","","15.6","5.1","4.2","","90.6","21523"
"Jorge Polanco","MIN","152","660","601","168","35","4","28","96","93","48","115","4","11","6","",".280",".334",".491",".825",".350","","-0.8","-3.2","","17.6","-0.8","3.9","","78.6","13152"
"Jake Cronenworth","SDP","141","596","533","147","31","6","17","84","64","50","88","8","7","4","",".276",".345",".452",".797",".342","","-0.8","2.8","","12.0","5.0","3.7","","120.5","18036"
"Jose Altuve","HOU","137","621","558","153","28","2","25","101","75","54","92","4","7","4","",".274",".340",".466",".806",".345","","-0.8","-2.6","","15.6","-0.3","3.6","","72.9","5417"
"Tommy Edman","STL","156","667","617","170","32","6","13","88","60","37","101","7","29","5","",".276",".322",".410",".732",".316","","3.1","7.8","","3.5","10.2","3.6","","85.2","19470"
"Enrique Hernández","BOS","141","540","477","126","28","3","22","75","67","50","105","7","2","0","",".264",".339",".474",".813",".346","","0.0","4.0","","10.4","6.0","3.5","","220.2","10472"
"Max Muncy","LAD","134","539","450","111","21","2","32","85","99","79","129","8","3","1","",".247",".367",".516",".883",".374","","-0.3","1.1","","25.2","-8.8","3.4","","146.2","13301"
"Whit Merrifield","KCR","155","692","641","182","38","5","11","91","64","39","102","5","32","7","",".284",".327",".410",".737",".317","","2.9","6.4","","1.6","8.9","3.4","","30.9","11281"
"DJ LeMahieu","NYY","141","636","574","162","26","2","13","88","63","54","87","3","5","2","",".282",".344",".402",".747",".326","","-0.4","5.2","","4.9","7.5","3.4","","111.0","9874"
"Ketel Marte","ARI","130","537","489","142","32","6","17","68","61","41","83","4","5","1","",".290",".348",".485",".833",".354","","0.1","0.8","","13.4","2.8","3.4","","80.0","13613"
"Nicky Lopez","KCR","147","576","515","140","23","5","4","69","40","45","75","4","16","4","",".272",".334",".359",".693",".306","","1.0","9.2","","-5.2","15.5","3.0","","241.7","19339"
"Andrés Giménez","CLE","135","479","437","110","22","3","15","58","47","22","115","14","20","5","",".252",".306",".419",".725",".312","","1.5","7.3","","-0.5","12.6","2.8","","272.4","19950"
"Jeff McNeil","NYM","129","506","458","129","26","2","12","62","52","34","66","12","5","2","",".282",".346",".426",".772",".335","","-0.3","-0.4","","9.4","1.5","2.8","","320.6","15362"
