"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","156","667","581","176","31","2","43","117","112","79","99","5","3","1","",".303",".390",".585",".975",".408","","-0.4","-0.4","","47.3","-12.7","5.7","","5.8","19611"
"Matt Olson","OAK","146","620","527","139","29","0","37","89","110","79","130","9","3","1","",".264",".366",".529",".896",".375","","-0.3","5.3","","32.8","-6.1","4.8","","41.0","14344"
"Freddie Freeman","","149","651","562","165","32","2","29","101","92","80","116","6","7","3","",".294",".386",".512",".898",".378","","-0.5","2.6","","28.3","-9.4","4.0","","19.7","5361"
"Pete Alonso","NYM","151","644","560","145","26","2","41","86","110","65","150","15","2","0","",".259",".349",".532",".882",".370","","-0.1","-0.3","","30.8","-12.1","4.0","","50.0","19251"
"Max Muncy","LAD","134","539","450","111","21","2","32","85","99","79","129","8","3","1","",".247",".367",".516",".883",".374","","-0.3","1.1","","25.2","-8.8","3.4","","146.2","13301"
"DJ LeMahieu","NYY","141","636","574","162","26","2","13","88","63","54","87","3","5","2","",".282",".344",".402",".747",".326","","-0.4","5.2","","4.9","7.5","3.4","","111.0","9874"
"Ty France","SEA","156","640","567","160","31","2","21","84","83","43","115","25","1","1","",".282",".356",".455",".811",".351","","-0.8","0.5","","20.9","-11.3","3.1","","139.7","17982"
"Paul Goldschmidt","STL","147","625","552","148","28","2","25","83","83","67","140","3","7","1","",".268",".349",".462",".811",".348","","0.4","3.0","","17.1","-8.5","2.9","","48.2","9218"
"Anthony Rizzo","","132","552","469","122","21","2","23","69","75","56","87","22","6","2","",".260",".362",".461",".823",".354","","-0.2","1.6","","17.5","-8.5","2.8","","183.5","3473"
"Jared Walsh","LAA","146","579","522","139","30","2","31","75","104","47","151","5","2","1","",".266",".330",".510",".839",".353","","-0.4","-0.4","","16.6","-11.0","2.5","","117.6","18607"
"Nathaniel Lowe","TEX","152","621","540","143","26","2","22","79","77","75","150","3","6","0","",".265",".356",".443",".798",".345","","0.6","-1.6","","16.1","-13.0","2.4","","245.9","19566"
"Josh Bell","WSN","141","568","495","135","27","2","28","78","100","65","106","3","0","1","",".273",".357",".505",".862",".364","","-0.9","-3.1","","18.0","-13.5","2.3","","128.6","13145"
"Rhys Hoskins","PHI","125","538","455","109","29","2","28","73","84","72","132","8","3","2","",".240",".351",".497",".848",".362","","-0.7","-1.6","","16.3","-11.4","2.3","","134.7","16472"
"José Abreu","CHW","141","614","549","145","31","2","27","75","109","44","135","14","1","0","",".264",".331",".475",".806",".341","","-0.3","-1.7","","13.1","-13.0","2.1","","75.7","15676"
