"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ha-Seong Kim","SDP","133","465","415","97","21","2","14","57","61","39","95","5","11","1","",".234",".305",".395",".700",".303","","1.4","2.2","","-3.6","7.4","1.9","","375.9","27506"
"Donovan Walton","SEA","104","445","395","101","18","2","12","58","50","32","67","9","2","5","",".256",".323",".403",".725",".315","","-2.1","-0.7","","-0.2","4.2","1.9","","999.0","19314"
"José Iglesias","","138","510","482","138","32","3","7","58","54","19","67","6","6","3","",".286",".320",".409",".729",".314","","-0.5","0.0","","-4.2","5.6","1.9","","591.7","10231"
"Michael Stefanic","LAA","123","529","482","128","19","0","12","65","45","36","79","9","4","4","",".266",".328",".380",".707",".311","","-1.4","2.4","","-4.2","4.4","1.8","","999.0","sa3008479"
"Brayan Rocchio","CLE","115","517","480","123","22","3","13","67","57","25","118","10","15","7","",".256",".306",".396",".702",".305","","-0.3","-0.3","","-5.4","5.4","1.8","","999.0","sa3005898"
"Jordan Westburg","BAL","117","524","468","114","21","3","14","74","61","39","127","9","9","2","",".244",".312",".391",".703",".306","","0.5","-1.1","","-5.1","4.7","1.7","","999.0","sa3014499"
"Anthony Volpe","NYY","110","513","461","105","20","1","22","59","67","38","120","8","16","4","",".228",".296",".419",".715",".307","","1.2","-3.5","","-2.3","2.2","1.7","","999.0","sa3010868"
"Jeremy Peña","HOU","96","414","382","97","12","4","15","37","37","22","110","7","8","4","",".254",".304",".424",".728",".313","","-0.4","-0.9","","-0.3","3.6","1.7","","459.5","sa876320"
"Nick Ahmed","ARI","137","513","469","114","28","4","10","57","54","37","108","2","7","2","",".243",".299",".384",".683",".294","","0.2","7.2","","-12.7","12.9","1.7","","567.3","12147"
"Jose Barrero","CIN","115","460","413","103","21","2","13","57","57","30","114","10","13","3","",".249",".313",".404",".717",".310","","1.0","2.7","","-6.2","7.8","1.7","","428.6","23378"
"Edmundo Sosa","STL","124","432","394","99","15","4","9","48","38","18","88","15","4","4","",".251",".307",".378",".685",".298","","-1.2","5.0","","-7.3","9.7","1.7","","422.0","17022"
"Ryan Kreidler","DET","122","516","466","109","19","1","15","53","44","37","143","5","11","4","",".234",".295",".376",".670",".291","","0.1","4.1","","-10.8","9.8","1.7","","999.0","sa3010587"
"Jonathan Villar","","148","570","514","126","19","2","17","69","51","49","147","3","23","8","",".245",".313",".389",".702",".306","","0.8","-2.6","","-2.0","-0.5","1.6","","291.6","10071"
"Orlando Arcia","ATL","134","468","426","105","19","1","14","46","51","34","85","2","6","3","",".246",".303",".394",".697",".300","","-0.4","5.7","","-10.1","10.9","1.6","","597.5","13185"
"Bryson Stott","PHI","111","457","409","100","17","2","12","50","42","43","115","1","7","5","",".244",".317",".384",".701",".306","","-1.1","3.5","","-7.6","8.6","1.6","","460.3","sa3011443"
"Josh H. Smith","TEX","83","371","336","84","15","2","9","36","27","26","78","7","14","3","",".250",".316",".387",".703",".308","","1.2","-0.2","","-1.0","3.9","1.6","","999.0","sa3011703"
"Andrelton Simmons","","118","449","415","105","17","1","4","44","37","28","52","3","5","1","",".253",".304",".328",".632",".279","","0.2","8.9","","-13.7","13.9","1.5","","590.0","10847"
"Brendan Rodgers","COL","107","429","399","112","22","3","16","51","51","21","88","7","1","1","",".281",".326",".471",".798",".341","","-0.6","-0.2","","-0.9","1.4","1.5","","161.4","17907"
"Taylor Walls","TBR","105","431","379","83","19","2","7","48","39","44","116","2","16","9","",".219",".301",".335",".636",".281","","-0.9","5.9","","-10.7","10.7","1.5","","561.3","22458"
"Yairo Muñoz","PHI","113","385","359","102","20","2","8","43","36","19","68","3","12","4","",".284",".324",".418",".742",".319","","0.4","0.9","","-0.8","2.4","1.5","","999.0","16313"
"Oswald Peraza","NYY","119","531","492","121","20","1","14","55","47","30","119","5","25","7","",".246",".295",".376",".671",".292","","1.7","-0.7","","-8.6","5.2","1.5","","599.8","sa3003305"
"Danny Mendick","CHW","125","447","398","93","15","1","10","47","41","41","95","4","7","5","",".234",".309",".352",".661",".292","","-1.1","3.8","","-9.5","8.7","1.4","","999.0","18889"
"Oswaldo Cabrera","NYY","123","524","486","113","22","1","18","57","66","31","131","2","16","5","",".233",".280",".393",".673",".290","","0.7","4.9","","-10.4","6.9","1.4","","999.0","sa916954"
"David Hamilton","BOS","107","481","445","102","21","4","8","48","35","32","108","2","33","5","",".229",".283",".348",".632",".276","","4.2","7.0","","-14.4","12.3","1.4","","999.0","sa3014434"
"Ramón Urías","BAL","110","407","365","92","22","0","11","45","46","33","98","7","2","2","",".252",".325",".403",".728",".318","","-0.8","-3.4","","-1.1","1.1","1.4","","482.3","18795"
"Niko Goodrum","","107","417","374","85","19","3","11","48","41","37","125","3","14","4","",".227",".300",".382",".682",".297","","0.8","0.5","","-6.0","5.1","1.3","","562.8","12092"
"Kyle Farmer","CIN","147","469","430","110","21","2","12","48","52","21","90","13","3","2","",".256",".308",".398",".705",".305","","-0.6","2.1","","-10.0","7.3","1.3","","489.7","14813"
"Nico Hoerner","CHC","86","323","292","81","14","2","3","35","31","24","47","5","7","4","",".277",".341",".370",".710",".311","","-0.6","4.5","","-3.8","5.7","1.3","","430.9","21479"
"Tyler Freeman","CLE","85","372","346","95","19","3","3","42","27","12","44","10","8","4","",".275",".316",".373",".689",".301","","-0.4","0.9","","-5.2","5.0","1.2","","999.0","sa3004755"
"Andrew Velazquez","LAA","110","374","341","81","18","4","8","50","37","27","108","2","22","4","",".238",".296",".384",".681",".295","","2.4","-0.5","","-4.2","3.6","1.2","","999.0","14196"
"Shay Whitcomb","HOU","107","478","446","103","16","0","17","57","59","25","149","3","17","3","",".231",".275",".381",".656",".284","","1.8","0.3","","-9.7","5.5","1.2","","999.0","sa3014948"
"Clay Dungan","KCR","103","470","433","115","19","2","6","67","41","26","72","6","14","5","",".266",".314",".360",".674",".296","","0.3","3.1","","-8.8","4.9","1.2","","999.0","sa1169803"
"Thairo Estrada","SFG","108","375","347","91","17","1","12","53","45","21","71","6","5","2","",".262",".315",".421",".735",".317","","-0.1","-4.5","","-0.1","-0.3","1.2","","598.8","16426"
"Zack Short","DET","96","369","314","64","13","1","13","46","40","45","107","5","4","1","",".204",".310",".376",".686",".301","","0.1","0.0","","-4.8","4.1","1.2","","999.0","19562"
"Jose Tena","CLE","113","471","447","104","21","1","14","59","50","19","126","3","8","4","",".233",".268",".378",".646",".277","","-0.4","5.8","","-15.7","11.0","1.1","","999.0","sa3005482"
