"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yonny Hernandez","TEX","113","459","394","95","14","2","2","51","24","53","84","9","26","12","",".241",".344",".302",".646",".296","","-0.3","4.9","","-7.4","6.6","1.5","","599.7","19432"
"Wyatt Mathisen","SFG","96","346","299","66","15","1","10","42","41","32","96","12","1","0","",".221",".319",".378",".697",".308","","-0.1","4.6","","-2.6","5.8","1.5","","999.0","14555"
"Jason Vosler","SFG","111","406","358","83","17","2","13","52","46","36","95","5","1","0","",".232",".308",".399",".707",".306","","-0.1","2.4","","-3.7","3.9","1.4","","999.0","16686"
"Romy Gonzalez","CHW","108","448","414","92","18","1","17","51","54","28","142","4","13","3","",".222",".277",".394",".671",".289","","1.0","1.9","","-8.7","6.8","1.3","","999.0","21562"
"Yandy Díaz","TBR","119","486","422","111","20","1","11","58","53","58","77","2","1","1","",".263",".352",".393",".745",".326","","-0.7","-1.2","","6.3","-10.1","1.3","","409.7","16578"
"J.D. Davis","NYM","110","371","328","86","17","1","12","41","40","35","95","6","2","0","",".262",".342",".430",".772",".335","","0.1","-8.0","","7.0","-6.6","1.3","","454.6","16219"
"Carter Kieboom","WSN","117","491","428","102","18","2","14","62","54","50","117","10","2","2","",".238",".330",".388",".718",".314","","-0.9","-0.9","","-4.7","0.9","1.2","","494.5","19958"
"Jacob Wilson","","92","377","332","72","17","2","14","47","51","34","86","4","1","0","",".217",".294",".407",".701",".302","","-0.1","0.7","","-3.4","2.0","1.2","","999.0","13254"
"Aledmys Díaz","HOU","92","338","308","77","18","0","9","35","45","20","59","7","1","1","",".250",".308",".396",".704",".303","","-0.5","1.4","","-3.2","2.6","1.1","","569.9","15937"
"Alejo Lopez","CIN","115","478","434","119","19","1","5","61","36","33","63","6","6","4","",".274",".332",".357",".689",".304","","-0.9","4.3","","-11.0","6.1","1.1","","999.0","21127"
"Kevin Padlo","SEA","110","434","385","76","16","1","15","46","45","39","142","4","6","2","",".197",".275",".361",".637",".277","","0.1","6.1","","-11.6","7.7","1.1","","600.3","16593"
"Breyvic Valera","","104","383","344","88","16","2","9","46","40","31","50","2","7","5","",".256",".318",".392",".711",".309","","-1.0","1.0","","-5.0","2.4","1.0","","999.0","12758"
"Willians Astudillo","","95","330","314","86","13","0","10","36","37","6","16","7","3","1","",".274",".300",".411",".711",".304","","-0.1","1.1","","-3.4","2.3","1.0","","600.9","15608"
"Evan Longoria","SFG","95","366","332","81","15","1","12","43","48","28","80","3","2","1","",".244",".306",".404",".710",".305","","-0.3","0.5","","-3.9","1.8","1.0","","413.4","9368"
"Ivan Castillo","KCR","115","458","428","113","21","3","5","55","38","21","81","2","9","5","",".264",".299",".362",".661",".286","","-0.7","6.0","","-13.2","7.6","1.0","","999.0","15971"
"Mike Moustakas","CIN","107","415","372","92","22","1","18","46","62","35","79","5","2","0","",".247",".318",".457",".775",".330","","0.1","-5.7","","0.4","-4.1","1.0","","371.8","4892"
"Luis Guillorme","NYM","99","277","238","61","10","0","4","28","18","33","48","1","2","2","",".256",".347",".349",".695",".310","","-0.7","0.9","","-1.2","1.9","1.0","","999.0","16451"
"Mike Brosseau","MIL","115","408","366","85","18","1","14","50","47","31","110","8","4","1","",".232",".304",".402",".706",".305","","0.1","0.9","","-6.1","2.4","1.0","","594.3","19683"
"Kevin Smith","TOR","117","476","437","97","20","2","20","53","59","30","141","4","12","4","",".222",".276",".414",".691",".295","","0.4","-1.4","","-10.3","3.9","1.0","","597.0","20242"
"Matt Reynolds","NYM","98","383","337","76","18","2","5","46","28","37","104","3","4","2","",".226",".305",".335",".641",".283","","-0.3","2.1","","-9.4","6.4","1.0","","999.0","13788"
"Hanser Alberto","","125","420","400","113","22","2","5","44","35","9","40","4","4","2","",".283",".303",".385",".688",".297","","-0.4","1.9","","-8.2","3.5","1.0","","600.4","11902"
"Travis Shaw","","107","363","316","70","16","0","13","36","48","40","94","4","1","1","",".222",".315",".396",".710",".310","","-0.5","0.2","","-4.5","1.5","0.9","","600.6","11982"
"Ryan Dorow","TEX","113","457","410","87","16","1","11","45","37","36","133","6","4","2","",".212",".284",".337",".620",".273","","-0.4","5.0","","-16.3","10.0","0.9","","999.0","23559"
"Starlin Castro","","121","499","463","126","25","2","11","48","58","29","86","1","1","2","",".272",".313",".406",".719",".308","","-1.0","-1.4","","-7.7","0.4","0.9","","596.7","4579"
"Matt Duffy","","95","345","308","85","13","1","5","39","29","28","62","6","6","2","",".276",".346",".373",".719",".318","","0.0","-2.1","","-1.4","-0.8","0.9","","588.0","13836"
"Jon Berti","MIA","86","309","268","64","11","1","5","42","24","33","70","5","13","5","",".239",".331",".343",".674",".302","","0.2","0.9","","-3.2","2.1","0.9","","582.7","12037"
"Pablo Reyes","MIL","106","318","287","66","15","1","8","38","33","24","66","2","6","4","",".230",".292",".373",".665",".288","","-0.7","5.9","","-10.0","7.1","0.8","","999.0","16357"
"Santiago Espinal","TOR","115","408","375","95","18","1","5","44","31","28","65","2","7","5","",".253",".308",".347",".655",".288","","-1.0","4.6","","-12.6","6.1","0.7","","505.0","19997"
"Drew Ellis","ARI","114","463","404","86","22","1","13","51","48","46","132","7","1","2","",".213",".302",".369",".671",".295","","-1.0","1.9","","-12.2","3.6","0.7","","999.0","19873"
"Domingo Leyba","SDP","104","410","375","87","19","2","11","48","47","28","85","3","1","2","",".232",".289",".381",".670",".290","","-0.9","1.1","","-9.7","2.6","0.6","","999.0","16404"
"Andy Burns","LAD","91","347","310","70","12","1","11","39","38","32","82","2","7","3","",".226",".301",".377",".678",".296","","-0.1","-0.3","","-6.1","1.0","0.6","","999.0","12779"
"Jack Mayfield","LAA","111","420","387","89","20","1","15","46","51","23","91","4","6","1","",".230",".278",".403",".681",".292","","0.5","-1.1","","-8.3","0.4","0.6","","999.0","15402"
"Eddy Alvarez","","66","254","226","54","12","1","7","33","32","20","60","6","4","3","",".239",".316",".394",".710",".309","","-0.7","-0.7","","-2.4","0.3","0.6","","999.0","16959"
"Isan Díaz","MIA","125","453","401","89","17","2","10","51","42","48","121","2","4","3","",".222",".308",".349",".657",".289","","-0.8","0.3","","-10.7","1.9","0.6","","600.7","17922"
"Adrián Sanchez","WSN","78","263","246","64","13","1","5","30","24","14","46","1","5","3","",".260",".300",".382",".682",".294","","-0.5","3.5","","-7.0","4.4","0.6","","999.0","11338"
"Hunter Dozier","KCR","138","547","492","117","26","6","20","60","61","47","147","4","4","3","",".238",".307",".437",".744",".319","","-0.9","-5.5","","-1.1","-11.5","0.6","","385.4","15117"
"Charlie Culberson","","102","246","226","56","12","2","6","25","24","14","60","2","5","1","",".248",".296",".398",".695",".298","","0.4","-0.6","","-3.0","0.3","0.6","","597.2","3298"
"Yu Chang","CLE","99","336","310","74","17","2","12","41","45","20","95","4","2","2","",".239",".292",".423",".714",".306","","-0.7","3.9","","-3.6","-2.3","0.5","","595.0","14773"
"Brandon Drury","","111","375","346","78","17","1","11","37","40","24","90","2","0","0","",".225",".278",".376",".654",".283","","-0.3","0.8","","-9.2","2.2","0.5","","999.0","11615"
"Marwin Gonzalez","","102","376","340","78","14","0","9","37","42","27","88","6","2","2","",".229",".296",".350",".646",".284","","-0.7","0.8","","-9.8","2.2","0.5","","999.0","5497"
"Johan Camargo","PHI","122","438","399","103","21","1","16","56","52","34","89","3","0","1","",".258",".320",".436",".756",".325","","-0.8","-1.0","","-0.4","-9.0","0.5","","600.5","14950"
"Daniel Robertson","","91","280","240","53","9","0","5","30","20","31","74","7","1","1","",".221",".326",".321",".647",".292","","-0.5","0.2","","-7.7","3.3","0.5","","999.0","14145"
"Kelvin Gutierrez","BAL","114","442","409","96","13","3","9","41","40","27","108","4","5","2","",".235",".287",".347",".635",".278","","-0.2","3.4","","-15.2","5.1","0.5","","597.3","17468"
"Taylor Motter","","88","326","289","63","14","2","11","37","35","32","81","2","2","2","",".218",".298",".394",".693",".300","","-0.7","-0.5","","-6.9","0.7","0.5","","999.0","12399"
"Emmanuel Rivera","KCR","112","460","427","105","20","2","10","51","45","24","91","3","4","1","",".246",".288",".372",".661",".285","","0.0","0.5","","-13.0","2.2","0.5","","999.0","19890"
"Asdrúbal Cabrera","CIN","105","385","343","82","19","1","13","43","58","36","87","2","1","0","",".239",".312",".414",".726",".312","","-0.1","-4.0","","-5.4","-2.6","0.5","","599.8","4962"
"Rio Ruiz","","120","409","371","90","18","1","12","43","44","32","88","1","3","1","",".243",".302",".394",".696",".301","","-0.1","3.6","","-14.0","5.1","0.5","","999.0","14103"
"Brock Holt","","85","286","256","62","13","1","3","28","24","25","56","3","4","2","",".242",".315",".336",".651",".289","","-0.3","-0.2","","-6.4","0.9","0.4","","999.0","9345"
"José Rondón","","77","214","197","45","8","1","9","25","27","14","52","1","3","1","",".228",".280",".416",".697",".298","","0.0","-0.7","","-3.1","0.1","0.4","","999.0","14140"
"Colton Welker","COL","85","322","292","73","15","1","10","37","36","22","73","2","1","1","",".250",".303",".411",".714",".306","","-0.5","2.2","","-10.0","3.3","0.4","","592.2","19961"
"Eric Campbell","","71","293","260","59","12","0","5","32","27","27","64","3","3","2","",".227",".305",".331",".636",".283","","-0.5","-0.3","","-6.9","0.8","0.4","","999.0","6938"
"Matt Carpenter","","120","373","316","64","16","1","9","41","38","49","108","6","3","0","",".203",".319",".345",".664",".295","","0.3","-3.8","","-6.1","-2.4","0.4","","999.0","8090"
"Vimael Machín","OAK","112","449","394","89","17","2","7","52","38","45","91","4","3","1","",".226",".309",".332",".642",".283","","-0.2","-2.6","","-10.6","-0.9","0.4","","999.0","17684"
"Yadiel Rivera","","103","285","269","58","8","1","6","28","25","11","81","1","9","4","",".216",".247",".320",".567",".246","","-0.1","6.3","","-15.8","9.5","0.3","","999.0","11863"
"David Bote","CHC","111","359","316","72","13","2","11","40","47","34","86","5","2","2","",".228",".310",".386",".696",".303","","-0.7","-3.6","","-6.7","-2.3","0.3","","594.9","14593"
"Ernie Clement","CLE","90","375","345","83","17","2","3","38","23","19","50","3","7","5","",".241",".284",".328",".611",".268","","-1.0","4.5","","-16.1","5.9","0.3","","999.0","20352"
"Jake Elmore","","98","360","325","83","17","0","3","38","27","28","59","4","3","6","",".255",".320",".335",".656",".290","","-2.2","0.7","","-12.3","2.0","0.2","","999.0","7290"
"Ronald Torreyes","PHI","112","380","352","86","13","1","8","37","39","18","46","3","2","1","",".244",".285",".355",".640",".277","","-0.3","2.3","","-14.9","3.7","0.1","","596.9","11400"
"Sherten Apostel","TEX","90","356","324","71","13","2","10","40","35","25","102","4","0","0","",".219",".282",".364",".646",".282","","-0.3","-2.0","","-10.1","-0.7","0.1","","999.0","21794"
"Rubén Tejada","","86","328","296","64","11","1","4","31","21","23","66","6","2","2","",".216",".284",".301",".585",".262","","-0.7","3.8","","-15.1","5.0","0.1","","999.0","5519"
"Maikel Franco","WSN","121","452","418","99","23","0","14","40","56","28","67","2","0","0","",".237",".285",".392",".678",".288","","-0.3","-3.6","","-13.6","-1.9","-0.1","","600.0","12179"
"Colin Moran","","123","425","382","98","19","1","13","40","60","36","98","3","1","1","",".257",".322",".414",".736",".317","","-0.6","-5.2","","-1.7","-13.0","-0.1","","581.6","16909"
"Deven Marrero","MIA","95","313","285","58","9","1","7","35","26","25","90","1","4","1","",".204",".269",".316",".585",".259","","0.2","2.0","","-14.4","3.1","-0.1","","999.0","13325"
"Zach Green","","95","362","324","64","16","1","16","42","48","30","143","4","0","1","",".198",".272",".401",".673",".290","","-0.6","-4.0","","-10.6","-2.6","-0.1","","999.0","14973"
"Ryan Goins","","105","364","331","72","14","1","5","39","28","28","108","1","2","2","",".218",".279",".311",".590",".262","","-0.7","2.2","","-19.7","6.2","-0.2","","999.0","9807"
"Luis Marté","","75","276","260","56","9","0","4","26","20","11","71","1","6","2","",".215",".248",".296",".544",".238","","0.2","3.5","","-17.4","6.5","-0.2","","999.0","14515"
"Phillip Evans","PIT","116","431","381","89","18","1","8","47","36","41","80","6","2","2","",".234",".316",".349",".665",".295","","-0.8","1.8","","-9.9","-6.2","-0.2","","999.0","12950"
"Cheslor Cuthbert","","112","424","389","88","17","1","13","42","49","30","92","4","1","1","",".226",".288",".375",".663",".288","","-0.5","0.2","","-9.0","-7.6","-0.3","","999.0","10473"
"Edwin Ríos","LAD","114","403","364","78","18","2","21","50","60","29","149","6","1","2","",".214",".280",".448",".728",".308","","-0.9","-4.8","","-4.0","-12.2","-0.3","","569.6","18316"
"Ehire Adrianza","","95","224","198","48","11","2","4","29","22","19","46","3","1","1","",".242",".314",".379",".693",".300","","-0.4","-3.7","","-5.0","-6.1","-0.4","","999.0","8418"
"Erick Mejia","","106","447","408","96","18","3","6","50","38","30","90","2","9","5","",".235",".289",".338",".627",".274","","-0.6","3.3","","-17.3","-1.6","-0.4","","999.0","15817"
"Erik González","MIA","87","265","250","58","10","1","3","23","23","11","57","1","3","2","",".232",".265",".316",".581",".254","","-0.4","-0.2","","-13.9","0.8","-0.4","","600.0","13369"
"Jake Lamb","","72","242","211","42","9","1","7","29","29","26","68","3","0","1","",".199",".293",".351",".644",".285","","-0.6","-2.4","","-8.0","-5.1","-0.5","","999.0","13329"
"Logan Forsythe","","92","309","272","57","11","1","5","27","25","33","82","3","2","0","",".210",".301",".313",".613",".276","","0.1","-4.7","","-11.9","-3.6","-0.5","","999.0","7185"
"Todd Frazier","","113","432","385","87","17","1","12","47","54","35","94","10","2","2","",".226",".306",".369",".674",".296","","-0.8","-2.2","","-9.4","-10.2","-0.5","","999.0","785"
