Name,dollar_value,status,ADP,Dollars,ADP2,reg_estimate,sean_value
Kevin Ginkel,4.15,,552.6,$3.0,305366.76,3.4703820047983105,0.6796179952016899
Max Scherzer,22.67,,14.4,$29.2,207.36,22.05116140476718,0.6188385952328233
Jose Leclerc,14,,150.3,$8.3,22590.090000000004,13.390767187796106,0.6092328122038939
Starlin Castro,9.716748445993197,,239.5,$1.4,57360.25,9.16388358532761,0.5528648606655864
Andrew Heaney,11.66,,194.8,$13.5,37947.04,11.137674913835529,0.5223250861644715
Nomar Mazara,7.971502522088232,,281.3,$2.7,79129.69,7.5806035574318384,0.39089896465639384
Ryan McMahon,12.608611701120681,,172.6,$4.4,29790.76,12.225753894161182,0.38285780695949967
Mike Zunino,3.7553038530273932,,509.5,$3.4,259590.25,3.409414239199113,0.3458896138282803
Hector Neris,15.58,,115,$7.8,13225,15.382528668839807,0.19747133116019278
Elieser Hernandez,3.67,,581.2,$2.5,337793.44000000006,3.659689710967887,0.010310289032112951
Martin Maldonado,3.4439891566888012,,571.6,$2.7,326726.56,3.582905749118362,-0.13891659242956056
Patrick Sandoval,3.5,,591.2,$3.6,349517.44000000006,3.7539003226461505,-0.2539003226461505
Tyler Mahle,3.21,,559.3,$1.0,312816.48999999993,3.504079423879072,-0.2940794238790718
Tucker Barnhart,3.1981074133656398,,484.7,$3.4,234934.09,3.4965660061767347,-0.298458592811095
Jacob Stallings,3.154734295028188,,549.7,$3.2,302170.09,3.4578174146233622,-0.3030831195951742
Anthony Rendon,20.624319952942034,,29.9,$18.5,894.0099999999999,20.927940497044986,-0.3036205441029516
Jordan Montgomery,6.79,,293.3,$6.1,86024.89,7.172936449534266,-0.38293644953426575
Tyler Naquin,3.330566055866887,,593.7,($4.1),352479.69000000006,3.779721361739986,-0.44915530587309904
Nicholas Castellanos,17.394847141845887,,75,$15.9,5625,17.858118321456782,-0.4632711796108957
Travis Shaw,3.4100936802914434,,434.5,($6.2),188790.25,3.946273216899268,-0.5361795366078246
Sean Murphy,9.256720334910911,,224,$11.5,50176,9.815454380860093,-0.5587340459491816
Diego Castillo,5.05,,344.8,$5.6,118887.04000000001,5.660747187838721,-0.6107471878387214
Yoan Moncada,17.529722153911884,,69.8,$11.3,4872.04,18.197006143861792,-0.6672839899499081
Vince Velasquez,2.7,,518.2,($0.4),268531.24000000005,3.3999967138895983,-0.6999967138895982
Josh Bell,15.601776388709219,,99.4,$10.8,9880.36,16.32037860093247,-0.7186022122232529
Freddy Galvis,2.7485768562772397,,487.1,($7.6),237266.41000000003,3.4842296141078424,-0.7356527578306027
Kwang-hyun Kim,4.4,,366.6,$3.9,134395.56000000003,5.136627845324034,-0.7366278453240334
Jason Kipnis,2.931668381974508,,584.5,($8.6),341640.25,3.689174284235696,-0.7575059022611876
Jose Quintana,2.64,,552.6,$0.6,305366.76,3.47038200479831,-0.8303820047983099
Nick Anderson,13.81,,122.5,$12.1,15006.25,14.944215211360786,-1.134215211360786
Eduardo Escobar,13.546024595156355,,127,$6.7,16129,14.68514690818251,-1.1391223130261547
Emilio Pagan,5.79,,298.9,$5.2,89341.20999999999,6.989846107704816,-1.1998461077048157
Jonathan Hernandez,2.55,,598.6,$2.4,358321.96,3.8329626522096287,-1.282962652209629
Jonathan Loaisiga,2.18,,563.7,$3.5,317757.69000000006,3.5297542876146637,-1.3497542876146635
Zach Eflin,2.14,,558.1,$0.3,311475.61000000004,3.497564982077741,-1.357564982077741
Shed Long,1.950097491831666,,544.9,($9.8),296916.00999999995,3.4397037172711977,-1.4896062254395317
Kris Bryant,17.31562080922014,,60.5,$12.0,3660.25,18.812882520105344,-1.4972617108852049
John Means,2.26,,449.7,$0.0,202230.09,3.7714898839158786,-1.5114898839158788
Yoshitomo Tsutsugo,2.515210227909787,,425.5,($4.2),181050.25,4.065573092551196,-1.5503628646414085
Matt Kemp,2.1424762213155444,,590.2,($4.6),348336.04000000004,3.7438259662601348,-1.6013497449445904
Aristides Aquino,1.82418356532999,,483,($5.1),233289,3.5058102247445095,-1.6816266594145195
Yadier Molina,7.728777067939543,,232.1,$9.7,53870.409999999996,9.47060514800933,-1.7418280800697872
Kyle Gibson,1.9,,448.9,($0.4),201511.21,3.779852788825196,-1.879852788825196
Griffin Canning,5.12,,298.4,$4.2,89042.55999999998,7.006008359342053,-1.8860083593420525
Jose Alvarado,1.5,,516.8,$3.3,267082.23999999993,3.4007703247180725,-1.9007703247180725
Freddy Peralta,3.15,,370.3,$3.0,137122.09,5.054520521663937,-1.9045205216639371
Brian Goodwin,1.792686289363229,,585.8,($6.4),343161.63999999996,3.701223497537687,-1.9085372081744583
Chad Green,1.6,,564.2,$4.0,318321.6400000001,3.5328497272424983,-1.9328497272424983
Justin Smoak,1.9617184659495126,,434.3,($7.5),188616.49000000002,3.948796569737753,-1.9870781037882406
Cal Quantrill,1.71,,592.5,$1.0,351056.25,3.767214025137127,-2.057214025137127
Delino DeShields,1.3509058746012157,,571.7,($8.2),326840.8900000001,3.5836366231145993,-2.232730748513384
Pedro Severino,1.1164862543809977,,538.3,$0.8,289766.88999999996,3.4202589314360403,-2.3037726770550426
Josh Rojas,1.4170274667194782,,589.5,($11.2),347510.25,3.73686029693544,-2.3198328302159616
Austin Adams,1.08,,532.7,$3.4,283769.29000000004,3.408719561862509,-2.328719561862509
Brady Singer,1.3499999999999996,,585.8,$0.4,343161.63999999996,3.7012234975376863,-2.3512234975376867
Seth Lugo,5.890000000000001,,263,$6.9,69169,8.242545415368285,-2.3525454153682848
Blake Snell,17.240000000000002,,47.6,$21.7,2265.76,19.68795050873757,-2.4479505087375664
Spencer Turnbull,1.3600000000000003,,445,($1.4),198025,3.8219524948524928,-2.4619524948524925
Rick Porcello,1.0599999999999996,,476,($1.8),226576,3.548295285117648,-2.4882952851176485
Tyler Duffey,1.1799999999999997,,589.1,$1.8,347038.81000000006,3.732911853341523,-2.552911853341523
Scott Barlow,1.25,,596.1,$2.0,355335.21,3.805363198355168,-2.555363198355168
Danny Duffy,0.9299999999999997,,561.2,($2.1),314945.44000000006,3.514821502157317,-2.5848215021573173
Josh Lindblom,3.17,,340.9,$1.6,116212.80999999998,5.761787188451068,-2.591787188451068
Elvis Andrus,10.867959819439283,,148.8,$0.0,22141.440000000002,13.471722715051833,-2.603762895612549
Nelson Cruz,16.117628254271494,,61.6,$14.4,3794.5600000000004,18.73938218023098,-2.621753925959485
Dee Gordon,0.8181913250231154,,481.6,($11.8),231938.56000000003,3.513738144095739,-2.6955468190726233
Shin-Soo Choo,6.829575925467131,,229.4,($0.7),52624.36,9.58449655403945,-2.75492062857232
Yasmani Grandal,13.116281716962996,,106.6,$16.5,11363.56,15.883134642254237,-2.766852925291241
Victor Caratini,1.097282149724204,,433.8,$1.1,188182.44,3.955130357759118,-2.857848208034914
Jarrod Dyson,0.9736109490726725,,444,($9.1),197136,3.833102974221876,-2.859492025149203
Kevin Newman,8.074142925391712,,195.9,($2.6),38376.810000000005,11.085621530090748,-3.011478604699036
Danny Jansen,5.6193112411399655,,252.1,$7.1,63554.409999999996,8.659920217681552,-3.040608976541587
Chance Sisco,0.41277170967657467,,561.9,$0.8,315731.61,3.5189112207548265,-3.106139511078252
Merrill Kelly,0.3600000000000003,,552.9,($1.6),305698.41,3.4717514748120966,-3.1117514748120962
Isan Diaz,0.5646690602878418,,584,($11.3),341056,3.6846053009490563,-3.1199362406612146
Matt Shoemaker,1.2300000000000004,,405.6,($0.2),164511.36000000002,4.371104663485223,-3.1411046634852227
Brent Suter,0.45999999999999996,,588.1,$2.0,345861.61000000004,3.723142368057328,-3.263142368057328
Mike Tauchman,0.18307297249865284,,558.8,($7.9),312257.43999999994,3.5013396672033648,-3.318266694704712
Matt Beaty,0.392301391165159,,589.1,($7.8),347038.81000000006,3.7329118533415238,-3.3406104621763646
Cameron Maybin,0.11855902720532674,,551.7,($8.9),304372.8900000001,3.4663519901831372,-3.3477929629778105
Jose Urquidy,4.46,,274.2,$3.3,75185.64,7.831650303442199,-3.371650303442199
Rowan Wick,0.16999999999999993,,568.8,($0.3),323533.43999999994,3.5630306946873143,-3.3930306946873143
Will Harris,0.04999999999999982,,548.4,$1.4,300742.56,3.4525813445635114,-3.4025813445635116
Ryan Brasier,0.3200000000000003,,593,$1.4,351649,3.7724000094631664,-3.452400009463166
Eric Thames,1.1365305023814751,,389.3,($8.5),151554.49000000002,4.664195677707861,-3.5276651753263857
Stephen Vogt,-7.453800123802812e-4,,563.7,($0.5),317757.69000000006,3.529754287614663,-3.5304996676270433
Taijuan Walker,-0.1200000000000001,,547.4,($4.4),299646.75999999995,3.4487205515860486,-3.5687205515860487
Eric Sogard,0.10240919037167862,,582.7,($10.9),339539.29000000004,3.672895801160522,-3.5704866107888433
Michael Feliz,0.2400000000000002,,598.7,($1.3),358441.69000000006,3.83408550333678,-3.59408550333678
Justus Sheffield,-0.019999999999999574,,470,($2.0),220900,3.590372943042742,-3.6103729430427416
Emmanuel Clase,0.17999999999999972,,596.4,$2.4,355692.95999999996,3.808627224501704,-3.628627224501704
Kyle Higashioka,0.11893737469988652,,596.8,$0.3,356170.23999999993,3.8129995841038684,-3.694062209403982
Yoenis Cespedes,4.8154645931330995,,255.6,($1.8),65331.36,8.524020747284865,-3.7085561541517658
Leury Garcia,-0.13843468152112093,,570.8,($12.1),325812.63999999996,3.577111020765942,-3.715545702287063
Jose Martinez,-0.26724921752070163,,554.9,($8.2),307914.00999999995,3.481215181348854,-3.7484643988695554
Kenley Jansen,13.35,,86.3,$7.6,7447.69,17.135223114346818,-3.7852231143468185
Nick Wittgren,-0.11000000000000032,,591.9,($0.2),350345.61,3.7610387522618804,-3.8710387522618808
J.A. Happ,2.04,,335,$0.2,112225,5.918839632827902,-3.8788396328279022
Daniel Norris,-0.08999999999999986,,596.4,$1.3,355692.95999999996,3.808627224501704,-3.8986272245017037
Aledmys Diaz,-0.18818403369129244,,590,($11.6),348100,3.741828516188751,-3.9300125498800433
Johan Camargo,-0.37542028684256595,,573.7,($12.2),329131.69000000006,3.5985589741411177,-3.9739792609836835
Andrew Miller,-0.5300000000000002,,560.5,($0.6),314160.25,3.5108029201502315,-4.040802920150232
Zack Wheeler,9.1,,154.5,$10.5,23870.25,13.165829476760457,-4.065829476760458
Albert Almora Jr.,-0.2886188007647529,,598.8,($8.9),358561.43999999994,3.835209806231079,-4.123828606995832
Adam Ottavino,-0.79,,529.4,($1.4),280264.36,3.404051496282989,-4.194051496282989
David Robertson,-0.4299999999999997,,594.7,$1.3,353668.09,3.790303836629038,-4.2203038366290375
Brendan McKay,-0.4400000000000004,,446,$1.5,198916,3.810947192198265,-4.250947192198265
Ty Buttrey,-0.6799999999999997,,573.1,$1.0,328443.61000000004,3.5940212946127987,-4.2740212946127984
Michael Wacha,-0.6399999999999997,,582.2,($3.4),338956.84,3.6684574769175207,-4.30845747691752
Johnny Cueto,1.65,,330.8,($0.3),109428.64000000001,6.033718876105912,-4.383718876105911
Matt Strahm,-0.71,,588.2,$1.7,345979.24000000005,3.7241127836335624,-4.434112783633562
Amed Rosario,9.581185427798523,,138.7,($0.8),19237.689999999995,14.025327717214065,-4.444142289415542
Kurt Suzuki,1.0403368488934768,,350.8,$1.0,123060.64000000001,5.509612781490546,-4.4692759325970695
Dellin Betances,-0.25,,407.3,$0.6,165893.29,4.342758092737591,-4.592758092737591
Joakim Soria,-1.0700000000000003,,595.1,$0.5,354144.01,3.7945774760649025,-4.864577476064903
Steven Matz,1.9100000000000001,,301.2,$1.8,90721.43999999999,6.915967219196315,-5.0059672191963145
Luis Severino,6.13,,194.4,$8.7,37791.36,11.156646970029993,-5.026646970029993
Anthony DeSclafani,3.62,,252.4,$3.4,63705.76,8.648202006824276,-5.028202006824276
Austin Romine,-0.7128349589275957,,406.9,($1.0),165567.61,4.349390128144036,-5.062225087071632
