"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"76","Tyler Matzek","ATL","pitcher",0.69,0.67,1.02221519755271,""
"77","Jake Odorizzi","HOU","pitcher",0.69,0.67,1.02221519755271,""
"78","Austin Hedges","CLE","catcher",-2.76445328892847,0.638315216406352,0.973873903044355,""
"79","Anthony Alford","PIT","of",0.183380585931165,0.621009314135926,0.947470386166459,""
"80","Corey Dickerson",NA,"of",0.15244603429042,0.516250979986352,0.787641190288847,""
"81","Johnny Cueto",NA,"pitcher",0.61,0.51,0.778104105599822,""
"82","Tommy La Stella","SFG","2b",0.147102960416318,0.49815692370943,0.760035191316244,""
"83","Jeremy Peña","HOU","ss",0.144893802786018,0.490675720299349,0.748621161731516,""
"84","Danny Duffy",NA,"pitcher",0.59,0.47,0.717076332611601,""
"85","Austin Gomber","COL","pitcher",0.58,0.46,0.701819389364546,""
"86","Chad Pinder","OAK","of",0.115727050413712,0.391903951225075,0.597925634213771,""
"87","Garrett Crochet","CHW","pitcher",0.53,0.38,0.579763843388103,""
"88","Tyler Rogers","SFG","pitcher",0.52,0.35,0.533993013646937,""
"89","Austin Allen","OAK","catcher",-2.85025726505241,0.347744281144627,0.530551476191164,""
"90","Kevin Kiermaier","TBR","of",0.092961546062609,0.314809693012029,0.480303361990744,""
"91","Kwang Hyun Kim",NA,"pitcher",0.5,0.31,0.472965240658716,""
"92","J.A. Happ",NA,"pitcher",0.5,0.31,0.472965240658716,""
"93","Odúbel Herrera",NA,"of",0.0845513907891836,0.28632911677433,0.436850708460543,""
"94","Emilio Pagán","SDP","pitcher",0.48,0.28,0.42719441091755,""
"95","A.J. Puk","OAK","pitcher",0.47,0.25,0.381423581176384,""
"96","Ross Stripling","TOR","pitcher",0.46,0.25,0.381423581176384,""
"97","Matthew Boyd",NA,"pitcher",0.46,0.23,0.350909694682273,""
"98","Wilmer Flores","SFG","2b",0.0668033463570311,0.22622623923089,0.345152089294046,""
"99","Tyler Alexander","DET","pitcher",0.45,0.22,0.335652751435217,""
"100","Josh Staumont","KCR","pitcher",0.44,0.2,0.305138864941107,""
"101","Tim Mayza","TOR","pitcher",0.4,0.14,0.213597205458775,""
"102","Steven Kwan","CLE","of",0.0382441736749632,0.129512008825728,0.197595736846626,""
"103","Kevin Plawecki","BOS","catcher",-2.92417989807902,0.0974089285669639,0.148616249490264,""
"104","Victor Caratini","SDP","catcher",-2.92566784376427,0.0923700738551826,0.140928497453483,""
"105","Jake Fraley","SEA","of",0.0213299064680659,0.0722326767528662,0.110204984980137,""
"106","Roberto Pérez","PIT","catcher",-2.93465292895657,0.06194252578956,0.0945053600550578,""
"107","Aaron Hicks","NYY","of",0.0091073236979244,0.0308415027389261,0.0470547056941697,""
"108","Drew Smyly",NA,"pitcher",0.34,0.0300000000000001,0.0457708297411661,""
"109","Kevin Newman","PIT","ss",0.00513028594475684,0.0173734604440108,0.0265065899999234,""
"110","Jose Trevino","TEX","catcher",-2.95054580432258,0.00812208683423993,0.0123918217877654,""
"111","Ramón Urías","BAL","2b, ss",-0.00165641288973026,-0.00560936059482008,-0.00855816962474385,""
"112","Carlos Hernández","KCR","pitcher",0.31,-0.0399999999999999,-0.0610277729882212,""
"113","Yonny Chirinos","TBR","pitcher",0.3,-0.0599999999999999,-0.0915416594823319,""
"114","Matt Manning","DET","pitcher",0.28,-0.09,-0.137312489223498,""
"115","Zach Thompson","PIT","pitcher",0.27,-0.11,-0.167826375717609,""
"116","Ryne Stanek","HOU","pitcher",0.27,-0.11,-0.167826375717609,""
"117","Michael Wacha","BOS","pitcher",0.27,-0.11,-0.167826375717609,""
"118","Brad Hand",NA,"pitcher",0.27,-0.12,-0.183083318964664,""
"119","Daniel Bard","COL","pitcher",0.25,-0.14,-0.213597205458775,""
"120","Kendall Graveman","CHW","pitcher",0.25,-0.15,-0.22885414870583,""
"121","Matt Wisler","TBR","pitcher",0.24,-0.16,-0.244111091952885,""
"122","Alex Vesia","LAD","pitcher",0.23,-0.18,-0.274624978446996,""
"123","Dylan Moore","SEA","2b, of",-0.058735627565984,-0.198905307259661,-0.303468698439874,""
"124","Tanner Scott","BAL","pitcher",0.21,-0.22,-0.335652751435217,""
"125","Codi Heuer","CHC","pitcher",0.2,-0.23,-0.350909694682273,""
"126","Génesis Cabrera","STL","pitcher",0.19,-0.26,-0.396680524423439,""
"127","Jesús Luzardo","MIA","pitcher",0.18,-0.26,-0.396680524423439,""
"128","Andrew Chafin",NA,"pitcher",0.17,-0.28,-0.427194410917549,""
"129","Oscar Mercado","CLE","of",-0.104709270844223,-0.354592783856916,-0.541000197912032,""
"130","Adam Engel","CHW","of",-0.109096523463596,-0.369449998573857,-0.563667766086601,""
"131","A.J. Minter","ATL","pitcher",0.1,-0.41,-0.625534673129269,""
"132","Mike Mayers","LAA","pitcher",0.1,-0.41,-0.625534673129269,""
"133","Dakota Hudson","STL","pitcher",0.09,-0.44,-0.671305502870435,""
"134","Manny Piña","ATL","catcher",-3.08927035985727,-0.461661781774094,-0.704354760386179,""
"135","Cooper Hummel","ARI","catcher, of",-3.09362281496208,-0.476401156423396,-0.726842540638328,""
"136","Kevin Pillar",NA,"of",-0.142750809133784,-0.4834185779393,-0.73754898081921,""
"137","Mike Soroka","ATL","pitcher",0.06,-0.49,-0.747590219105711,""
"138","Trevor Rosenthal",NA,"pitcher",0.05,-0.5,-0.762847162352767,""
"139","Aaron Loup","LAA","pitcher",0.02,-0.57,-0.869645765082154,""
"140","Glenn Otto","TEX","pitcher",0.01,-0.58,-0.884902708329209,""
"141","Justin Upton","LAA","of",-0.171399439956426,-0.580435753927498,-0.885567535623361,""
"142","Luke Jackson","ATL","pitcher",0.01,-0.59,-0.900159651576265,""
"143","Art Warren","CIN","pitcher",0,-0.6,-0.91541659482332,""
"144","Yimi García","TOR","pitcher",-0.02,-0.63,-0.961187424564486,""
"145","Ryan Jeffers","MIN","catcher",-3.14215882664906,-0.640765967319665,-0.977612999804064,""
"146","Rich Hill","BOS","pitcher",-0.03,-0.66,-1.00695825430565,""
"147","Taylor Hearn","TEX","pitcher",-0.05,-0.7,-1.06798602729387,""
"148","Jake Cousins","MIL","pitcher",-0.07,-0.73,-1.11375685703504,""
"149","Adam Ottavino",NA,"pitcher",-0.07,-0.73,-1.11375685703504,""
"150","Riley Adams","WSN","catcher",-3.17333045385077,-0.746327146169338,-1.13866709128424,""
"151","Mychal Givens",NA,"pitcher",-0.09,-0.77,-1.17478463002326,""
