"playerid","NFBC_ADP"
"14677",NA
"sa3007959",NA
"17098",NA
"9433",NA
"19716",686.92
"15189",NA
"13473",NA
"12917",427.54
"20126",176.62
"18525",70.92
"sa3004197",NA
"13394",208.15
"18042",451.85
"12155",164.54
"19276",NA
"17355",NA
"3990",NA
"17022",453.46
"6153",207.38
"13164",150.77
"16086",NA
"20589",NA
"sa920423",484.69
"19698",586.46
"14710",48.08
"2151",NA
"18316",510.69
"8418",NA
"NA",725
"sa915827",638.85
"19346",NA
"11680",253.46
"16933",330.62
"17484",74.77
"8709",557.08
"14771",639.31
"sa736761",NA
"21032",43.54
"4922",748.46
"20447",NA
"10472",225.85
"14111",312.23
"14111",312.23
"3516",338.69
"19316",307.85
"7927",NA
"3711",734.15
"15538",NA
"17425",578.23
"13369",NA
"16587",744.62
"sa915732",NA
"19151",747.85
"NA",740.54
"12552",205.54
"9368",344.92
"12297",NA
"20078",709
"4772",NA
"13403",NA
"19709",2.46
"sa828682",NA
"sa917930",NA
"17295",142.92
"14567",749.08
"17303",NA
"12916",47.08
"12916",47.08
"16403",462.69
"16403",462.69
"14309",85.85
"15519",NA
"NA",NA
"17861",NA
"14566",136.77
"5361",22.77
"6609",746.54
"18679",47.08
"17897",NA
"15279",472.69
"27463",560.85
"19262",260.62
"9784",732.62
"18067",NA
"sa3005306",224
"11442",263.62
"19955",228.69
"17490",722.31
"19558",NA
"NA",627
"12856",74
"16306",NA
"15038",280
"13125",5.54
"4949",112.31
"7448",NA
"10681",290.31
"14986",82.54
"10681",NA
"16997",143.54
"11203",NA
"sa918674",NA
"sa828669",NA
"sa875233",NA
"17062",NA
"NA",472.38
"16623",672.54
"16623",672.54
"sa3004977",NA
"10951",NA
"7196",NA
"12907",750.31
"19677",164.92
"19867",641.23
"18721",NA
"11801",736.23
"11902",743.38
"14691",740.08
"14387",538.08
"18030",217.23
"NA",NA
"NA",350.92
"sa3011918",NA
"sa3011918",NA
"sa3011918",350.92
"11632",NA
"11804",544.46
"18592",NA
"2391",NA
"NA",725.38
"5751",NA
"8362",NA
"NA",NA
"20468",240.92
"21183",NA
"20739",NA
"15117",344.38
"NA",412.08
"15507",749.46
"15464",165.31
"14444",203.08
"19951",158.46
"6885",NA
"17871",NA
"19261",NA
"17919",187.46
"6986",304.38
"10066",NA
"15156",NA
"13324",NA
"sa915667",NA
"20036",719.85
"17922",745.92
"16512",366.46
"1994",NA
"7410",719.15
"sa829263",746.23
"14506",746
"16219",411.92
"6184",93.54
"15491",320.08
"16610",699.69
"11739",51.85
"16159",NA
"12325",528.69
"17479",79.46
"sa918429",NA
"15402",743.62
"12984",589.23
"sa3008273",673.15
"NA",NA
"12323",NA
"10954",23.15
"16448",NA
"13723",372.08
"18318",NA
"19274",NA
"14818",NA
"18872",750.92
"18356",NA
"12774",NA
"4153",NA
"15194",746.38
"14477",NA
"18036",126.92
"5003",713.15
"13699",NA
"NA",612.31
"13329",NA
"11339",NA
"7550",254.77
"15136",NA
"19703",NA
"6397",512.85
"19452",NA
"18674",748.92
"13619",NA
"NA",744.62
"14605",NA
"18331",351.23
"20151",426.23
"12859",318.15
"16440",NA
"11828",675.23
"11674",294.69
"19968",749.46
"18607",126.62
"18282",NA
"sa3007741",137.31
"sa3006786",370
"4866",NA
"11861",NA
"8722",653.77
"sa915677",NA
"4940",682.31
"9776",NA
"16429",NA
"NA",NA
"20454",NA
"sa879559",NA
"12979",59.69
"17292",NA
"7407",NA
"9892",NA
"19552",NA
"20454",NA
"5933",180.08
"10816",NA
"16631",NA
"17432",NA
"3448",NA
"15362",313.62
"3254",NA
"17677",NA
"17018",NA
"13621",215.77
"9490",NA
"19981",NA
"7841",NA
"11437",NA
"13287",NA
"13590",112.31
"11342",283.92
"19959",293.46
"19913",227.23
"sa3004615",728.85
"5114",745.46
"sa873347",NA
"2608",NA
"5452",559.77
"15690",NA
"17556",NA
"19541",NA
"10547",NA
"sa3011642",738.77
"20220",244.62
"6941",NA
"11899",438.15
"sa828693",NA
"15761",NA
"9761",735.23
"12970",71.77
"NA",NA
"11936",NA
"12972",717.08
"sa3007584",220.15
"3281",NA
"14332",NA
"11487",NA
"21524",311.77
"NA",NA
"14128",194
