Name,Team,position,playerid,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value,status,auction_value,NFBC_ADP,salary
John Means,BAL,pitcher,16269,163.5,4.25,1.19,0,10,149,6.14,10.620000000000003,drafted,16.20287372837277,222.38,9
Zac Gallen,ARI,pitcher,19291,169.5,4.2,1.29,0,10,181,6.12,10.580000000000002,drafted,16.141845955384547,126.38,13
Lucas Sims,CIN,pitcher,13470,63,3.81,1.22,23,4,87,5.9,10.190000000000001,drafted,15.546825168749388,197.31,6
Scott Barlow,KCR,pitcher,14993,67,3.67,1.27,24,4,79,5.85,10.090000000000002,drafted,15.394255736278835,148.69,6
Jordan Montgomery,NYY,pitcher,16511,158,4.05,1.27,0,10,159,5.82,10.030000000000003,drafted,15.302714076796505,201.15,14
Mike Clevinger,SDP,pitcher,12808,131,3.68,1.2,0,9,144,5.81,10.020000000000001,drafted,15.287457133549447,NA,13
Alex Wood,SFG,pitcher,13781,152,3.86,1.25,0,9,150,5.65,9.730000000000002,drafted,14.845005779384843,216.23,10
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,145.15,6
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,477.46,6
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,636.85,6
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,145.15,6
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,477.46,6
Luis Garcia (P),HOU,pitcher,23735,151,4.12,1.28,2,9,159,5.61,9.660000000000002,drafted,14.738207176655456,636.85,6
Jon Gray,TEX,pitcher,14916,168.5,4.21,1.3,0,10,168,5.59,9.620000000000003,drafted,14.677179403667235,246.92,6
Garrett Whitlock,BOS,pitcher,20191,73.5,3.66,1.24,20,5,76,5.48,9.410000000000002,drafted,14.356783595479072,NA,6
Adam Wainwright,STL,pitcher,2233,180,4.21,1.29,0,11,143,5.45,9.350000000000001,drafted,14.26524193599674,216.62,13
Tyler Mahle,CIN,pitcher,16358,168,4.42,1.31,0,10,180,5.44,9.340000000000002,drafted,14.249984992749685,130,7
Marcus Stroman,CHC,pitcher,13431,179.5,4.13,1.32,0,11,145,5.29,9.060000000000002,drafted,13.822790581832136,188.08,15
Michael Kopech,CHW,pitcher,17282,120,3.8,1.21,0,8,151,5.18,8.870000000000003,drafted,13.532908660138085,161.23,7
Sonny Gray,CIN,pitcher,12768,158.5,4.26,1.32,0,10,167,5.16,8.820000000000002,drafted,13.456623943902809,165.15,13
David Bednar,PIT,pitcher,19569,64,3.59,1.21,21,3,75,4.98,8.500000000000002,drafted,12.968401759997038,166.62,9
Andrew Kittredge,TBR,pitcher,12828,65,3.22,1.15,16,5,70,4.93,8.410000000000002,drafted,12.831089270773539,259.38,4
Luis Severino,NYY,pitcher,15890,129,3.92,1.22,0,9,133,4.93,8.400000000000002,drafted,12.815832327526484,182.23,16
Anthony DeSclafani,SFG,pitcher,13050,165,4.32,1.28,0,10,144,4.88,8.320000000000002,drafted,12.693776781550042,220.38,6
Logan Gilbert,SEA,pitcher,22250,137.5,4.17,1.2,0,8,143,4.85,8.270000000000001,drafted,12.617492065314764,NA,6
Shane Baz,TBR,pitcher,22264,112,3.66,1.17,0,8,127,4.79,8.150000000000002,drafted,12.434408746350101,NA,1
Steven Matz,STL,pitcher,13361,154,4.17,1.29,0,10,139,4.76,8.110000000000003,drafted,12.373380973361881,249.23,6
Gregory Soto,DET,pitcher,19677,67.5,3.74,1.36,21,4,80,4.74,8.070000000000002,drafted,12.312353200373659,164.92,6
Ian Anderson,ATL,pitcher,19951,156,4.16,1.35,0,10,156,4.66,7.920000000000002,drafted,12.083499051667827,158.46,6
Mark Melancon,ARI,pitcher,4264,64,4,1.39,27,3,53,4.62,7.840000000000002,drafted,11.961443505691385,116.77,8
Carlos Carrasco,NYM,pitcher,6632,136,4.11,1.26,0,9,139,4.58,7.770000000000001,drafted,11.854644902961997,284.77,5
Germán Márquez,COL,pitcher,15038,187.5,4.66,1.37,0,11,177,4.58,7.770000000000001,drafted,11.854644902961997,280,9
Mike Minor,KCR,pitcher,10021,167,4.42,1.28,0,9,150,4.56,7.730000000000002,drafted,11.793617129973777,432.92,2
Joe Ryan,MIN,pitcher,21390,131,4.26,1.19,0,8,138,4.55,7.720000000000002,drafted,11.778360186726722,NA,1
Camilo Doval,SFG,pitcher,21992,64,3.67,1.35,20,4,78,4.51,7.640000000000002,drafted,11.65630464075028,NA,19
Marco Gonzales,SEA,pitcher,15467,176,4.48,1.29,0,10,138,4.4,7.4300000000000015,drafted,11.335908832562115,324.23,6
Trevor Bauer,LAD,pitcher,12703,108,3.77,1.16,0,7,129,4.35,7.3400000000000025,drafted,11.19859634333862,248.62,6
Patrick Corbin,WSN,pitcher,9323,173,4.48,1.35,0,10,157,4.22,7.110000000000002,drafted,10.847686648656346,397.31,2
Ranger Suárez,PHI,pitcher,17277,143.5,3.95,1.31,0,9,130,4.19,7.0500000000000025,drafted,10.756144989174015,171.23,9
Lou Trivino,OAK,pitcher,15043,66,4.13,1.36,22,4,63,4.17,7.030000000000002,drafted,10.725631102679904,247.46,6
Kyle Finnegan,WSN,pitcher,15009,65.5,4.29,1.41,23,4,66,4.15,6.980000000000002,,10.649346386444627,365.23,NA
Alex Cobb,SFG,pitcher,6562,142.5,4,1.31,0,9,128,4.04,6.780000000000002,drafted,10.34420752150352,228.23,3
Corey Knebel,PHI,pitcher,15010,57.5,3.7,1.21,18,3,73,4.02,6.740000000000002,drafted,10.283179748515298,130.46,7
Stephen Strasburg,WSN,pitcher,10131,133.5,4.24,1.28,0,9,133,4,6.710000000000002,drafted,10.237408918774133,306.92,11
Patrick Sandoval,LAA,pitcher,19447,134,3.95,1.31,0,8,139,3.99,6.690000000000002,drafted,10.206895032280022,195.46,10
Bailey Ober,MIN,pitcher,21224,134.5,4.35,1.24,0,8,134,3.91,6.540000000000002,drafted,9.978040883574192,NA,9
Yusei Kikuchi,SEA,pitcher,20633,148.5,4.27,1.33,0,9,142,3.88,6.490000000000002,drafted,9.901756167338915,322.92,4
Matt Barnes,BOS,pitcher,12863,64,3.68,1.25,12,5,87,3.73,6.220000000000002,drafted,9.489818699668422,261.23,2
Andrew Heaney,LAD,pitcher,15423,125,4.42,1.24,0,8,134,3.69,6.130000000000003,drafted,9.352506210444924,280.31,5
Kenley Jansen,NA,pitcher,3096,65,3.82,1.21,14,4,78,3.68,6.120000000000002,drafted,9.337249267197867,67.54,20
Kyle Gibson,PHI,pitcher,10123,182,4.53,1.39,0,10,157,3.66,6.0900000000000025,drafted,9.291478437456703,367.69,4
Chris Flexen,SEA,pitcher,13896,159,4.35,1.31,0,9,128,3.63,6.040000000000002,drafted,9.215193721221425,392.23,6
Corey Kluber,TBR,pitcher,2429,135,4.15,1.29,0,8,130,3.63,6.030000000000002,drafted,9.19993677797437,354.77,4
Rowan Wick,CHC,pitcher,14646,60,4.14,1.35,21,3,64,3.63,6.030000000000002,drafted,9.19993677797437,289.08,3
Zack Greinke,NA,pitcher,1943,153.5,4.43,1.27,0,9,119,3.61,5.990000000000002,drafted,9.138909004986148,343.62,2
Dylan Floro,MIA,pitcher,13394,65.5,3.8,1.32,18,4,58,3.53,5.860000000000002,drafted,8.94056874277443,208.15,7
Jameson Taillon,NYY,pitcher,11674,142.5,4.52,1.27,0,8,135,3.48,5.7600000000000025,drafted,8.787999310303876,294.69,5
Aaron Civale,CLE,pitcher,19479,158.5,4.6,1.3,0,9,132,3.42,5.650000000000002,drafted,8.620172934586268,280.23,11
José Urquidy,HOU,pitcher,18413,133,4.46,1.22,0,8,117,3.41,5.630000000000003,drafted,8.589659048092157,225.85,8
Pierce Johnson,SDP,pitcher,13435,62,3.79,1.27,16,3,74,3.38,5.570000000000002,,8.498117388609824,412.46,NA
Noah Syndergaard,LAA,pitcher,11762,149,4.4,1.29,0,8,129,3.36,5.540000000000002,drafted,8.452346558868658,238.38,13
Drew Rasmussen,TBR,pitcher,25385,115.5,3.86,1.27,0,7,120,3.29,5.410000000000002,drafted,8.25400629665694,273.46,8
Taijuan Walker,NYM,pitcher,11836,155.5,4.53,1.32,0,8,142,3.26,5.360000000000002,drafted,8.177721580421663,353.69,5
Zach Plesac,CLE,pitcher,19979,162.5,4.64,1.3,0,9,127,3.23,5.3000000000000025,drafted,8.086179920939331,335.62,6
Nick Pivetta,BOS,pitcher,15454,146,4.69,1.36,0,9,152,3.18,5.220000000000002,drafted,7.964124374962888,328.38,6
Kyle Hendricks,CHC,pitcher,12049,179.5,4.73,1.33,0,10,129,3.18,5.210000000000002,drafted,7.948867431715832,285.15,8
Brady Singer,KCR,pitcher,25377,142.5,4.24,1.37,0,9,131,3.17,5.190000000000002,,7.918353545221722,390.23,NA
Casey Mize,DET,pitcher,20492,159,4.44,1.31,0,8,129,3.16,5.180000000000002,drafted,7.903096601974667,276.85,6
Paul Sewald,SEA,pitcher,13892,66,3.71,1.16,9,4,85,3.08,5.020000000000002,drafted,7.658985510021782,NA,3
Joe Barlow,TEX,pitcher,22296,61,4.36,1.41,20,3,66,3.07,5.0100000000000025,drafted,7.643728566774726,NA,8
Tyler Wells,BAL,pitcher,20000,63,4.31,1.21,15,3,71,2.98,4.850000000000002,drafted,7.399617474821841,NA,3
Cal Quantrill,CLE,pitcher,19312,157,4.51,1.35,0,9,130,2.97,4.830000000000002,drafted,7.36910358832773,277.54,8
Michael Pineda,NA,pitcher,5372,147.5,4.61,1.3,0,9,119,2.95,4.8000000000000025,,7.323332758586564,404.69,NA
Nick Martínez,NA,pitcher,12730,119,4,1.27,0,7,111,2.9,4.700000000000002,,7.170763326116011,NA,NA
Triston McKenzie,CLE,pitcher,18000,126,4.55,1.3,0,7,140,2.84,4.5900000000000025,drafted,7.002936950398403,226.92,8
Craig Kimbrel,CHW,pitcher,6655,63,3.59,1.18,7,4,93,2.78,4.470000000000002,drafted,6.819853631433738,112.46,13
Pete Fairbanks,TBR,pitcher,17998,61.5,3.48,1.23,8,5,77,2.7,4.3400000000000025,,6.621513369222019,527.69,NA
Pete Fairbanks,TBR,pitcher,17998,61.5,3.48,1.23,8,5,77,2.7,4.3400000000000025,,6.621513369222019,NA,NA
Huascar Ynoa,ATL,pitcher,20468,118,4.21,1.3,0,7,122,2.7,4.330000000000002,drafted,6.606256425974963,240.92,13
Dane Dunning,TEX,pitcher,19409,137,4.26,1.36,0,8,124,2.66,4.2600000000000025,drafted,6.499457823245576,378.23,9
Tanner Houck,BOS,pitcher,19879,109,4.15,1.29,0,7,118,2.63,4.210000000000002,drafted,6.423173107010299,198.23,6
Jake McGee,SFG,pitcher,7550,62,3.86,1.2,13,3,63,2.63,4.200000000000002,drafted,6.407916163763243,254.77,3
Dylan Bundy,MIN,pitcher,12917,151.5,4.87,1.36,0,9,140,2.54,4.040000000000002,drafted,6.163805071810358,427.54,1
Elieser Hernandez,MIA,pitcher,16933,124,4.5,1.25,0,6,121,2.42,3.820000000000001,drafted,5.82815232037514,330.62,2
Devin Williams,MIL,pitcher,15816,63.5,3.08,1.19,3,5,89,2.42,3.820000000000001,drafted,5.82815232037514,293.62,3
Miles Mikolas,STL,pitcher,9803,135,4.33,1.28,0,8,94,2.4,3.7900000000000005,,5.7823814906339726,440.38,NA
James Karinchak,CLE,pitcher,20151,64,3.44,1.22,4,5,91,2.33,3.67,drafted,5.599298171669307,426.23,9
Merrill Kelly,ARI,pitcher,11156,170,4.84,1.37,0,9,135,2.32,3.6400000000000006,,5.553527341928143,501.62,NA
JT Brubaker,PIT,pitcher,17578,139,4.59,1.33,0,7,130,2.29,3.5799999999999996,,5.4619856824458095,NA,NA
Zach Eflin,PHI,pitcher,13774,125,4.42,1.28,0,7,109,2.27,3.5500000000000003,drafted,5.416214852704644,506.54,NA
Tylor Megill,NYM,pitcher,21318,111.5,4.25,1.28,0,6,117,2.24,3.499999999999999,drafted,5.339930136469365,NA,6
Tyler Anderson,NA,pitcher,12880,162,4.87,1.33,0,8,130,2.23,3.4799999999999995,,5.309416249975255,561.23,NA
Nestor Cortes,NYY,pitcher,17874,115.5,4.48,1.28,0,6,121,2.12,3.2699999999999996,,4.989020441787094,NA,NA
Anthony Bender,MIA,pitcher,19742,63.5,3.61,1.25,10,3,69,2.11,3.2599999999999993,,4.973763498540038,NA,NA
Luis Patiño,TBR,pitcher,22815,109,4.23,1.29,0,6,115,2.11,3.2499999999999996,drafted,4.958506555292983,301.77,6
Alex Reyes,STL,pitcher,15015,69.5,3.93,1.38,8,5,85,2.07,3.1799999999999993,drafted,4.851707952563595,359.54,10
Jonathan Loáisiga,NYY,pitcher,19753,66.5,3.34,1.2,4,5,72,2,3.0599999999999996,drafted,4.668624633598932,NA,6
Carlos Estévez,COL,pitcher,14542,63,5.03,1.43,18,3,62,1.96,2.9699999999999993,,4.531312144375433,401.62,NA
Madison Bumgarner,ARI,pitcher,5524,170.5,5.1,1.34,0,8,138,1.93,2.9299999999999993,,4.470284371387212,473.23,NA
Josiah Gray,WSN,pitcher,24580,134,4.87,1.34,0,7,135,1.91,2.8899999999999997,drafted,4.409256598398991,NA,6
Brad Keller,KCR,pitcher,15734,152.5,4.48,1.44,0,9,124,1.89,2.8499999999999996,,4.34822882541077,586.46,NA
Chad Green,NYY,pitcher,15552,64.5,3.65,1.11,2,5,79,1.88,2.8299999999999996,drafted,4.317714938916659,388.08,2
Wade Miley,CHC,pitcher,8779,160.5,4.47,1.42,0,9,116,1.88,2.8299999999999996,,4.317714938916659,437.23,NA
Domingo Germán,NYY,pitcher,17149,98,4.34,1.24,0,6,103,1.85,2.7799999999999994,,4.241430222681382,391,NA
Drew Steckenrider,SEA,pitcher,18806,65,4.22,1.28,12,3,62,1.82,2.7299999999999995,,4.165145506446105,NA,NA
Cole Irvin,OAK,pitcher,19244,148.5,4.62,1.34,0,8,105,1.79,2.6699999999999995,drafted,4.073603846963773,549.85,2
José Quintana,PIT,pitcher,11423,133.5,4.45,1.39,0,7,125,1.78,2.6499999999999995,,4.043089960469663,552,NA
Luke Weaver,ARI,pitcher,16918,129.5,4.76,1.34,0,7,122,1.68,2.4799999999999995,,3.783721925269722,426.77,NA
James Kaprielian,OAK,pitcher,18331,113,4.49,1.3,0,6,111,1.64,2.3899999999999997,drafted,3.6464094360462243,351.23,4
Michael Fulmer,DET,pitcher,13218,63.5,3.9,1.27,10,3,62,1.62,2.3599999999999994,,3.600638606305058,326.85,NA
Cole Sulser,BAL,pitcher,15256,66,4.03,1.3,8,4,72,1.61,2.3399999999999994,drafted,3.5701247198109476,446.15,2
Ken Giles,SEA,pitcher,12910,51,3.79,1.21,10,3,59,1.6,2.3199999999999994,drafted,3.5396108333168366,NA,6
Tony Gonsolin,LAD,pitcher,19388,119,4.63,1.37,0,7,122,1.59,2.3099999999999996,drafted,3.5243538900697815,315.69,6
Héctor Neris,HOU,pitcher,11804,70.5,3.86,1.24,4,4,85,1.56,2.2499999999999996,,3.4328122305874498,544.46,NA
Aaron Ashby,MIL,pitcher,23550,79.5,3.55,1.29,0,5,94,1.42,1.9899999999999993,drafted,3.0361317061640105,NA,1
Adbert Alzolay,CHC,pitcher,17859,110.5,4.57,1.31,0,6,110,1.42,1.9899999999999993,drafted,3.0361317061640105,345.31,3
Ryan Yarbrough,TBR,pitcher,16502,129,4.64,1.29,0,7,91,1.39,1.9299999999999993,,2.9445900466816783,507.54,NA
José Alvarado,PHI,pitcher,17780,63,3.67,1.42,7,4,81,1.34,1.8499999999999996,,2.8225345007052365,633,NA
José Suarez,LAA,pitcher,19911,120,4.64,1.39,0,8,106,1.29,1.7499999999999996,,2.6699650682346827,528.85,NA
Diego Castillo,SEA,pitcher,17496,62.5,3.66,1.25,5,4,69,1.26,1.7099999999999995,,2.6089372952464616,378.46,NA
Diego Castillo,SEA,pitcher,17496,62.5,3.66,1.25,5,4,69,1.26,1.7099999999999995,,2.6089372952464616,743.46,NA
Aaron Bummer,CHW,pitcher,16258,63.5,3.04,1.24,2,4,74,1.22,1.6299999999999994,,2.486881749270019,665.85,NA
Dinelson Lamet,SDP,pitcher,17186,56.5,3.52,1.19,5,3,71,1.18,1.5499999999999994,drafted,2.364826203293576,397.31,10
Cristian Javier,HOU,pitcher,17606,91,4.23,1.28,0,4,111,1.17,1.5499999999999994,drafted,2.364826203293576,322,3
Daniel Hudson,LAD,pitcher,7146,59,4.01,1.23,5,4,72,1.14,1.4699999999999993,,2.2427706573171333,582.38,NA
Chris Stratton,PIT,pitcher,13761,66,4.35,1.37,9,4,65,1.08,1.3799999999999994,,2.1054581680936355,462.69,NA
Eric Lauer,MIL,pitcher,19316,109.5,4.51,1.34,0,6,104,1.08,1.3799999999999994,drafted,2.1054581680936355,307.85,2
Trevor May,NYM,pitcher,6398,63.5,3.69,1.21,2,4,79,1.05,1.3099999999999994,drafted,1.9986595653642478,580.69,2
Reid Detmers,LAA,pitcher,27468,89,4.38,1.31,0,6,95,1.03,1.2899999999999994,drafted,1.9681456788701372,NA,1
Chris Paddack,SDP,pitcher,20099,82,4.14,1.2,0,5,79,1,1.2299999999999995,drafted,1.8766040193878055,374.38,4
Brusdar Graterol,LAD,pitcher,20367,61.5,3.65,1.27,5,4,59,0.87,0.9899999999999997,drafted,1.5104373814584775,637.31,1
Kris Bubic,KCR,pitcher,21455,122,4.54,1.42,0,7,107,0.86,0.9699999999999996,,1.479923494964367,511.23,NA
Seth Lugo,NYM,pitcher,12447,66.5,3.82,1.21,2,4,73,0.84,0.9399999999999996,,1.4341526652232008,675.62,NA
Dallas Keuchel,CHW,pitcher,9434,157.5,4.62,1.46,0,9,103,0.81,0.8799999999999997,drafted,1.342611005740869,592.08,1
Jorge Alcala,MIN,pitcher,19459,63,4.08,1.26,6,3,68,0.8,0.8599999999999997,,1.3120971192467583,378.54,NA
Jake Diekman,NA,pitcher,5003,66,3.62,1.33,2,4,85,0.79,0.8399999999999996,,1.2815832327526475,713.15,NA
Adrian Houser,MIL,pitcher,12718,135,4.57,1.45,0,8,102,0.72,0.7099999999999999,,1.0832429705409286,403.85,NA
Tyler Matzek,ATL,pitcher,10058,65.5,3.49,1.3,1,4,82,0.69,0.6699999999999999,,1.0222151975527074,591.38,NA
Jake Odorizzi,HOU,pitcher,6397,85,4.28,1.26,0,5,83,0.69,0.6699999999999999,,1.0222151975527074,512.85,NA
David Price,LAD,pitcher,3184,88,4.27,1.32,0,6,82,0.69,0.6599999999999999,drafted,1.006958254305652,587.85,1
Tanner Rainey,WSN,pitcher,17610,61.5,4.44,1.42,8,3,80,0.67,0.6199999999999999,drafted,0.9459304813174305,345.46,1
Sixto Sánchez,MIA,pitcher,19680,81,3.89,1.26,0,5,71,0.64,0.57,drafted,0.869645765082154,367.08,6
Johnny Cueto,NA,pitcher,6893,126,4.84,1.38,0,7,101,0.61,0.5100000000000001,,0.7781041055998222,681,NA
Hunter Greene,CIN,pitcher,sa3005315,97.5,4.67,1.36,0,6,100,0.61,0.5100000000000001,drafted,0.7781041055998222,NA,1
Danny Duffy,NA,pitcher,3542,79.5,4.2,1.28,0,5,83,0.59,0.4700000000000002,,0.717076332611601,627.62,NA
Austin Gomber,COL,pitcher,16561,134.5,5.1,1.45,0,8,124,0.58,0.4600000000000002,,0.7018193893645457,556.38,NA
