"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Isiah Kiner-Falefa","TEX","107","445","413","110","19","2","6","51","37","23","63","7","12","4","",".268",".315",".366",".681",".298","89","","1.5","","357.8","","5.11","-0.43","1.33","16512"
"Paul DeJong","STL","119","470","417","96","19","1","20","58","59","40","119","8","5","2","",".230",".306",".420",".727",".313","96","","1.4","","446.8","","2.21","0.63","0.47","18015"
"Ha-Seong Kim","SDP","105","360","321","79","16","2","11","44","43","30","75","4","8","2","",".245",".316",".405",".721",".312","95","","1.4","","375.9","","2.93","0.81","0.83","27506"
"Jeremy Peña","HOU","85","337","311","76","13","2","12","37","36","18","90","5","7","2","",".244",".294",".414",".709",".304","94","","1.2","","459.5","","5.77","-0.57","0.96","sa876320"
"Aledmys Díaz","HOU","88","347","318","81","18","0","11","39","44","22","62","6","1","1","",".254",".311",".417",".728",".313","100","","1.2","","569.9","","2.95","-0.29","0.74","15937"
"Kyle Farmer","CIN","122","438","404","103","21","1","13","49","51","21","87","10","3","2","",".255",".306",".407",".713",".308","86","","1.2","","489.7","","2.41","-0.23","0.50","14813"
"Bryson Stott","PHI","79","317","283","70","14","1","8","37","33","30","74","1","5","2","",".247",".322",".396",".718",".312","93","","1.2","","460.3","","1.65","-0.46","0.97","sa3011443"
"Nick Ahmed","ARI","131","516","471","113","26","3","11","57","54","38","107","3","7","2","",".240",".299",".375",".674",".292","79","","1.1","","567.3","","2.38","-0.65","0.51","12147"
"Jonathan Villar","","112","450","404","100","17","2","13","56","42","39","115","3","16","6","",".246",".317",".390",".707",".308","93","","1.1","","291.6","","5.17","0.03","1.22","10071"
"Andrelton Simmons","","109","416","384","96","17","1","4","41","35","27","55","3","3","1","",".250",".303",".333",".636",".280","75","","1.1","","590.0","","2.78","-0.46","0.84","10847"
"Jose Barrero","CIN","76","294","268","69","15","1","9","35","35","20","74","6","7","2","",".256",".319",".419",".738",".319","93","","1.1","","428.6","","9.13","-0.17","1.13","23378"
"Taylor Walls","TBR","89","345","302","69","16","2","6","39","32","38","92","2","10","4","",".228",".318",".351",".668",".296","85","","1.1","","561.3","","3.31","-0.14","1.15","22458"
"Adalberto Mondesi","KCR","120","492","458","112","22","5","16","66","56","24","143","3","42","8","",".245",".285",".422",".708",".302","89","","1.1","","60.6","","4.85","-0.15","2.85","13769"
"José Iglesias","","102","403","380","103","22","2","7","45","43","16","57","5","4","2","",".272",".309",".391",".699",".302","86","","1.0","","591.7","","2.29","-0.08","1.05","10231"
"Didi Gregorius","PHI","115","473","432","105","20","2","16","53","62","29","72","6","3","1","",".242",".297",".411",".708",".303","87","","0.9","","459.2","","3.41","0.14","0.31","6012"
"Brad Miller","","89","314","275","65","12","2","14","41","42","36","90","2","2","1","",".235",".326",".447",".773",".331","105","","0.8","","552.4","","2.81","-1.94","0.61","12775"
"Elvis Andrus","OAK","101","401","370","91","18","2","6","42","34","24","61","3","9","3","",".247",".296",".349",".646",".282","81","","0.8","","563.4","","1.02","0.40","1.11","8709"
"Thairo Estrada","SFG","69","240","221","58","10","1","8","30","27","14","46","3","3","1","",".261",".314",".418",".732",".316","98","","0.8","","598.8","","2.60","1.13","1.25","16426"
"Niko Goodrum","","88","353","315","69","15","2","11","43","35","32","112","3","12","4","",".220",".294",".381",".675",".294","84","","0.8","","562.8","","6.37","0.07","1.21","12092"
"Jed Lowrie","","104","414","369","91","21","1","12","46","50","39","87","2","0","0","",".246",".321",".404",".725",".311","100","","0.8","","594.2","","1.66","-0.87","0.42","4418"
"Sergio Alcántara","CHC","74","268","236","54","9","1","5","29","23","28","68","2","4","1","",".229",".314",".339",".653",".290","81","","0.6","","999.0","","3.53","0.34","1.10","16417"
"Kevin Newman","PIT","116","457","423","110","20","3","5","46","40","24","45","3","6","2","",".260",".304",".359",".662",".288","79","","0.6","","594.3","","2.96","-0.36","1.00","17696"
"Tyler Wade","LAA","100","296","264","60","12","2","4","39","22","26","73","3","21","5","",".229",".304",".330",".634",".281","76","","0.5","","462.7","","4.13","2.03","2.06","15730"
"Orlando Arcia","ATL","74","269","246","62","11","1","8","31","30","20","46","1","3","1","",".252",".309",".403",".712",".306","87","","0.4","","597.5","","8.45","-0.93","1.11","13185"
"Starlin Castro","","54","221","204","55","11","1","6","24","26","14","40","1","0","0","",".269",".315",".411",".726",".311","92","","0.4","","596.7","","3.37","0.59","1.37","4579"
"Willi Castro","DET","44","172","158","39","7","2","4","20","17","9","40","3","3","2","",".248",".298",".402",".700",".301","89","","0.4","","525.6","","7.60","0.39","1.47","17338"
"Tyler Freeman","CLE","20","63","58","17","4","0","1","7","6","2","8","1","1","0","",".287",".328",".407",".735",".317","101","","0.3","","999.0","","4.12","0.03","1.92","sa3004755"
"Oswald Peraza","NYY","26","103","95","24","4","0","2","12","10","6","22","1","4","1","",".251",".301",".379",".681",".296","85","","0.3","","599.8","","5.68","1.38","1.80","sa3003305"
"José Peraza","NYY","42","149","138","35","6","0","4","17","16","8","23","2","2","1","",".251",".299",".384",".684",".296","85","","0.2","","600.8","","5.28","0.54","1.54","13593"
"Vimael Machín","OAK","41","147","130","30","6","1","3","15","12","13","32","1","1","0","",".230",".307",".344",".651",".287","84","","0.2","","999.0","","4.43","0.99","1.49","17684"
"Andrew Velazquez","LAA","35","121","108","24","5","1","3","14","12","9","38","1","6","1","",".223",".288",".358",".646",".283","77","","0.2","","999.0","","3.53","1.99","1.72","14196"
"Danny Mendick","CHW","51","182","164","38","7","0","4","19","17","15","39","2","2","1","",".230",".299",".344",".643",".284","77","","0.2","","999.0","","3.91","1.36","1.35","18889"
"Geraldo Perdomo","ARI","26","98","87","21","4","1","1","11","8","9","21","1","2","1","",".236",".319",".341",".660",".293","80","","0.2","","596.2","","3.25","0.15","1.71","22799"
"Alan Trejo","COL","83","264","245","60","14","1","8","30","31","13","64","2","1","1","",".246",".284",".406",".690",".294","69","","0.2","","999.0","","5.01","-0.98","1.01","20056"
"Nick Allen","OAK","48","193","176","42","9","1","3","19","15","11","41","2","4","2","",".236",".285",".338",".623",".272","74","","0.2","","999.0","","2.23","0.65","1.48","sa3004723"
"Jack Mayfield","LAA","41","156","143","32","7","0","5","18","19","9","36","2","2","1","",".226",".277",".385",".662",".285","79","","0.2","","999.0","","4.85","2.03","1.38","15402"
"Alcides Escobar","WSN","105","439","405","103","20","2","6","52","43","23","79","6","5","2","",".255",".303",".359",".662",".289","77","","0.2","","582.3","","4.12","0.64","0.75","6310"
"Oswaldo Cabrera","NYY","15","61","57","14","3","0","2","8","7","4","15","0","1","1","",".238",".287",".400",".687",".295","84","","0.2","","999.0","","5.49","3.01","1.81","sa916954"
"Zack Short","DET","17","63","54","11","2","0","2","7","7","7","18","0","0","0","",".208",".300",".371",".671",".293","84","","0.2","","999.0","","3.90","0.66","1.74","19562"
"Marwin Gonzalez","","61","230","208","48","10","0","6","24","24","17","55","4","2","1","",".231",".297",".363",".660",".288","83","","0.1","","999.0","","3.05","-0.88","1.13","5497"
"Jordan Groshans","TOR","16","60","54","14","3","0","1","7","6","5","13","0","0","0","",".252",".313",".381",".694",".302","87","","0.1","","600.4","","3.45","0.34","1.83","sa3006893"
"Donovan Walton","SEA","10","35","32","8","2","0","1","4","4","3","6","0","0","0","",".248",".315",".400",".716",".311","101","","0.1","","999.0","","4.84","1.86","1.92","19314"
"Jonathan Araúz","BOS","16","59","53","13","3","0","1","7","6","5","12","0","0","0","",".238",".305",".365",".670",".294","80","","0.1","","999.0","","5.76","1.91","1.80","20275"
"CJ Abrams","SDP","23","94","87","20","5","0","1","11","9","6","19","1","4","1","",".229",".288",".333",".621",".275","71","","0.1","","569.8","","4.16","0.09","1.79","sa3010152"
"Daniel Robertson","","42","132","114","25","5","0","3","14","11","14","35","3","1","0","",".220",".319",".332",".651",".290","78","","0.1","","999.0","","1.94","-0.02","1.50","14145"
"Cole Tucker","PIT","74","283","253","58","12","2","5","32","25","25","67","2","5","2","",".230",".301",".351",".653",".287","78","","0.1","","561.5","","2.98","-0.27","1.13","17326"
"Michael Stefanic","LAA","8","30","27","7","1","0","1","3","3","2","5","0","0","0","",".262",".322",".372",".694",".303","91","","0.1","","999.0","","4.24","4.03","1.96","sa3008479"
"José Devers","MIA","26","71","64","16","3","0","1","8","6","4","14","1","1","0","",".251",".305",".354",".659",".288","82","","0.1","","999.0","","3.45","0.26","1.82","20540"
"Ryan Kreidler","DET","5","21","19","5","1","0","1","2","2","2","6","0","0","0","",".236",".295",".387",".682",".295","86","","0.1","","999.0","","4.72","2.25","1.97","sa3010587"
