"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Marcus Semien","TEX","150","665","594","154","32","3","30","96","85","66","126","3","11","4","",".260",".336",".477",".812",".348","122","","4.7","","37.3","","3.06","-0.50","0.56","12533"
"Brandon Lowe","TBR","141","594","519","133","27","2","34","88","92","63","163","8","6","2","",".255",".343",".510",".853",".362","128","","4.3","","73.9","","2.74","-0.23","0.83","18882"
"Ozzie Albies","ATL","147","645","592","161","36","6","29","99","88","44","118","5","17","5","",".273",".326",".498",".824",".348","115","","4.2","","18.9","","2.40","0.68","0.44","16556"
"Jose Altuve","HOU","141","632","567","157","30","2","25","100","77","56","92","5","6","3","",".277",".346",".470",".816",".349","124","","3.9","","72.9","","2.31","-0.24","0.74","5417"
"Jonathan India","CIN","147","634","541","142","31","2","23","98","71","71","143","18","12","3","",".262",".363",".454",".817",".354","116","","3.8","","90.6","","3.66","-0.88","0.70","21523"
"Ketel Marte","ARI","142","610","553","162","35","4","22","84","78","47","89","5","5","2","",".293",".351",".491",".843",".358","122","","3.8","","80.0","","2.70","-0.92","0.91","13613"
"Jorge Polanco","MIN","147","638","579","155","32","3","26","91","83","47","111","5","9","4","",".268",".325",".469",".795",".338","115","","3.3","","78.6","","2.03","1.25","0.32","13152"
"Max Muncy","LAD","125","525","440","111","20","2","30","82","83","74","117","8","2","1","",".251",".367",".510",".877",".373","136","","3.3","","146.2","","3.62","0.55","0.82","13301"
"Jake Cronenworth","SDP","142","600","535","147","31","5","17","82","70","52","90","8","6","3","",".274",".345",".445",".790",".340","114","","3.2","","120.5","","1.97","0.91","0.57","18036"
"DJ LeMahieu","NYY","145","645","578","163","27","2","14","85","64","58","87","4","4","2","",".282",".350",".409",".759",".331","108","","2.9","","111.0","","2.85","0.12","0.98","9874"
