"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Christian Walker","ARI","119","485","435","109","24","2","17","61","61","42","116","5","1","1","",".250",".321",".428",".749",".323","99","","0.7","","453.5","","3.23","-1.17","0.16","13419"
"Matt Thaiss","LAA","54","200","179","41","8","1","6","23","23","20","48","2","1","0","",".228",".310",".388",".698",".305","92","","0.7","","582.5","","4.41","0.29","1.14","19318"
"Ji-Man Choi","TBR","106","420","356","83","18","1","14","49","52","56","111","4","1","1","",".233",".341",".407",".748",".327","105","","0.7","","558.0","","3.17","2.26","0.23","5452"
"Pavin Smith","ARI","121","500","446","118","24","3","12","62","53","43","89","3","2","1","",".264",".327",".410",".738",".318","96","","0.6","","387.5","","3.06","0.42","0.55","19892"
"Lewin Díaz","MIA","78","300","277","65","13","1","15","36","40","19","69","3","1","0","",".236",".291",".450",".740",".314","99","","0.5","","575.1","","3.94","2.21","0.74","18365"
"Bobby Bradley","CLE","106","433","384","82","17","1","21","52","60","40","148","6","0","0","",".213",".294",".430",".724",".310","95","","0.5","","442.0","","2.37","1.69","0.76","17278"
"Eric Hosmer","SDP","134","547","496","131","23","1","16","61","69","43","105","4","5","2","",".265",".326",".412",".738",".318","99","","0.5","","391.4","","2.49","0.51","0.44","3516"
"Yoshi Tsutsugo","PIT","118","460","399","91","20","1","17","54","57","54","117","3","0","0","",".229",".323",".413",".736",".320","100","","0.4","","367.4","","3.65","-0.11","0.35","27459"
"Matt Vierling","PHI","100","355","321","82","15","2","10","40","39","25","82","4","7","2","",".254",".312",".404",".716",".309","91","","0.4","","558.6","","7.16","-1.01","1.00","21558"
"Dominic Smith","NYM","103","387","349","90","20","1","14","44","52","28","87","6","1","1","",".258",".320",".439",".759",".325","104","","0.4","","434.3","","3.53","-1.17","0.64","15653"
"Yu Chang","CLE","64","228","210","48","11","1","8","27","28","15","64","2","1","1","",".231",".290",".406",".696",".300","89","","0.4","","595.0","","2.06","0.65","1.03","14773"
"Mitch Moreland","","71","267","240","56","11","1","12","32","36","23","61","2","0","0","",".234",".305",".433",".737",".314","102","","0.3","","600.9","","3.19","0.13","0.82","3086"
"Seth Beer","ARI","85","307","274","70","15","1","11","38","39","22","70","9","1","0","",".254",".330",".436",".766",".331","104","","0.3","","551.4","","4.12","0.12","0.81","20493"
