"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"José Ramírez","CLE","148","633","551","149","35","4","35","101","100","71","91","6","25","6","",".271",".358",".540",".899",".377","141","","6.0","","3.8","","3.03","0.14","0.81","13510"
"Vladimir Guerrero Jr.","TOR","152","650","568","174","32","2","41","107","109","74","101","6","3","2","",".306",".390",".587",".976",".410","159","","5.6","","5.8","","4.78","0.22","1.43","19611"
"Rafael Devers","BOS","150","647","583","164","37","2","39","99","106","55","136","6","5","3","",".281",".348",".551",".899",".377","137","","4.9","","15.6","","2.36","-0.41","1.03","17350"
"Alex Bregman","HOU","141","611","520","140","32","1","25","85","85","77","79","8","2","1","",".269",".368",".476",".844",".362","134","","4.6","","85.1","","2.92","-1.16","0.67","17678"
"Manny Machado","SDP","152","649","576","159","29","2","32","92","102","62","105","3","11","4","",".276",".345",".502",".847",".357","125","","4.5","","22.3","","2.09","0.79","0.50","11493"
"Anthony Rendon","LAA","133","575","495","134","30","1","23","77","81","69","87","7","1","1","",".271",".366",".476",".842",".361","129","","4.3","","106.7","","3.83","-0.29","0.66","12861"
"Matt Chapman","OAK","146","614","533","120","24","3","29","79","79","68","185","6","2","1","",".225",".317",".447",".764",".328","112","","3.9","","188.5","","2.42","0.10","1.25","16505"
"Nolan Arenado","STL","151","644","579","150","29","2","31","83","97","52","93","4","2","1","",".258",".320",".479",".799",".334","110","","3.7","","67.7","","1.77","-0.19","0.99","9777"
"Yoán Moncada","CHW","143","616","535","139","30","3","19","79","70","71","163","7","4","2","",".260",".352",".435",".787",".342","115","","3.4","","150.6","","1.65","0.42","0.35","17232"
"Josh Donaldson","MIN","134","564","475","117","25","1","28","78","76","78","126","6","1","1","",".247",".357",".479",".836",".358","128","","3.3","","198.3","","2.56","-0.73","0.78","5038"
"Ke'Bryan Hayes","PIT","139","599","542","144","31","3","15","76","63","51","126","4","12","3","",".266",".333",".421",".754",".327","104","","3.2","","142.4","","3.04","-2.22","0.65","18577"
"Jeimer Candelario","DET","144","607","535","138","33","4","20","71","69","64","135","6","1","1","",".257",".342",".444",".786",".340","116","","3.2","","240.2","","2.11","-0.10","0.38","13621"
"Austin Riley","ATL","148","619","557","152","29","2","31","86","94","48","160","9","0","1","",".272",".336",".500",".836",".354","119","","3.2","","48.3","","2.13","-0.41","1.00","18360"
"Justin Turner","LAD","130","548","481","134","25","1","23","77","79","51","89","12","2","1","",".279",".359",".476",".835",".358","126","","3.0","","153.9","","2.99","0.16","0.66","5235"
"Kris Bryant","","136","587","509","131","29","2","23","84","72","64","135","12","7","2","",".258",".353",".458",".811",".350","120","","2.9","","95.2","","2.75","1.58","0.33","15429"
"DJ LeMahieu","NYY","145","645","578","163","27","2","14","85","64","58","87","4","4","2","",".282",".350",".409",".759",".331","108","","2.9","","111.0","","2.85","0.12","0.98","9874"
"Luis Urías","MIL","140","548","480","120","24","2","19","69","65","56","114","10","5","2","",".251",".340",".427",".767",".333","106","","2.6","","154.9","","3.70","-0.58","0.09","16622"
"Luis Arraez","MIN","134","551","496","149","27","4","4","67","50","47","53","2","3","2","",".300",".360",".397",".756",".330","109","","2.5","","318.2","","3.57","-0.91","1.64","18568"
"Abraham Toro","SEA","121","484","431","107","22","2","15","58","56","41","83","10","7","3","",".248",".325",".413",".737",".320","107","","2.2","","261.1","","2.42","-0.10","0.36","19844"
"Ryan McMahon","COL","145","586","520","132","28","2","25","76","82","58","155","4","5","2","",".254",".331",".460",".791",".339","98","","2.0","","161.8","","2.54","0.05","0.47","15112"
"Eduardo Escobar","NYM","142","590","537","131","25","4","24","71","80","45","120","3","2","1","",".244",".304",".436",".740",".315","98","","1.9","","195.6","","2.46","-0.31","0.70","6153"
"Brian Anderson","MIA","118","482","425","105","20","1","16","55","57","45","118","10","5","1","",".247",".332",".413",".745",".325","106","","1.8","","433.4","","2.62","-0.07","0.33","18289"
"Yandy Díaz","TBR","114","472","408","111","19","1","12","58","54","58","76","3","1","1","",".271",".364",".412",".776",".340","114","","1.6","","409.7","","3.40","-0.50","0.70","16578"
"Patrick Wisdom","CHC","127","508","453","99","18","1","27","64","71","44","179","5","5","2","",".219",".295",".442",".736",".315","98","","1.6","","334.3","","3.14","-0.17","1.04","13602"
"Isiah Kiner-Falefa","TEX","107","445","413","110","19","2","6","51","37","23","63","7","12","4","",".268",".315",".366",".681",".298","89","","1.5","","357.8","","5.11","-0.43","1.33","16512"
"Eugenio Suárez","CIN","129","534","466","106","20","1","31","70","79","56","153","7","1","1","",".228",".318",".469",".787",".336","104","","1.5","","193.3","","4.89","0.01","1.13","12552"
