"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","150","656","567","175","31","2","46","110","123","77","102","6","3","2","",".309",".394",".610","1.004",".418","165","","-1.5","-0.1","","50.7","-12.6","6.1","","5.8","19611"
"José Ramírez","CLE","150","663","570","152","35","4","34","97","101","80","98","7","23","7","",".266",".360",".521",".881",".370","136","","2.1","1.1","","31.5","3.2","5.7","","3.8","13510"
"Alex Bregman","HOU","146","643","538","145","33","1","27","91","92","90","84","8","2","1","",".270",".380",".486",".866",".371","139","","-1.0","-2.8","","30.0","-0.3","5.2","","85.1","17678"
"Rafael Devers","BOS","150","648","578","161","36","2","36","95","105","56","133","6","6","3","",".278",".346",".534",".881",".369","131","","0.8","-2.6","","25.5","-0.8","4.7","","15.6","17350"
"Manny Machado","SDP","150","652","576","158","29","2","32","91","102","66","111","5","10","4","",".274",".350",".498",".849",".357","127","","-0.9","1.6","","21.5","3.5","4.7","","22.3","11493"
"Anthony Rendon","LAA","133","575","493","134","31","1","21","76","79","69","90","8","2","1","",".272",".367",".467",".834",".358","127","","0.1","1.5","","19.3","3.7","4.3","","106.7","12861"
"Nolan Arenado","STL","150","649","582","152","29","2","31","84","99","57","97","5","2","1","",".262",".330",".479",".809",".341","117","","0.2","3.9","","14.0","6.0","4.2","","67.7","9777"
"Yoán Moncada","CHW","149","651","559","144","31","2","21","84","78","77","168","8","4","2","",".258",".353",".433",".786",".342","118","","0.0","0.5","","14.4","1.7","3.8","","150.6","17232"
"DJ LeMahieu","NYY","150","690","611","174","29","2","17","95","68","63","95","5","6","2","",".285",".354",".421",".775",".337","115","","-0.4","1.4","","11.9","-0.8","3.5","","111.0","9874"
"Matt Chapman","OAK","150","631","545","120","25","4","27","75","79","72","189","7","3","2","",".219",".316",".427",".743",".321","107","","0.4","4.8","","5.9","7.3","3.5","","188.5","16505"
"Josh Donaldson","MIN","138","606","511","127","27","1","30","87","84","81","135","7","1","1","",".249",".357",".479",".837",".358","128","","-1.7","-3.3","","19.2","-6.4","3.3","","198.3","5038"
