"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Taylor Walls","TBR","104","416","362","82","18","1","8","44","40","45","106","3","12","6","",".227",".316",".355",".670",".296","91","","-0.4","5.9","","-4.8","7.9","1.7","","561.3","22458"
"Gavin Lux","LAD","117","450","396","103","18","3","13","56","53","44","91","3","6","2","",".261",".337",".421",".758",".327","106","","0.4","-0.5","","4.0","-2.5","1.6","","241.8","19955"
"Paul DeJong","STL","113","456","401","94","18","1","19","53","58","41","111","8","4","2","",".234",".314",".426",".740",".319","103","","-0.3","0.9","","1.3","-0.5","1.6","","446.8","18015"
"Ramón Urías","BAL","117","472","420","105","23","1","13","51","51","39","114","8","4","2","",".249",".321",".400",".721",".314","97","","-0.6","-3.4","","-2.5","2.2","1.6","","482.3","18795"
"Andrés Giménez","CLE","115","454","415","103","21","2","13","51","51","23","102","9","16","6","",".248",".300",".401",".702",".303","91","","0.4","2.6","","-4.8","4.9","1.5","","272.4","19950"
"Andrelton Simmons","","122","468","426","110","21","1","7","49","45","30","61","4","4","1","",".259",".312",".361",".673",".295","84","","0.2","2.3","","-9.0","8.4","1.5","","590.0","10847"
"José Iglesias","","115","474","442","120","26","2","8","50","51","20","67","6","4","2","",".272",".310",".397",".707",".305","91","","0.1","-1.0","","-5.2","3.9","1.5","","591.7","10231"
"Edmundo Sosa","STL","99","385","350","91","14","3","9","42","42","19","77","10","5","2","",".259",".314",".396",".710",".307","95","","-0.4","-0.8","","-3.0","4.0","1.4","","422.0","17022"
"Ha-Seong Kim","SDP","91","358","320","79","15","1","11","42","42","29","70","4","8","3","",".248",".316",".406",".722",".312","98","","0.1","0.1","","-0.9","2.6","1.4","","375.9","27506"
"Bryson Stott","PHI","75","302","269","69","14","1","8","35","34","27","65","2","4","2","",".258",".327",".408",".736",".319","97","","-0.2","0.0","","-1.2","3.7","1.3","","460.3","sa3011443"
"Orlando Arcia","ATL","107","426","387","101","18","1","14","48","52","31","70","3","5","2","",".261",".317",".422",".739",".318","95","","0.1","7.0","","-2.4","0.8","1.2","","597.5","13185"
"Elvis Andrus","OAK","113","447","409","103","21","2","7","46","42","27","69","4","9","3","",".252",".303",".365",".668",".290","86","","1.5","-2.6","","-6.0","3.1","1.2","","563.4","8709"
"Jonathan Villar","","109","459","408","102","17","2","13","55","48","41","114","3","16","5","",".250",".321",".394",".715",".311","95","","1.6","-4.7","","-1.4","-2.2","1.2","","291.6","10071"
"Isiah Kiner-Falefa","TEX","76","338","310","82","15","2","5","38","30","19","48","5","9","3","",".266",".315",".372",".687",".299","89","","0.6","1.5","","-3.8","3.7","1.1","","357.8","16512"
"Adalberto Mondesi","KCR","136","563","523","130","27","4","19","67","68","29","155","4","42","12","",".248",".291",".424",".714",".305","90","","3.3","2.3","","-3.3","-4.6","1.1","","60.6","13769"
"Kyle Farmer","CIN","125","491","448","113","23","2","13","54","56","25","99","10","4","2","",".253",".305",".400",".705",".304","84","","-0.5","-1.9","","-10.6","4.4","1.0","","489.7","14813"
"Thairo Estrada","SFG","66","269","246","64","12","1","8","30","31","16","49","3","4","2","",".261",".312",".413",".725",".312","97","","0.0","-0.7","","-1.0","1.0","0.9","","598.8","16426"
"Aledmys Díaz","HOU","75","311","281","71","15","1","10","36","37","20","58","5","1","1","",".253",".313",".414",".727",".312","100","","-0.6","-2.5","","-0.7","-0.9","0.9","","569.9","15937"
"Jed Lowrie","","107","454","403","101","23","1","13","52","53","42","96","4","1","0","",".251",".325",".406",".732",".318","99","","-1.6","-1.1","","-2.0","-4.3","0.9","","594.2","4418"
