"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ramón Urías","BAL","117","472","420","105","23","1","13","51","51","39","114","8","4","2","",".249",".321",".400",".721",".314","97","","-0.6","-3.4","","-2.5","2.2","1.6","","482.3","18795"
"Andrés Giménez","CLE","115","454","415","103","21","2","13","51","51","23","102","9","16","6","",".248",".300",".401",".702",".303","91","","0.4","2.6","","-4.8","4.9","1.5","","272.4","19950"
"Cavan Biggio","TOR","123","524","440","101","21","2","17","67","56","72","131","4","7","2","",".230",".340",".396",".737",".323","101","","-0.6","-2.7","","0.1","-3.2","1.5","","301.2","19252"
"Edmundo Sosa","STL","99","385","350","91","14","3","9","42","42","19","77","10","5","2","",".259",".314",".396",".710",".307","95","","-0.4","-0.8","","-3.0","4.0","1.4","","422.0","17022"
"Ha-Seong Kim","SDP","91","358","320","79","15","1","11","42","42","29","70","4","8","3","",".248",".316",".406",".722",".312","98","","0.1","0.1","","-0.9","2.6","1.4","","375.9","27506"
"Jonathan Villar","","109","459","408","102","17","2","13","55","48","41","114","3","16","5","",".250",".321",".394",".715",".311","95","","1.6","-4.7","","-1.4","-2.2","1.2","","291.6","10071"
"Josh Harrison","","118","505","458","121","25","2","10","57","52","29","74","11","8","3","",".265",".322",".393",".716",".312","95","","-0.6","-2.0","","-3.5","-1.7","1.2","","419.1","8202"
"Wilmer Flores","SFG","97","405","364","97","19","1","15","49","52","31","56","4","2","1","",".267",".330",".448",".778",".334","111","","-1.4","-2.2","","4.4","-7.3","1.1","","409.7","5827"
"Donovan Solano","","97","406","371","102","21","1","7","44","43","24","76","6","2","1","",".275",".327",".397",".724",".314","97","","-0.8","-2.7","","-2.4","-1.0","1.0","","599.0","8623"
"Nick Solak","TEX","100","424","379","98","17","1","11","48","47","32","86","7","6","3","",".258",".326",".400",".726",".317","101","","0.1","-2.9","","0.7","-5.1","1.0","","423.2","19294"
"Joey Wendle","MIA","100","406","369","94","20","3","7","41","41","24","83","7","8","3","",".254",".311",".384",".694",".300","90","","0.1","0.4","","-5.0","1.4","1.0","","364.7","13853"
"Luis García","WSN","97","388","360","97","19","2","13","45","50","20","64","2","4","2","",".270",".311",".437",".748",".319","97","","-0.2","-3.9","","-1.7","-2.1","0.9","","503.1","20391"
"Thairo Estrada","SFG","66","269","246","64","12","1","8","30","31","16","49","3","4","2","",".261",".312",".413",".725",".312","97","","0.0","-0.7","","-1.0","1.0","0.9","","598.8","16426"
"Aledmys Díaz","HOU","75","311","281","71","15","1","10","36","37","20","58","5","1","1","",".253",".313",".414",".727",".312","100","","-0.6","-2.5","","-0.7","-0.9","0.9","","569.9","15937"
"Jed Lowrie","","107","454","403","101","23","1","13","52","53","42","96","4","1","0","",".251",".325",".406",".732",".318","99","","-1.6","-1.1","","-2.0","-4.3","0.9","","594.2","4418"
"Johan Camargo","PHI","44","173","156","40","8","1","6","21","22","14","34","1","1","0","",".260",".322",".443",".766",".328","103","","-0.2","-0.3","","0.4","0.5","0.7","","600.5","14950"
"Starlin Castro","","65","269","247","67","13","1","6","29","30","17","48","2","1","0","",".272",".321",".405",".727",".314","97","","-0.3","-2.1","","-1.4","-1.0","0.7","","596.7","4579"
"Shed Long Jr.","","65","259","233","55","11","1","7","29","29","21","64","2","3","1","",".238",".303",".394",".698",".303","89","","0.0","-0.5","","-3.4","0.6","0.6","","999.0","16542"
"Jurickson Profar","SDP","118","473","412","99","21","2","12","53","51","48","73","7","10","4","",".241",".328",".386",".714",".313","98","","0.4","-1.3","","-0.7","-9.2","0.6","","496.4","10815"
"Luis Rengifo","LAA","50","200","180","44","8","1","5","23","22","16","37","2","5","2","",".247",".312",".392",".704",".306","92","","0.0","-0.6","","-1.9","0.7","0.6","","600.3","19858"
"Rougned Odor","BAL","94","384","343","73","15","1","17","43","48","31","106","6","3","1","",".211",".285",".409",".694",".298","86","","0.1","-2.6","","-6.7","-1.0","0.5","","429.0","12282"
"Mike Moustakas","CIN","113","457","407","98","20","1","22","56","64","39","92","5","2","1","",".240",".313",".454",".766",".327","98","","-1.5","-1.7","","-2.4","-7.4","0.5","","371.8","4892"
"Christian Arroyo","BOS","55","225","205","50","11","1","7","26","26","13","53","4","2","1","",".247",".302",".414",".716",".309","90","","-0.1","-0.1","","-2.7","0.4","0.5","","597.5","16434"
"Josh VanMeter","ARI","83","340","296","70","17","2","10","40","37","36","82","3","5","2","",".237",".325",".403",".728",".317","95","","-0.5","-1.9","","-2.5","-3.5","0.5","","593.1","15170"
"Andy Ibáñez","TEX","78","321","292","78","15","1","9","37","38","22","52","3","2","1","",".268",".323",".424",".747",".322","105","","-0.5","0.7","","1.3","-7.1","0.5","","583.6","18819"
"David Bote","CHC","52","210","184","44","8","1","7","24","24","20","50","3","1","1","",".238",".318",".401",".720",".313","93","","0.0","-0.6","","-1.8","-0.4","0.5","","594.9","14593"
"Hoy Park","PIT","42","172","147","35","6","1","4","19","16","20","37","2","4","2","",".240",".336",".370",".706",".311","94","","-0.1","-0.4","","-1.4","0.4","0.5","","600.1","18027"
"Vidal Bruján","TBR","39","161","146","36","8","1","3","18","17","12","27","1","10","4","",".246",".305",".374",".679",".296","92","","0.2","-0.2","","-1.4","0.6","0.5","","338.3","20536"
"Tyler Wade","LAA","75","298","264","62","12","1","4","32","27","26","70","4","17","6","",".234",".309",".341",".650",".287","80","","1.2","-2.2","","-6.2","0.7","0.5","","462.7","15730"
"Dylan Moore","SEA","87","353","310","64","13","1","10","38","36","32","100","7","15","7","",".206",".292",".357",".649",".286","84","","0.3","-1.1","","-6.7","-1.1","0.4","","452.2","18042"
"Sergio Alcántara","CHC","57","223","194","45","7","2","4","23","21","24","55","2","3","1","",".231",".318",".345",".663",".293","80","","-0.2","0.3","","-5.8","2.3","0.4","","999.0","16417"
"Robinson Canó","NYM","112","469","429","110","22","1","12","51","56","30","80","5","2","1","",".257",".310",".401",".711",".306","96","","-1.3","-0.7","","-3.6","-8.7","0.3","","488.8","3269"
"Danny Mendick","CHW","39","153","137","32","6","0","4","17","16","12","32","1","2","1","",".237",".305",".365",".670",".294","85","","-0.1","0.1","","-2.8","0.8","0.3","","999.0","18889"
"Zach McKinstry","LAD","47","186","168","41","8","1","6","22","22","13","41","2","3","1","",".243",".304",".404",".708",".305","92","","-0.2","-1.1","","-2.0","-1.0","0.3","","592.5","19392"
"Mauricio Dubón","SFG","29","116","106","28","5","0","3","12","13","7","20","1","2","1","",".263",".314",".399",".713",".308","94","","-0.1","-0.5","","-1.0","0.3","0.3","","584.6","16530"
"Luis Guillorme","NYM","26","103","89","23","4","0","1","11","9","11","18","1","1","1","",".255",".343",".351",".694",".308","97","","-0.1","-0.8","","-0.4","-0.1","0.3","","999.0","16451"
"Alan Trejo","COL","78","307","285","72","16","2","9","35","37","16","66","2","4","2","",".254",".296",".422",".719",".307","77","","-0.4","-1.9","","-9.2","1.7","0.3","","999.0","20056"
"Jorge Mateo","BAL","84","334","309","73","16","2","7","34","33","16","87","4","11","4","",".236",".279",".371",".650",".281","74","","0.1","-1.3","","-10.4","1.6","0.3","","459.6","17273"
"Joe Panik","","47","187","167","42","8","0","3","19","18","16","26","2","2","1","",".250",".318",".358",".676",".297","86","","-0.4","-0.9","","-3.8","-0.1","0.2","","999.0","11936"
"Brock Holt","","58","236","209","50","10","1","3","24","21","21","47","2","3","1","",".240",".314",".344",".658",".292","82","","-0.8","0.0","","-6.0","0.4","0.2","","999.0","9345"
"Michael Chavis","PIT","107","420","384","93","17","2","17","48","53","24","116","6","4","2","",".242",".294",".429",".723",".309","93","","-0.7","0.8","","-4.5","-7.1","0.2","","534.7","17321"
"Jace Peterson","MIL","45","184","159","38","8","1","4","21","19","20","42","2","4","1","",".238",".328",".379",".707",".312","92","","0.1","-0.9","","-1.7","-2.4","0.2","","550.3","12325"
"Mike Brosseau","MIL","58","245","219","51","10","1","8","27","28","19","66","4","2","1","",".231",".301",".393",".694",".301","85","","-0.5","0.3","","-5.0","-1.2","0.2","","594.3","19683"
"Willi Castro","DET","16","66","60","15","3","1","2","7","7","4","15","1","1","1","",".253",".303",".399",".702",".303","91","","0.0","-0.3","","-0.7","0.1","0.2","","525.6","17338"
"José Peraza","NYY","31","121","111","28","5","0","3","13","13","6","18","2","2","1","",".252",".299",".372",".671",".292","84","","0.1","-1.4","","-2.3","-0.3","0.2","","600.8","13593"
"Tucupita Marcano","PIT","19","78","70","18","3","0","1","8","7","7","12","1","2","1","",".252",".320",".358",".677",".299","86","","0.0","0.0","","-1.4","0.3","0.1","","600.4","22871"
"Jahmai Jones","BAL","26","103","93","21","4","1","3","11","10","8","24","1","2","1","",".231",".296",".370",".666",".291","81","","-0.1","0.0","","-2.5","0.5","0.1","","600.9","18872"
"Eric Sogard","","39","154","139","35","7","1","2","16","15","11","25","1","2","1","",".248",".307",".358",".665",".291","81","","-0.3","-0.5","","-3.9","0.1","0.1","","999.0","7927"
"Jonathan Araúz","BOS","13","52","46","11","2","0","1","6","6","4","9","0","0","0","",".245",".308",".386",".695",".302","86","","0.0","0.0","","-0.9","0.3","0.1","","999.0","20275"
"Daniel Robertson","","34","137","118","26","5","0","3","14","12","15","35","2","1","0","",".220",".315",".334",".649",".290","81","","-0.1","-0.9","","-3.4","0.0","0.1","","999.0","14145"
"Nick Maton","PHI","13","51","46","10","2","0","1","5","5","4","13","1","1","0","",".229",".304",".360",".664",".292","79","","0.0","0.2","","-1.4","0.6","0.1","","999.0","21635"
"Harold Castro","DET","44","180","169","45","7","1","2","17","16","8","39","1","1","1","",".266",".299",".356",".655",".285","79","","-0.1","0.1","","-4.7","-0.5","0.1","","601.0","14691"
"Donovan Walton","SEA","6","25","23","6","1","0","1","3","3","2","4","0","0","0","",".251",".319",".379",".698",".305","97","","0.0","-0.1","","-0.1","0.1","0.1","","999.0","19314"
"Owen Miller","CLE","40","163","150","37","7","0","4","16","17","10","38","1","1","0","",".245",".295",".375",".670",".291","83","","-0.2","-0.3","","-3.7","-1.0","0.1","","600.5","24655"
"Alejo Lopez","CIN","8","33","30","8","2","0","0","4","3","2","4","0","0","0","",".279",".335",".387",".722",".315","91","","0.0","-0.2","","-0.4","0.0","0.1","","999.0","21127"
"Ernie Clement","CLE","11","44","41","10","2","0","1","4","4","2","7","0","1","0","",".256",".303",".361",".665",".290","82","","0.0","-0.2","","-1.0","0.1","0.1","","999.0","20352"
"José Rondón","","10","38","35","8","2","0","1","4","4","3","9","0","0","0","",".240",".296",".400",".697",".301","91","","-0.1","-0.1","","-0.5","-0.3","0.0","","999.0","14140"
"Rodolfo Castro","PIT","13","52","48","11","2","0","2","6","7","3","12","1","1","0","",".239",".287",".430",".717",".306","91","","0.0","0.0","","-0.7","-0.7","0.0","","999.0","21987"
"Isan Díaz","MIA","28","111","98","22","4","0","3","12","12","11","28","1","1","0","",".227",".310",".376",".687",".297","88","","-0.2","-0.7","","-1.9","-1.5","0.0","","600.7","17922"
"Travis Blankenhorn","NYM","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".238",".295",".408",".704",".302","94","","0.0","0.0","","-0.1","0.0","0.0","","999.0","18395"
"Garrett Hampson","COL","109","428","387","95","17","4","9","49","44","32","103","3","16","5","",".245",".305",".382",".686",".297","71","","1.5","-4.4","","-14.2","0.2","0.0","","273.4","19262"
