"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","150","656","567","175","31","2","46","110","123","77","102","6","3","2","",".309",".394",".610","1.004",".418","165","","-1.5","-0.1","","50.7","-12.6","6.1","","5.8","19611"
"Matt Olson","OAK","150","656","558","144","27","1","39","93","104","83","135","9","3","1","",".258",".361",".522",".882",".370","140","","-0.9","4.3","","31.4","-8.2","4.6","","41.0","14344"
"Freddie Freeman","","150","669","567","165","33","2","29","100","94","86","108","8","6","3","",".291",".389",".512",".901",".379","140","","-0.1","1.2","","33.4","-11.3","4.5","","19.7","5361"
"Pete Alonso","NYM","150","649","562","145","26","2","42","96","112","68","141","13","2","1","",".259",".350",".537",".887",".371","139","","-2.5","-0.1","","29.4","-13.2","3.8","","50.0","19251"
"Paul Goldschmidt","STL","150","675","587","161","30","2","30","98","91","75","142","5","7","3","",".274",".358",".487",".845",".361","130","","-0.1","0.5","","25.6","-12.0","3.6","","48.2","9218"
"DJ LeMahieu","NYY","150","690","611","174","29","2","17","95","68","63","95","5","6","2","",".285",".354",".421",".775",".337","115","","-0.4","1.4","","11.9","-0.8","3.5","","111.0","9874"
"Max Muncy","LAD","131","569","470","117","21","1","30","84","87","86","123","8","2","1","",".249",".372",".492",".863",".369","133","","-0.2","2.1","","24.0","-9.4","3.3","","146.2","13301"
"Ty France","SEA","150","652","580","158","31","2","23","80","83","47","119","19","1","0","",".272",".344",".449",".793",".342","122","","-1.5","1.0","","16.2","-10.8","2.8","","139.7","17982"
"Yandy Díaz","TBR","130","561","479","131","24","2","14","70","64","71","93","4","2","1","",".275",".371",".422",".793",".345","125","","-1.0","-1.1","","16.1","-8.3","2.7","","409.7","16578"
"Jared Walsh","LAA","150","643","572","149","31","2","33","86","98","58","166","7","3","1","",".260",".333",".491",".824",".348","121","","-1.3","1.3","","15.1","-11.2","2.6","","117.6","18607"
"Anthony Rizzo","","138","608","520","134","24","2","26","83","82","61","96","19","6","2","",".257",".354",".463",".818",".352","122","","-2.4","1.8","","14.1","-9.6","2.5","","183.5","3473"
"Rhys Hoskins","PHI","123","551","461","109","25","1","29","81","76","75","133","8","4","2","",".236",".350",".484",".834",".357","122","","-1.0","1.6","","14.1","-8.6","2.4","","134.7","16472"
"Brandon Belt","SFG","128","571","486","118","24","3","26","79","74","72","140","6","4","2","",".243",".345",".461",".807",".345","119","","-1.5","1.0","","12.0","-9.7","2.1","","232.5","10264"
"José Abreu","CHW","150","655","584","151","30","2","31","86","98","52","150","14","1","1","",".258",".331",".477",".808",".344","119","","-1.6","-2.6","","13.9","-15.5","2.1","","75.7","15676"
"Nathaniel Lowe","TEX","146","626","539","139","25","2","23","78","79","76","157","4","5","2","",".257",".351",".440",".791",".342","118","","-0.9","-2.0","","13.0","-14.2","2.0","","245.9","19566"
"Luke Voit","NYY","134","572","496","123","21","2","28","78","79","60","155","9","2","1","",".249",".338",".465",".802",".344","120","","-1.1","-1.2","","12.7","-12.7","1.9","","260.9","14811"
"Jonathan Schoop","DET","141","623","574","151","28","2","23","76","77","33","128","9","2","1","",".263",".310",".441",".751",".322","103","","-0.4","-3.5","","2.3","-4.7","1.9","","198.7","11265"
"Josh Bell","WSN","147","633","547","143","28","2","31","86","98","75","125","5","1","0","",".261",".352",".486",".839",".356","121","","-2.6","-5.0","","14.4","-17.3","1.8","","128.6","13145"
