"PlayerName","NFBC_ADP","playerid"
"Miles Mikolas",440.38,"9803"
"Jonah Heim",441,"16930"
"Alex Colome",445.31,NA
"Josh Staumont",445.62,"18335"
"Cole Sulser",446.15,"15256"
"Jeremy Pena",446.77,NA
"Gavin Sheets",446.92,"19901"
"Bryson Stott",447.31,"sa3011443"
"Dylan Moore",451.85,"18042"
"Edmundo Sosa",453.46,"17022"
"Carlos Santana",455.85,"2396"
"Leury Garcia",455.85,NA
"Trevor Rosenthal",460.62,"10745"
"Nate Pearson",462.38,"20160"
"Chris Stratton",462.69,"13761"
"Francisco Mejia",462.69,NA
"Ramon Urias",466.08,NA
"Michael Wacha",468.15,"14078"
"Art Warren",470.38,"18251"
"Grayson Rodriguez",472.38,"sa3008130"
"Garrett Cooper",472.69,"15279"
"Kyle Isbel",472.77,"21614"
"Madison Bumgarner",473.23,"5524"
"Rougned Odor",473.38,"12282"
"Tyler Beede",475.54,"16981"
"Nick Martinez",476.31,NA
"Luis Garcia",477.46,NA
"Seth Brown",479.23,"18171"
"David Peralta",479.77,"2136"
"Santiago Espinal",480.46,"19997"
"Edward Cabrera",484.69,"21690"
"Juan Yepez",486.15,NA
"JT Brubaker",489.38,"17578"
"Robinson Cano",489.54,NA
"Zach Thompson",490.23,"16094"
"Carter Kieboom",493.08,"19958"
"Aaron Hicks",494.38,"5297"
"Ryan Jeffers",496.15,"24618"
"Luis Gil",497.54,"21052"
"Leody Taveras",499.69,"18900"
"Tommy La Stella",500,"12371"
"Jurickson Profar",500.15,"10815"
"Merrill Kelly",501.62,"11156"
"Brad Hand",501.85,"9111"
"Pedro Severino",503.92,"14523"
"Zach Eflin",506.54,"13774"
"Codi Heuer",506.92,"23293"
"Ryan Yarbrough",507.54,"16502"
"Miguel Cabrera",510.46,"1744"
"Edwin Rios",510.69,NA
"Kris Bubic",511.23,"21455"
"Jake Odorizzi",512.85,"6397"
"Anthony Alford",515.31,"14329"
"Gabriel Moreno",520.08,"sa3003226"
"Max Meyer",521.38,"sa3014430"
"Triston Casas",522.15,NA
"Nick Pratto",522.15,NA
"Brad Boxberger",522.46,"10133"
"Nick Gordon",522.46,"16337"
"Nolan Gorman",523.23,NA
"Tom Murphy",524.85,"13499"
"Mitch Keller",525.23,"17594"
"Matt Manning",527.08,"20369"
"Pete Fairbanks",527.69,"17998"
"Pete Fairbanks",527.69,"17998"
"Jace Peterson",528.69,"12325"
"Jose Suarez",528.85,NA
"Kyle Farmer",529.46,"14813"
"Steven Kwan",529.69,"sa3008536"
"Roberto Perez",533.23,NA
"Nick Ahmed",534.69,"12147"
"Matt Vierling",535.77,"21558"
"Harold Ramirez",538.08,"14387"
"Daniel Lynch",538.23,"21537"
"Aledmys Diaz",539.77,NA
"Willi Castro",541.38,"17338"
"Jose Siri",543.69,"17452"
"Reiver Sanmartin",544.08,"19754"
"Hector Neris",544.46,NA
"Reynaldo Lopez",547.92,NA
"Chad Pinder",548.62,"15191"
"Cole Irvin",549.85,"19244"
"Jake Meyers",551.54,"20308"
"Yadiel Hernandez",551.62,"19334"
"Jose Quintana",552,NA
"Michael Chavis",552.92,"17321"
"Brad Miller",553.54,"12775"
"Jordan Hicks",553.62,"19618"
"Nick Lodolo",554.38,"sa917947"
"Andy Ibanez",554.62,NA
"Collin McHugh",555.15,"7531"
"Michael Lorenzen",555.54,"14843"
"Richard Rodriguez",556.23,NA
"Austin Gomber",556.38,"16561"
"Elvis Andrus",557.08,"8709"
"Tyler Rogers",558.92,"15541"
"Lewin Diaz",559.23,NA
"Ji-Man Choi",559.77,"5452"
"Trevor Larnach",560.77,"21501"
"Oscar Mercado",560.77,"16375"
"Garrett Crochet",560.85,"27463"
"Tyler Anderson",561.23,"12880"
"Spencer Howard",563,"23252"
"Cal Raleigh",565.92,"21534"
"Manny Pina",567.08,NA
"Taylor Walls",567.62,"22458"
"David Peterson",569,"20302"
"Brennen Davis",569.62,"sa3007876"
"Martin Maldonado",569.69,NA
"Kyle Muller",573.69,"20167"
"Ben Gamel",575.15,"12160"
"Glenn Otto",575.23,"21366"
"Kevin Kiermaier",575.38,"11038"
"Ryan Tepera",576.69,"10291"
"Kendall Graveman",577.15,"15514"
"A.J. Puk",577.46,"19343"
"Erick Fedde",578.23,"17425"
"Trevor May",580.69,"6398"
"Austin Slater",580.77,"16153"
"Ross Stripling",582.08,"13273"
"Daniel Hudson",582.38,"7146"
"Vladimir Gutierrez",582.77,"19278"
"Cody Morris",583.77,"sa3008653"
"Taylor Hearn",584,"18325"
"Justin Upton",584.38,"5222"
"Justin Dunn",585.23,"19268"
"Niko Goodrum",586.15,"12092"
"Seth Beer",586.38,"20493"
"Brad Keller",586.46,"15734"
"Edward Olivares",586.46,"19698"
"David Price",587.85,"3184"
"Kyle Freeland",588.15,"16256"
"Alek Thomas",588.54,"sa3006892"
"Tucker Davidson",588.77,"19871"
"Mike Soroka",588.92,"18383"
"Jackie Bradley Jr.",589.23,"12984"
"Jose Trevino",589.69,"16725"
"Tyler Matzek",591.38,"10058"
"Cade Cavalli",591.46,"sa3014421"
"Lars Nootbaar",591.77,"21454"
"Dallas Keuchel",592.08,"9434"
"Victor Caratini",592.31,"14968"
"Victor Caratini",592.31,"14968"
"Dan Straily",598.15,"9460"
"Luis Campusano",598.15,"22217"
"Sam Huff",600.46,"22209"
"Sam Huff",600.46,"22209"
"Matt Duffy",600.54,"13836"
"Drew Smyly",601.69,"11760"
"Jon Berti",602.85,"12037"
"Dom Nunez",603,NA
"Andres Munoz",603.23,NA
"Tyler Alexander",603.62,"17735"
"Alcides Escobar",603.77,"6310"
"Matt Beaty",604.15,"17710"
"Jordan Lyles",605.62,"7593"
"Kevin Plawecki",606.85,"13807"
"Victor Reyes",606.92,"15487"
"Antonio Senzatela",608.54,"15488"
"Kyle Higashioka",610.31,"5517"
"Sammy Long",610.77,"25379"
"Jake Fraley",612.31,"19260"
"Jose Iglesias",613,NA
"Josh Naylor",613.77,"18839"
"Daniel Bard",616.85,"7115"
"Austin Hedges",617.23,"12976"
"Cole Tucker",617.69,"17326"
"Kwang Hyun Kim",619.08,"27458"
"Adam Engel",620,"15082"
"Julian Merryweather",621.31,"16703"
"Matt Brash",622.23,"sa3010616"
"Matt Thaiss",625.77,"19318"
"Yimi Garcia",626.54,NA
"George Kirby",627,"sa3011526"
"Danny Duffy",627.62,"3542"
"Curt Casali",628.77,"12510"
"Curt Casali",628.77,"12510"
"Odubel Herrera",628.85,NA
"Kevin Newman",631.38,"17696"
"Jose Alvarado",633,NA
"Mike Brosseau",634.31,"19683"
"Tyler Duffey",634.46,"13758"
"Brett Phillips",635.85,"14735"
"Caleb Smith",636.69,"14875"
"Luis Garcia",636.85,NA
"Zach McKinstry",637.15,"19392"
"Brusdar Graterol",637.31,"20367"
"Cristian Pache",637.92,"19948"
"Eli Morgan",638.85,"20203"
"Colin Moran",639.23,"16909"
"Emilio Pagan",639.31,NA
"Mitch White",639.62,"19225"
"Kyle Wright",640.38,"19665"
"Griffin Canning",641.23,"19867"
"Robert Stephenson",641.31,"13594"
"Yu Chang",641.31,"14773"
"Jake Burger",641.85,"22275"
"Josh VanMeter",642.54,"15170"
"CJ Abrams",643.23,"sa3010152"
"Brent Suter",646.62,"13942"
"Daulton Jefferies",647.15,"19345"
"Colton Welker",647.85,"19961"
"Austin Barnes",648.62,"12158"
"William Contreras",650.08,"20503"
"Mauricio Dubon",650.46,NA
"A.J. Alexy",651.08,"22343"
"Cole Winn",651.62,"sa3008662"
"Corey Dickerson",652.15,"10762"
"Bailey Falter",652.69,"20070"
"Jason Castro",653.77,"8722"
"Christian Arroyo",655.54,"16434"
"Dylan Coleman",656.31,"22276"
"Justin Steele",656.85,"17312"
"MacKenzie Gore",657.08,"sa3005068"
"Miguel Andujar",658.92,NA
"Matt Liberatore",660.08,NA
"Drew Pomeranz",661.15,"11426"
"Aristides Aquino",661.38,"15482"
"Jed Lowrie",663.46,"4418"
"Mike Mayers",663.92,"15451"
"Aaron Bummer",665.85,"16258"
"Stephen Piscotty",666.77,"13367"
"Travis Swaggerty",667.08,"sa3007512"
"Riley Adams",667.77,"19864"
"Andrelton Simmons",668,"10847"
"Tommy Romero",671.46,"sa3004469"
"Paolo Espino",671.85,"8246"
"Greg Allen",672.54,"16623"
"Greg Allen",672.54,"16623"
"Steven Duggar",672.77,"17719"
"Jackson Kowar",673.15,"21549"
"Luke Jackson",674.46,"11752"
"James Paxton",675.23,"11828"
"Seth Lugo",675.62,"12447"
"Maikel Franco",678.08,"12179"
"Kevin Pillar",679.54,"12434"
"Ryan Weathers",679.77,"23796"
"Daz Cameron",680.23,"18353"
"Alec Mills",680.92,"13834"
"Johnny Cueto",681,"6893"
"Nolan Jones",681.46,NA
"Aaron Loup",681.77,"10343"
"Luis Cessa",681.77,"13345"
"Nick Fortes",681.85,"21538"
"Jason Heyward",682.31,"4940"
"Brent Honeywell Jr.",682.46,"16466"
"Kirby Yates",685,"9073"
"Dustin May",686.92,"19716"
"Yonny Hernandez",687.46,"19432"
"Alex Vesia",688.54,"25007"
"Geraldo Perdomo",689,"22799"
"Mychal Givens",689.54,"10430"
"Andrew Knizner",690,"19514"
"Wil Crowe",691.54,"19800"
"Jake Cousins",692,"21620"
"Phil Gosselin",693.54,"10953"
"Jake McCarthy",695.15,"21622"
"Deivi Garcia",695.92,NA
"Amir Garrett",696.08,"14375"
"David Dahl",696.31,"13744"
"Brent Rooker",696.54,"19627"
"Bruce Zimmermann",698.46,"20370"
"J.P. Feyereisen",699.69,"16610"
"Touki Toussaint",700.23,"16929"
"Vinnie Pasquantino",700.54,NA
"Andrew Chafin",700.69,"12988"
"Thairo Estrada",701.08,"16426"
"Bryse Wilson",701.08,"19990"
"Austin Allen",701.23,"18083"
"Matthew Boyd",702.46,"15440"
"Randy Dobnak",702.77,"23798"
"David Bote",702.92,"14593"
"Joan Adon",703,"22925"
"Royce Lewis",705,"sa3004259"
"Zack Collins",705.23,"19181"
"Donovan Solano",705.38,"8623"
"Trevor Richards",705.54,"19309"
"Ryne Stanek",706.08,"15947"
"Tony Santillan",706.54,"19926"
"Clarke Schmidt",707.08,"19899"
"Michael King",707.08,"19853"
"Dillon Peters",708.62,"18790"
"Luis Rengifo",708.92,"19858"
"Evan White",709,"20078"
"Jake Diekman",713.15,"5003"
"Zach Davies",713.62,"13183"
"Joe Ross",717.08,"12972"
"Corbin Martin",717.38,"19884"
"Clay Holmes",717.85,"13649"
"Yonathan Daza",718.08,"15794"
"Austin Martin",718.15,"sa3014454"
"Kevin Smith",718.38,"20242"
"Taylor Ward",718.85,"17548"
"Jordan Luplow",719,"16424"
"J.A. Happ",719.15,"7410"
"Isaac Paredes",719.85,"20036"
"Tyler Gilbert",719.92,"17964"
"Alex Dickerson",720,"12649"
"Jose Leclerc",720.38,NA
"Brooks Raley",721.15,"10061"
"Adam Ottavino",721.23,"1247"
"Kelvin Gutierrez",721.31,"17468"
"Demarcus Evans",721.62,"21087"
"Josh Fleming",722.08,"20418"
"Genesis Cabrera",722.31,NA
"Miguel Yajure",722.46,"21111"
"Domingo Acevedo",722.69,"17092"
"Reese McGuire",723.85,"15674"
"Tanner Scott",724.31,"17586"
"Elehuris Montero",725,NA
"Keegan Akin",725.15,"19362"
"Daniel Vogelbach",725.38,"14130"
"Heliot Ramos",725.38,"sa3004693"
"Spencer Strider",726,"27498"
"Jordan Balazovic",727.69,"sa918017"
"Brandon Williamson",727.92,"sa3011494"
