"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Jon Berti","MIA","52","194","171","41","7","1","2","23","14","19","46","3","7","2","",".241",".324",".341",".665",".296","88","","0.5","","582.7","12037"
"Isaac Paredes","DET","30","116","103","26","6","0","3","13","12","11","17","2","0","0","",".253",".334",".396",".729",".318","101","","0.5","","600.9","20036"
"Kevin Smith","TOR","75","247","226","50","12","1","9","30","28","18","74","2","5","1","",".222",".285",".396",".680",".292","80","","0.4","","597.0","20242"
"Matt Duffy","","57","218","196","52","9","1","2","24","18","17","39","3","3","1","",".264",".330",".344",".674",".300","87","","0.4","","588.0","13836"
"Travis Shaw","","55","202","177","38","8","0","8","23","25","22","53","2","1","0","",".217",".307",".400",".708",".307","92","","0.3","","600.6","11982"
"Johan Camargo","PHI","65","206","187","44","9","0","6","22","24","16","44","2","0","0","",".235",".297",".386",".684",".295","82","","0.3","","600.5","14950"
"Luis Guillorme","NYM","40","133","116","28","5","0","1","14","11","14","23","1","1","0","",".242",".328",".314",".642",".288","84","","0.3","","999.0","16451"
"Asdrúbal Cabrera","CIN","59","228","201","47","10","0","7","25","26","22","51","2","1","0","",".232",".309",".384",".693",".302","89","","0.3","","599.8","4962"
"Yu Chang","CLE","64","228","207","46","11","1","7","25","26","17","66","2","2","1","",".224",".287",".393",".681",".294","85","","0.3","","595.0","14773"
"Jake Lamb","","56","205","178","38","8","1","7","24","23","24","57","2","1","0","",".213",".313",".387",".700",".306","91","","0.2","","999.0","13329"
"Colin Moran","","105","406","362","88","15","0","14","45","48","38","97","3","1","0","",".243",".317",".399",".716",".310","94","","0.2","","581.6","16909"
"Jack Mayfield","LAA","41","156","144","32","6","0","5","16","18","9","36","1","1","0","",".220",".271",".383",".654",".281","76","","0.2","","999.0","15402"
"Ernie Clement","CLE","29","107","99","25","5","1","1","11","10","6","15","1","2","1","",".257",".306",".356",".662",".289","81","","0.2","","999.0","20352"
"Romy Gonzalez","CHW","26","99","90","21","4","0","3","12","11","8","30","1","2","0","",".228",".294",".381",".674",".292","84","","0.2","","999.0","21562"
"Ehire Adrianza","","60","181","161","38","8","1","4","19","17","16","38","2","1","0","",".237",".310",".366",".676",".296","85","","0.2","","999.0","8418"
"Yonny Hernandez","TEX","20","78","67","16","3","0","0","9","4","9","14","1","4","1","",".242",".339",".300",".640",".292","85","","0.2","","599.7","19432"
"Daniel Robertson","","42","132","115","25","5","0","2","14","11","13","35","3","1","0","",".220",".315",".328",".644",".289","80","","0.2","","999.0","14145"
"Jake Burger","CHW","24","88","80","19","4","0","3","10","10","6","23","1","0","0","",".232",".292",".395",".687",".296","87","","0.2","","590.2","22275"
"Vimael Machín","OAK","41","147","131","29","6","1","2","13","12","14","32","1","1","0","",".225",".303",".321",".624",".276","76","","0.1","","999.0","17684"
"Colton Welker","COL","79","276","251","68","15","1","7","32","34","20","58","2","1","0","",".269",".327",".425",".751",".321","87","","0.1","","592.2","19961"
