"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"AJ Pollock","LAD","112","441","400","109","23","1","22","65","67","32","90","6","6","2","",".272",".332",".500",".832",".352","122","","2.2","","220.8","9256"
"Max Kepler","MIN","132","555","481","114","25","2","24","74","68","62","104","7","6","2","",".238",".330",".450",".781",".334","112","","2.2","","286.9","12144"
"Michael Conforto","","140","580","496","127","26","2","21","74","71","70","128","10","3","1","",".256",".357",".442",".799",".344","117","","2.2","","199.5","16376"
"Avisaíl García","MIA","137","562","506","136","23","2","22","71","70","42","134","10","10","3","",".268",".333",".451",".785",".335","113","","2.1","","174.3","5760"
"Franmil Reyes","CLE","144","590","524","134","24","1","35","78","93","58","168","4","2","1","",".255",".331",".502",".833",".351","123","","2.1","","126.1","14566"
"Austin Meadows","TBR","136","579","507","123","28","3","26","73","80","59","124","7","7","2","",".243",".328",".465",".793",".336","119","","2.1","","135.7","15672"
"Daulton Varsho","ARI","112","424","380","97","21","3","16","56","55","36","89","5","8","2","",".255",".325",".458",".783",".334","106","","2.0","","95.4","19918"
"Hunter Renfroe","MIL","137","552","497","122","25","1","33","73","86","45","130","5","2","1","",".245",".311",".497",".808",".341","111","","1.9","","163.2","15464"
"Trey Mancini","BAL","145","621","555","149","27","2","25","77","79","54","138","8","1","0","",".268",".340",".459",".799",".342","116","","1.9","","193.0","15149"
"Marcell Ozuna","ATL","119","510","453","121","20","1","25","70","70","51","108","3","3","1","",".268",".343",".484",".827",".352","117","","1.9","","193.4","10324"
"Dylan Carlson","STL","147","621","549","138","31","3","17","75","68","58","145","9","5","2","",".252",".330",".414",".744",".322","104","","1.9","","174.8","20126"
"Aaron Hicks","NYY","107","436","372","85","16","1","16","56","48","57","96","3","3","1","",".229",".335",".413",".748",".326","107","","1.8","","483.6","5297"
"Jeff McNeil","NYM","125","501","448","118","23","2","11","58","54","37","70","11","4","1","",".264",".334",".397",".731",".319","104","","1.8","","320.6","15362"
"Manuel Margot","TBR","116","444","402","103","20","3","12","56","47","36","74","2","15","5","",".257",".319",".407",".726",".314","103","","1.8","","362.8","14712"
"Michael Brantley","HOU","117","505","455","129","26","2","11","62","57","41","60","5","1","1","",".282",".346",".421",".767",".332","113","","1.8","","250.4","4106"
"Brandon Marsh","LAA","118","463","414","101","21","3","12","56","48","43","142","3","8","2","",".244",".319",".397",".715",".310","95","","1.8","","378.3","20202"
"Mike Yastrzemski","SFG","131","535","469","111","26","4","22","68","67","55","131","7","4","1","",".236",".323",".444",".767",".328","107","","1.8","","286.5","14854"
"Andrew McCutchen","","116","487","417","105","22","2","19","65","60","62","108","5","4","1","",".252",".353",".449",".802",".347","119","","1.8","","353.5","9847"
"Andrew Vaughn","CHW","131","534","473","121","25","1","21","67","69","49","110","7","1","1","",".256",".333",".447",".780",".335","113","","1.7","","238.0","26197"
"Josh Rojas","ARI","127","529","468","118","27","4","9","65","50","54","117","3","14","3","",".251",".330",".384",".715",".312","92","","1.7","","236.5","19734"
"Kyle Lewis","SEA","122","515","457","111","20","1","20","62","63","52","142","3","4","1","",".242",".321",".426",".747",".322","109","","1.7","","306.6","19508"
"Robbie Grossman","DET","136","574","487","118","23","3","15","71","56","76","121","6","14","4","",".242",".349",".397",".745",".327","107","","1.7","","185.2","5254"
"Brian Anderson","MIA","118","482","425","105","20","1","16","57","54","44","116","10","4","1","",".247",".330",".412",".742",".323","105","","1.6","","433.4","18289"
"Michael A. Taylor","KCR","129","470","430","104","22","2","15","55","54","33","130","3","12","4","",".242",".299",".405",".705",".303","89","","1.6","","455.2","11489"
"Lorenzo Cain","MIL","106","426","382","103","18","2","8","54","41","37","74","4","12","3","",".268",".337",".393",".730",".319","97","","1.6","","416.9","9077"
"Ryan Mountcastle","BAL","145","612","560","145","29","2","27","76","81","43","157","5","5","1","",".259",".315",".466",".781",".331","108","","1.5","","113.5","18373"
"Garrett Hampson","COL","118","443","403","108","21","5","12","62","47","33","105","3","19","4","",".268",".325",".435",".760",".326","90","","1.5","","273.4","19262"
"Ian Happ","CHC","140","554","480","114","22","2","22","70","67","65","158","5","7","2","",".238",".333",".434",".767",".331","105","","1.4","","198.7","17919"
"Joc Pederson","","120","454","397","95","20","1","21","58","60","45","106","8","3","1","",".238",".326",".451",".777",".333","109","","1.4","","445.0","11899"
"Akil Baddoo","DET","138","556","490","115","24","6","16","70","56","58","148","4","17","4","",".234",".317",".405",".723",".313","97","","1.4","","156.1","22168"
"Kevin Kiermaier","TBR","114","422","380","87","18","4","6","48","35","34","105","5","12","4","",".230",".301",".344",".645",".284","83","","1.4","","577.3","11038"
"Alex Kirilloff","MIN","119","494","451","125","26","3","18","64","63","34","104","4","4","1","",".276",".330",".465",".795",".337","114","","1.4","","177.9","20325"
"Jarred Kelenic","SEA","131","542","486","110","22","2","20","64","62","49","139","4","11","4","",".228",".302",".406",".708",".306","97","","1.3","","135.6","22558"
"Austin Hays","BAL","132","552","508","129","25","2","21","66","66","33","113","7","7","2","",".255",".307",".436",".742",".318","99","","1.3","","236.8","19363"
"Nelson Cruz","","127","540","491","126","24","1","29","69","82","36","129","9","2","1","",".256",".316",".488",".804",".339","113","","1.3","","175.3","2434"
"Ben Gamel","PIT","140","534","465","116","25","3","12","62","54","60","130","5","8","2","",".250",".339",".396",".735",".321","100","","1.3","","574.6","12160"
"Bryan De La Cruz","MIA","109","428","393","99","19","2","10","47","44","29","102","2","5","1","",".253",".307",".388",".695",".301","91","","1.3","","470.8","19600"
"Tyler Naquin","CIN","121","472","428","112","22","2","20","63","61","36","113","4","5","2","",".261",".323",".459",".781",".333","102","","1.2","","374.2","13359"
"Vidal Bruján","TBR","69","268","242","61","14","2","5","34","26","22","47","2","13","2","",".254",".320",".389",".708",".308","100","","1.2","","338.3","20536"
"Chas McCormick","HOU","91","337","301","73","13","1","12","43","40","29","84","4","5","2","",".243",".316",".421",".737",".318","104","","1.2","","453.8","19599"
"Jake Meyers","HOU","95","373","338","81","17","2","11","45","40","26","96","5","6","2","",".241",".303",".396",".700",".303","93","","1.2","","573.0","20308"
"Adam Frazier","SEA","141","590","530","134","27","3","4","59","47","46","76","8","8","3","",".253",".320",".334",".655",".290","87","","1.2","","351.1","15223"
"LaMonte Wade Jr.","SFG","117","453","391","93","19","2","16","57","50","51","93","7","5","2","",".238",".333",".417",".750",".325","106","","1.2","","308.1","18126"
"Wil Myers","SDP","138","527","467","113","23","2","19","68","61","53","147","3","11","3","",".241",".321",".418",".739",".320","102","","1.2","","293.1","10047"
"Adam Duvall","ATL","134","534","483","113","22","2","33","71","81","39","157","7","2","1","",".234",".299",".491",".790",".332","105","","1.2","","226.1","10950"
"Garrett Cooper","MIA","107","431","381","101","17","1","15","53","51","41","107","5","1","0","",".265",".343",".432",".775",".336","113","","1.2","","510.1","15279"
"Adolis García","TEX","136","570","527","120","25","2","26","70","72","32","178","6","11","4","",".229",".279",".430",".709",".301","91","","1.2","","166.0","19287"
"Leury García","CHW","123","491","444","114","18","3","8","57","43","34","102","6","7","2","",".256",".316",".364",".680",".298","88","","1.1","","492.6","5913"
"Nick Senzel","CIN","80","309","279","77","18","2","8","42","34","25","57","2","9","2","",".274",".335",".441",".777",".334","103","","1.1","","468.9","19293"
"Odúbel Herrera","","91","371","337","87","18","2","10","44","41","28","65","4","4","1","",".259",".322",".413",".735",".317","99","","1.1","","585.1","11476"
"Kole Calhoun","TEX","107","443","385","90","18","1","18","53","55","48","100","6","1","1","",".233",".325",".427",".752",".325","107","","1.1","","481.0","11200"
"Hunter Dozier","KCR","123","496","444","107","24","3","18","60","62","44","133","4","5","2","",".240",".313",".431",".745",".320","100","","1.1","","385.4","15117"
"Tony Kemp","OAK","126","433","375","89","16","3","5","46","31","47","63","6","8","3","",".237",".329",".334",".663",".296","90","","1.0","","424.4","14894"
"Julio Rodríguez","SEA","68","298","269","71","14","1","8","35","33","23","66","4","4","1","",".265",".329",".418",".747",".321","108","","1.0","","268.3","sa3005720"
"Jesús Sánchez","MIA","130","527","480","121","23","3","20","62","65","39","136","4","3","1","",".253",".312",".438",".750",".320","103","","1.0","","225.4","19913"
"Adam Engel","CHW","89","337","305","73","16","2","11","43","37","23","84","7","7","2","",".241",".306",".412",".718",".311","97","","1.0","","596.1","15082"
"Eddie Rosario","","120","490","451","116","22","2","19","59","63","33","78","1","7","2","",".256",".305",".442",".747",".317","99","","1.0","","173.9","12155"
"Austin Slater","SFG","90","299","263","69","12","2","9","41","30","30","77","5","10","3","",".261",".345",".420",".765",".333","110","","1.0","","561.2","16153"
"Jarren Duran","BOS","97","397","362","93","21","3","9","52","40","28","107","5","11","3","",".258",".318",".410",".728",".315","94","","1.0","","413.5","24617"
"J.D. Davis","NYM","85","321","282","70","14","1","11","39","38","32","87","4","1","0","",".249",".333",".414",".747",".324","108","","1.0","","454.6","16219"
"Chad Pinder","OAK","112","415","376","89","18","1","15","46","48","30","108","5","1","0","",".238",".302",".412",".714",".308","98","","1.0","","568.2","15191"
"Lane Thomas","WSN","118","450","400","95","21","2","16","58","51","43","124","4","9","3","",".237",".315",".418",".733",".317","96","","0.9","","250.4","16939"
"Jordan Luplow","ARI","86","331","287","69","15","2","14","44","43","37","81","4","4","1","",".241",".333",".452",".785",".338","109","","0.9","","599.6","16424"
"Steven Duggar","SFG","90","324","291","68","15","3","6","37","30","29","93","2","6","2","",".232",".304",".369",".673",".292","84","","0.9","","599.3","17719"
"Bradley Zimmer","CLE","95","357","314","69","14","2","11","44","34","33","125","8","11","2","",".220",".309",".379",".687",".302","90","","0.9","","465.1","16221"
"Victor Robles","WSN","113","425","376","88","18","2","11","52","41","31","102","14","13","4","",".234",".314",".379",".693",".303","86","","0.9","","441.9","18363"
"Alek Thomas","ARI","64","261","238","64","13","2","5","33","28","19","56","2","5","1","",".269",".328",".412",".740",".320","97","","0.9","","547.1","sa3006892"
"Anthony Santander","BAL","130","547","501","123","28","1","25","63","73","36","115","5","2","1","",".245",".300",".454",".754",".319","100","","0.9","","271.0","14551"
"Lourdes Gurriel Jr.","TOR","135","544","501","131","25","2","18","66","66","33","111","5","4","2","",".261",".311",".428",".738",".316","96","","0.9","","142.6","19238"
"Riley Greene","DET","89","375","337","80","15","3","9","42","37","32","107","4","4","1","",".236",".308",".381",".689",".299","88","","0.9","","307.7","sa3010694"
"David Peralta","ARI","127","514","464","123","25","4","11","61","57","42","90","4","2","1","",".266",".331",".408",".739",".319","97","","0.9","","474.7","2136"
"Rafael Ortega","CHC","125","483","433","105","21","3","12","56","47","44","98","2","11","3","",".242",".313",".385",".699",".304","88","","0.9","","333.6","10323"
"Dylan Moore","SEA","86","314","279","58","11","1","12","40","32","28","88","5","15","5","",".210",".292",".386",".677",".295","90","","0.9","","452.2","18042"
"Nick Gordon","MIN","77","284","261","64","14","2","6","35","28","18","69","3","8","2","",".246",".300",".387",".686",".297","87","","0.8","","549.9","16337"
"Kyle Isbel","KCR","97","369","336","82","17","3","8","42","37","26","87","4","9","2","",".243",".304",".383",".686",".297","85","","0.8","","509.9","21614"
"Jake Fraley","SEA","88","345","301","67","14","2","10","41","34","37","92","5","10","3","",".221",".313",".379",".692",".303","95","","0.8","","593.8","19260"
"Leody Taveras","TEX","80","319","288","66","13","2","8","38","29","26","87","1","10","2","",".231",".297",".376",".672",".291","84","","0.8","","533.6","18900"
"Charlie Blackmon","COL","129","548","488","136","28","4","16","70","68","47","91","8","2","1","",".279",".349",".455",".804",".345","102","","0.8","","239.2","7859"
"Randal Grichuk","TOR","128","513","472","114","24","2","22","63","68","32","114","5","2","1","",".241",".293",".443",".736",".313","94","","0.7","","384.3","10243"
"Brett Gardner","","89","335","293","67","13","3","8","40","31","36","72","3","4","1","",".230",".319",".376",".695",".305","91","","0.7","","598.6","9927"
"Victor Reyes","DET","80","301","281","73","13","3","5","34","28","16","66","2","7","2","",".259",".301",".383",".685",".296","86","","0.7","","586.9","15487"
"Jackie Bradley Jr.","BOS","76","291","257","56","13","1","7","34","29","26","79","6","4","2","",".219",".302",".366",".667",".292","79","","0.7","","579.7","12984"
"Connor Joe","COL","112","432","378","98","23","2","14","55","52","46","92","5","1","0","",".260",".346",".438",".784",".340","99","","0.7","","330.7","16572"
"Justin Upton","LAA","87","343","299","68","12","0","16","43","45","37","99","4","3","1","",".226",".316",".435",".751",".324","104","","0.7","","548.2","5222"
"Steven Kwan","CLE","76","311","281","75","16","2","5","35","31","24","38","2","4","1","",".266",".326",".394",".720",".312","97","","0.6","","510.9","sa3008536"
"Jorge Mateo","BAL","104","357","333","77","17","4","8","42","32","19","105","3","14","3","",".230",".276",".376",".652",".281","74","","0.6","","459.6","17273"
"Oscar Mercado","CLE","86","331","298","71","15","2","8","39","32","26","65","4","10","3","",".238",".304",".383",".687",".299","88","","0.6","","586.0","16375"
"Jo Adell","LAA","129","513","472","112","23","2","19","61","60","32","157","5","7","2","",".237",".292",".415",".706",".303","91","","0.6","","231.6","20220"
"Dominic Smith","NYM","103","387","347","88","19","1","12","45","48","31","85","5","2","1","",".254",".322",".421",".743",".320","105","","0.6","","434.3","15653"
"Josh VanMeter","ARI","87","317","279","64","16","2","10","38","36","33","78","2","5","1","",".230",".314",".404",".718",".312","92","","0.6","","593.1","15170"
"Darin Ruf","SFG","96","328","284","70","14","1","12","41","39","37","87","4","1","0","",".246",".338",".430",".769",".332","110","","0.6","","442.9","9929"
"Kevin Pillar","","87","319","297","73","15","1","11","37","38","15","65","5","5","2","",".245",".290",".417",".707",".303","89","","0.5","","598.1","12434"
"Corey Dickerson","","93","356","327","84","18","2","10","42","41","24","67","2","4","1","",".258",".311",".417",".728",".312","95","","0.5","","598.1","10762"
"Josh Naylor","CLE","85","329","299","77","16","1","11","37","40","25","57","3","1","0","",".258",".319",".423",".742",".318","101","","0.5","","568.5","18839"
"Danny Santana","","44","171","155","37","8","1","6","22","20","12","46","2","5","2","",".236",".298",".416",".713",".306","91","","0.5","","999.0","10322"
"Tim Locastro","","53","175","154","38","8","1","3","22","15","10","35","9","7","1","",".244",".325",".370",".695",".308","93","","0.5","","594.6","15124"
"Alex Dickerson","","82","283","252","62","13","1","12","34","38","24","63","5","1","0","",".247",".323",".453",".776",".330","107","","0.5","","598.6","12649"
"Brett Phillips","TBR","69","215","188","37","7","1","7","27","22","24","81","2","8","2","",".196",".290",".369",".659",".288","86","","0.5","","595.9","14735"
"Jon Berti","MIA","52","194","171","41","7","1","2","23","14","19","46","3","7","2","",".241",".324",".341",".665",".296","88","","0.5","","582.7","12037"
"Jose Siri","HOU","65","234","216","47","10","1","7","28","24","14","83","2","7","1","",".216",".267",".371",".638",".275","75","","0.5","","542.6","17452"
"Tyrone Taylor","MIL","103","366","333","81","16","2","14","45","45","24","80","5","4","1","",".242",".302",".429",".730",".313","93","","0.5","","471.7","13675"
"Pavin Smith","ARI","121","500","450","116","25","3","12","57","57","44","84","3","1","0","",".258",".327",".406",".732",".317","95","","0.5","","387.5","19892"
"Derek Hill","DET","55","193","177","41","8","2","4","22","16","13","59","2","6","1","",".231",".289",".360",".649",".283","77","","0.5","","999.0","16947"
"Brennen Davis","CHC","43","163","146","34","7","1","6","19","18","13","47","3","2","0","",".236",".310",".407",".717",".310","92","","0.4","","999.0","sa3007876"
"TJ Friedl","CIN","60","212","189","45","9","1","4","25","20","17","40","4","4","1","",".240",".315",".369",".683",".299","81","","0.4","","600.6","19522"
"Edward Olivares","KCR","43","163","149","38","8","1","4","19","18","10","31","2","4","1","",".257",".310",".412",".722",".310","94","","0.4","","561.9","19698"
"DJ Stewart","BAL","81","313","267","58","11","1","14","38","37","37","83","5","1","0","",".215",".320",".417",".737",".319","100","","0.4","","600.2","17766"
"Greg Allen","PIT","58","208","184","44","9","1","3","24","17","15","45","7","8","2","",".239",".319",".353",".672",".297","85","","0.4","","600.2","16623"
"Harold Ramirez","CHC","60","240","223","62","12","1","7","29","29","12","42","4","2","1","",".280",".324",".441",".764",".328","103","","0.4","","528.0","14387"
"Jake McCarthy","ARI","80","297","269","64","14","3","6","37","28","22","81","4","11","2","",".236",".302",".378",".680",".296","81","","0.4","","600.5","21622"
"Gavin Sheets","CHW","110","418","375","90","17","1","16","49","50","36","96","4","1","0","",".239",".309",".416",".725",".313","99","","0.4","","487.0","19901"
"Mickey Moniak","PHI","78","246","227","51","12","2","6","26","26","16","70","2","3","1","",".227",".282",".375",".657",".282","73","","0.4","","600.3","19956"
"Josh Lowe","TBR","58","219","196","43","10","1","6","25","23","20","68","1","5","1","",".221",".296",".377",".673",".292","89","","0.4","","434.8","19953"
"Roman Quinn","","37","122","109","24","4","1","2","15","8","10","37","2","6","1","",".221",".292",".342",".633",".278","73","","0.4","","999.0","13546"
"Trevor Larnach","MIN","95","387","340","79","16","1","12","46","42","38","118","6","1","0","",".233",".318",".391",".709",".309","95","","0.4","","539.2","21501"
"Jason Heyward","CHC","100","388","343","83","15","1","10","43","39","38","73","4","3","1","",".242",".322",".381",".703",".307","89","","0.3","","598.5","4940"
"Zach McKinstry","LAD","49","183","165","39","9","1","5","23","21","14","44","2","2","1","",".235",".303",".391",".695",".301","89","","0.3","","592.5","19392"
"Miguel Andújar","NYY","42","163","152","38","8","1","5","19","18","9","29","1","1","0","",".254",".299",".413",".711",".305","93","","0.3","","591.8","15878"
"Estevan Florial","NYY","58","196","175","37","8","1","6","23","19","18","68","1","4","1","",".212",".289",".367",".657",".287","81","","0.3","","600.7","19151"
"Mauricio Dubón","SFG","37","135","124","31","6","1","3","15","13","8","25","1","2","1","",".253",".301",".381",".682",".295","86","","0.3","","584.6","16530"
"Daz Cameron","DET","49","185","167","38","9","1","4","21","18","15","51","2","5","1","",".230",".300",".381",".681",".296","86","","0.3","","598.0","18353"
"Cristian Pache","ATL","52","191","177","43","9","1","4","22","18","11","54","1","3","1","",".240",".287",".374",".662",".286","75","","0.3","","583.2","19948"
"Taylor Ward","LAA","33","126","111","27","5","0","4","15","15","13","31","1","1","0","",".246",".328",".417",".745",".323","104","","0.3","","599.7","17548"
"Willie Calhoun","TEX","111","432","390","95","20","1","14","49","48","34","59","4","1","1","",".245",".311",".406",".717",".310","97","","0.3","","433.6","17838"
"Adam Eaton","","56","226","196","48","9","1","4","26","19","20","48","4","3","1","",".242",".325",".370",".695",".306","91","","0.3","","999.0","11205"
