"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Tucupita Marcano","PIT","19","64","58","14","3","0","1","7","5","5","9","0","1","0","",".250",".313",".348",".660",".290","81","","0.1","","600.4","22871"
"Nick Maton","PHI","20","71","63","14","3","0","2","8","7","7","19","1","1","0","",".222",".301",".355",".656",".288","77","","0.1","","999.0","21635"
"Chris Owings","","17","56","51","11","2","0","2","6","6","4","17","1","1","0","",".222",".283",".367",".649",".282","76","","0.1","","600.7","10030"
"Brock Holt","","59","218","194","44","9","1","2","22","17","20","43","2","2","1","",".227",".305",".310",".615",".276","71","","0.1","","999.0","9345"
"Alejo Lopez","CIN","9","29","26","7","1","0","0","3","3","2","4","0","0","0","",".270",".329",".367",".696",".305","84","","0.1","","999.0","21127"
"Travis Blankenhorn","NYM","10","22","20","4","1","0","1","2","2","2","7","0","0","0","",".211",".279",".365",".644",".280","79","","0.0","","999.0","18395"
"Joe Panik","","54","192","172","40","8","1","2","18","17","16","27","1","1","0","",".232",".300",".325",".626",".276","71","","0.0","","999.0","11936"
"Alex De Goti","HOU","6","21","19","4","1","0","0","2","2","2","5","0","0","0","",".212",".278",".321",".599",".265","67","","0.0","","999.0","19477"
"José Rondón","","18","52","48","11","2","0","1","6","5","3","13","0","1","0","",".228",".283",".370",".653",".283","79","","0.0","","999.0","14140"
"Adrián Sanchez","WSN","5","13","12","3","1","0","0","1","1","1","2","0","0","0","",".239",".284",".337",".621",".270","65","","0.0","","999.0","11338"
"Pat Valaika","","45","146","135","30","6","0","4","14","15","8","39","1","1","0","",".220",".267",".365",".632",".273","69","","0.0","","999.0","14885"
"Rodolfo Castro","PIT","18","66","60","14","3","0","2","7","8","4","18","1","1","0","",".232",".286",".397",".682",".292","82","","0.0","","999.0","21987"
"Jake Hager","","5","16","15","3","1","0","0","2","2","1","5","0","0","0","",".207",".261",".326",".587",".256","56","","0.0","","999.0","12198"
"Isan Díaz","MIA","35","129","113","24","5","0","3","13","12","13","36","1","1","0","",".208",".296",".346",".643",".281","78","","0.0","","600.7","17922"
"Trent Giambrone","CHC","7","27","24","5","1","0","1","3","2","2","8","0","0","0","",".196",".260",".317",".577",".253","55","","0.0","","999.0","19250"
"Wilmer Difo","","42","134","122","28","5","1","2","14","11","10","30","1","2","1","",".233",".295",".337",".632",".277","72","","-0.1","","999.0","14320"
"Eric Sogard","","44","146","132","30","6","1","1","14","12","12","25","1","1","1","",".230",".294",".313",".606",".267","66","","-0.1","","999.0","7927"
"Harold Castro","DET","54","201","188","47","7","1","2","19","17","10","42","1","1","0","",".250",".290",".332",".622",".272","70","","-0.1","","601.0","14691"
"Michael Chavis","PIT","114","436","400","94","19","2","12","46","48","27","128","7","4","1","",".236",".293",".386",".679",".294","83","","-0.2","","534.7","17321"
"Jurickson Profar","SDP","123","457","402","91","19","2","8","50","40","44","70","7","9","3","",".226",".313",".340",".653",".290","83","","-0.2","","496.4","10815"
