"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","152","650","562","172","32","1","40","104","107","76","100","7","3","1","",".307",".393",".584",".977",".408","158","","5.6","","5.8","19611"
"Freddie Freeman","","153","668","570","168","34","3","28","94","94","86","110","7","7","3","",".295",".392",".511",".903",".381","141","","4.7","","19.7","5361"
"Matt Olson","OAK","149","638","543","136","26","2","36","85","91","80","130","10","3","1","",".250",".354",".501",".855",".361","134","","3.7","","41.0","14344"
"Max Muncy","LAD","125","525","439","115","21","1","31","83","84","75","115","8","2","1","",".262",".376",".531",".907",".384","143","","3.7","","146.2","13301"
"Paul Goldschmidt","STL","151","661","574","156","28","2","30","92","88","75","138","5","7","3","",".271",".359",".481",".840",".359","128","","3.6","","48.2","9218"
"Pete Alonso","NYM","153","650","565","147","28","1","38","91","104","65","138","15","2","1","",".260",".349",".514",".863",".364","134","","3.6","","50.0","19251"
"Rhys Hoskins","PHI","131","573","487","121","25","1","35","83","90","73","136","9","3","1","",".248",".354",".519",".873",".370","130","","3.1","","134.7","16472"
"José Abreu","CHW","148","641","570","153","30","1","31","86","90","51","134","14","1","1","",".269",".341",".488",".829",".352","125","","2.8","","75.7","15676"
"Joey Votto","CIN","139","590","501","131","25","1","30","83","85","78","132","5","2","1","",".262",".364",".497",".862",".366","124","","2.5","","139.3","4314"
"DJ LeMahieu","NYY","145","645","577","159","25","2","10","77","59","59","92","4","3","2","",".276",".345",".381",".726",".320","103","","2.3","","111.0","9874"
"Brandon Belt","SFG","123","507","430","103","22","2","25","69","71","67","127","5","4","1","",".240",".348",".477",".824",".351","123","","2.2","","232.5","10264"
"Josh Bell","WSN","144","604","528","143","26","2","26","79","83","67","113","4","1","0","",".270",".354",".474",".827",".353","119","","2.0","","128.6","13145"
"Anthony Rizzo","","138","585","500","125","24","1","22","74","71","61","90","19","6","3","",".251",".352",".434",".786",".340","114","","2.0","","183.5","3473"
"Yandy Díaz","TBR","114","472","409","108","18","1","13","56","52","56","77","3","1","1","",".264",".354",".406",".760",".332","116","","1.9","","409.7","16578"
"Trey Mancini","BAL","145","621","555","149","27","2","25","77","79","54","138","8","1","0","",".268",".340",".459",".799",".342","116","","1.9","","193.0","15149"
"Ty France","SEA","142","589","521","134","26","1","18","66","68","43","104","19","0","0","",".258",".335",".413",".748",".325","111","","1.8","","139.7","17982"
